Iteration,Makespan
1,1040.0
2,927.9
3,891.3
4,928.1
5,937.3
6,1104.7
7,945.5999999999999
8,1021.1999999999999
9,1058.0
10,855.9
11,921.5000000000001
12,906.8000000000001
13,930.3000000000001
14,937.3999999999999
15,896.6000000000001
16,981.2
17,1014.7000000000002
18,811.2
19,1045.6
20,863.9000000000001
21,1063.4
22,944.0
23,1003.8000000000001
24,975.1999999999999
25,1054.0
26,797.7
27,843.8000000000001
28,986.9
29,1064.0
30,997.0
31,890.1000000000001
32,970.3000000000001
33,976.3
34,928.8
35,990.8
36,945.4000000000001
37,1122.4
38,951.2
39,882.2
40,918.2
41,1131.4
42,1034.8999999999999
43,1060.0
44,992.1999999999999
45,898.2
46,796.7
47,852.5999999999999
48,930.7
49,907.2
50,1020.5999999999999
51,917.5999999999999
52,1055.3000000000002
53,844.5
54,998.1000000000001
55,966.8
56,1008.6
57,959.6000000000001
58,803.9
59,908.1999999999999
60,793.2
61,919.8
62,996.4
63,1265.8999999999999
64,996.1000000000001
65,938.0999999999999
66,951.8000000000001
67,1039.6
68,954.5
69,1023.3
70,891.4000000000001
71,900.0
72,984.5000000000001
73,1079.1
74,927.5000000000001
75,910.7
76,1125.8
77,1046.3
78,945.5
79,998.4
80,877.3000000000001
81,945.7
82,1039.8000000000002
83,915.6
84,1140.5
85,957.8
86,1055.9
87,925.3
88,1036.1
89,905.5
90,1288.8
91,1089.4
92,1052.1
93,976.3
94,1129.5
95,858.4999999999999
96,1055.8000000000002
97,1042.6
98,995.3
99,1277.1000000000001
100,937.1
101,1110.0
102,947.5
103,1040.8
104,1127.0
105,979.1999999999999
106,909.5
107,1193.3
108,980.1
109,992.3
110,964.1
111,1021.0000000000001
112,1006.3
113,818.6
114,1129.3000000000002
115,909.3000000000001
116,927.1999999999999
117,1036.8
118,941.6
119,1218.1
120,1019.2
121,1267.9999999999998
122,1088.1
123,966.5000000000001
124,1271.1
125,912.4
126,890.8
127,1002.6999999999999
128,979.9
129,794.0000000000001
130,1090.4
131,1117.7
132,940.3000000000001
133,883.4000000000001
134,997.1
135,889.4000000000001
136,1038.1999999999998
137,1005.6
138,852.5999999999999
139,1085.2
140,779.6
141,1305.5
142,1026.1
143,956.6000000000001
144,1139.0
145,855.7
146,974.4
147,1290.8
148,1055.0
149,1141.6
150,883.3
151,949.4
152,1108.7
153,915.8
154,808.9
155,956.4000000000001
156,1003.9000000000001
157,1189.7
158,865.6999999999999
159,1240.7
160,770.9
161,707.3
162,1211.5
163,1187.9
164,1064.6999999999998
165,1029.7
166,705.1
167,854.0999999999999
168,707.0
169,883.5999999999999
170,932.9
171,785.2
172,1462.6000000000001
173,731.5
174,1104.8
175,1062.7
176,984.8000000000001
177,875.3000000000001
178,927.7
179,1004.7
180,971.8
181,759.5
182,915.9000000000001
183,1249.1000000000001
184,779.8
185,864.1
186,895.4
187,1023.9000000000001
188,1237.1
189,978.9
190,1000.6999999999999
191,828.3
192,1033.0
193,981.4
194,1172.9
195,1027.3
196,1013.8
197,1134.1
198,1217.9
199,1022.5
200,1118.7
201,1008.5999999999999
202,1296.0
203,1004.2
204,1101.1
205,1082.3
206,892.8
207,1310.9
208,885.5
209,965.9000000000001
210,1335.9
211,996.3000000000001
212,1103.8
213,1055.1
214,837.8
215,1055.0
216,1136.5
217,1034.9
218,875.2
