Iteration,schedules
1,"[(188, 3), (189, 6), (190, 2), (8, 8), (10, 12), (14, 13), (19, 6), (20, 12), (21, 1), (149, 7), (152, 12), (167, 6), (168, 3), (147, 3), (45, 10), (47, 11), (177, 4), (187, 15), (49, 5), (51, 14), (52, 15), (53, 7), (205, 11), (214, 4), (215, 14), (216, 6), (217, 14), (29, 4), (40, 3), (155, 10), (156, 10), (160, 13), (161, 11), (1, 7), (3, 2), (265, 1), (269, 12), (270, 12), (263, 1), (223, 5), (75, 2), (76, 10), (134, 13), (154, 7), (251, 8), (249, 9), (151, 9), (91, 3), (92, 1), (93, 9), (86, 3), (5, 15), (218, 2), (79, 11), (199, 5), (201, 2), (202, 14), (114, 11), (116, 7), (128, 11), (123, 12), (124, 13), (125, 5), (233, 10), (244, 6), (245, 10), (246, 6), (247, 4), (248, 14), (118, 14), (120, 12), (121, 7), (97, 1), (102, 12), (103, 5), (104, 5), (105, 10), (106, 11), (107, 8), (111, 4), (112, 9), (113, 13), (143, 15), (11, 3), (13, 15), (194, 7), (196, 15), (63, 2), (64, 12), (65, 9), (66, 5), (258, 14), (262, 12), (172, 2), (175, 3), (135, 1), (83, 15), (171, 2), (250, 15), (41, 10), (264, 6), (43, 13), (44, 14), (203, 4), (204, 10), (252, 9), (117, 14), (78, 9), (84, 2), (224, 12), (228, 1), (229, 6), (153, 4), (166, 8), (69, 1), (193, 8), (70, 6), (144, 10), (219, 5), (176, 11), (148, 14), (87, 6), (71, 3), (80, 8), (88, 4), (89, 7), (90, 10), (256, 13), (221, 4), (140, 15), (253, 13), (254, 2), (81, 5), (42, 14), (44, 14), (82, 12), (255, 6), (85, 11), (136, 5), (48, 3), (197, 11), (145, 7), (96, 9), (132, 2), (198, 10), (257, 12), (146, 3), (72, 9), (137, 3), (138, 2), (73, 7), (220, 8), (6, 9), (150, 6), (7, 9), (141, 2), (133, 13), (74, 15), (222, 14), (142, 1), (271, 6), (272, 12), (273, 14), (139, 12), (129, 11), (130, 7), (131, 7), (221, 2)]"
2,"[(218, 8), (143, 15), (205, 4), (206, 3), (207, 15), (211, 4), (212, 13), (213, 4), (251, 12), (258, 14), (259, 5), (263, 1), (154, 5), (86, 3), (118, 14), (119, 13), (149, 7), (79, 11), (49, 6), (59, 13), (5, 13), (233, 10), (234, 7), (237, 8), (238, 9), (239, 2), (240, 2), (243, 10), (249, 9), (155, 11), (162, 5), (164, 15), (165, 1), (8, 8), (10, 12), (114, 4), (116, 14), (75, 2), (77, 12), (167, 6), (169, 5), (170, 1), (14, 13), (26, 1), (147, 6), (223, 5), (265, 1), (269, 12), (270, 12), (128, 7), (91, 2), (92, 8), (93, 9), (63, 2), (64, 8), (65, 9), (66, 5), (134, 6), (11, 14), (12, 7), (45, 10), (46, 5), (151, 9), (188, 3), (189, 8), (190, 2), (172, 10), (173, 1), (174, 11), (199, 15), (201, 2), (202, 1), (1, 7), (2, 1), (29, 4), (40, 3), (177, 7), (181, 9), (97, 1), (98, 7), (99, 3), (100, 4), (101, 1), (194, 3), (195, 13), (123, 12), (126, 10), (127, 8), (152, 12), (193, 5), (171, 2), (117, 14), (48, 3), (224, 12), (230, 10), (231, 8), (83, 15), (150, 6), (78, 7), (87, 14), (41, 10), (88, 4), (153, 4), (250, 15), (6, 9), (176, 11), (43, 10), (44, 14), (203, 4), (89, 7), (84, 13), (148, 12), (80, 8), (219, 13), (81, 5), (264, 6), (82, 12), (42, 14), (44, 14), (220, 13), (85, 11), (144, 10), (140, 14), (197, 11), (198, 10), (166, 8), (69, 1), (90, 10), (70, 6), (71, 3), (204, 10), (141, 2), (135, 1), (7, 9), (72, 9), (73, 7), (74, 15), (222, 3), (271, 6), (272, 12), (273, 14), (132, 4), (96, 13), (221, 3), (222, 3), (145, 7), (129, 11), (133, 7), (146, 3), (142, 1), (252, 9), (253, 13), (256, 3), (130, 6), (257, 12), (254, 2), (131, 7), (136, 5), (255, 6), (137, 4), (138, 2), (139, 12)]"
3,"[(258, 14), (260, 11), (261, 2), (177, 4), (187, 15), (45, 10), (46, 7), (8, 6), (9, 14), (152, 12), (91, 3), (92, 1), (93, 9), (154, 5), (11, 3), (13, 15), (5, 11), (75, 2), (77, 12), (63, 2), (64, 12), (65, 9), (66, 5), (218, 8), (265, 1), (269, 14), (270, 12), (199, 13), (201, 2), (202, 1), (233, 4), (244, 6), (245, 10), (246, 6), (247, 4), (248, 14), (118, 12), (122, 5), (263, 1), (1, 7), (3, 7), (49, 6), (60, 1), (61, 2), (123, 9), (126, 10), (127, 8), (114, 5), (115, 3), (194, 13), (196, 15), (251, 8), (167, 6), (169, 8), (170, 1), (205, 11), (214, 4), (215, 14), (216, 6), (217, 14), (86, 12), (134, 5), (172, 10), (175, 3), (151, 9), (155, 10), (156, 10), (157, 4), (158, 12), (159, 7), (161, 11), (29, 4), (30, 15), (31, 12), (32, 4), (33, 2), (35, 3), (36, 6), (38, 5), (39, 1), (79, 1), (147, 6), (143, 15), (249, 8), (149, 7), (128, 11), (188, 3), (189, 8), (190, 2), (14, 3), (15, 1), (97, 2), (102, 6), (103, 5), (104, 5), (105, 10), (106, 11), (107, 8), (111, 4), (112, 9), (113, 13), (223, 5), (171, 2), (224, 12), (225, 1), (78, 9), (153, 4), (83, 15), (96, 13), (166, 8), (219, 3), (135, 1), (84, 2), (48, 3), (150, 6), (264, 15), (203, 15), (80, 8), (81, 5), (256, 12), (82, 12), (140, 14), (117, 14), (148, 14), (87, 6), (176, 6), (88, 4), (129, 11), (193, 5), (89, 7), (250, 15), (69, 1), (70, 6), (204, 10), (252, 9), (71, 3), (253, 13), (85, 11), (197, 11), (17, 14), (90, 10), (198, 10), (271, 9), (136, 5), (144, 10), (72, 9), (272, 3), (254, 2), (257, 12), (73, 7), (273, 14), (74, 15), (220, 13), (141, 2), (142, 1), (6, 8), (255, 6), (7, 8), (16, 6), (137, 3), (221, 4), (145, 7), (138, 2), (130, 7), (222, 14), (18, 8), (132, 2), (133, 13), (131, 7), (139, 12), (146, 3)]"
4,"[(177, 4), (187, 15), (143, 10), (152, 12), (218, 8), (265, 1), (266, 13), (267, 7), (268, 5), (14, 13), (26, 1), (128, 11), (118, 14), (119, 3), (233, 4), (244, 6), (245, 10), (246, 6), (247, 4), (248, 14), (86, 3), (172, 2), (173, 6), (174, 9), (149, 7), (199, 5), (201, 2), (202, 1), (75, 2), (76, 10), (114, 11), (116, 14), (79, 1), (63, 2), (67, 3), (68, 4), (11, 6), (13, 15), (155, 10), (162, 9), (163, 2), (165, 1), (45, 2), (46, 7), (5, 13), (263, 3), (8, 9), (9, 11), (151, 9), (1, 8), (3, 11), (249, 8), (167, 6), (169, 8), (170, 1), (29, 4), (30, 15), (31, 12), (32, 4), (33, 2), (35, 3), (36, 6), (37, 9), (39, 1), (251, 12), (147, 6), (97, 1), (102, 6), (108, 14), (109, 4), (110, 1), (111, 4), (112, 9), (113, 13), (205, 5), (206, 1), (207, 15), (208, 14), (209, 13), (210, 11), (213, 4), (49, 2), (60, 1), (61, 2), (154, 7), (188, 3), (189, 8), (190, 2), (194, 13), (196, 15), (134, 5), (91, 3), (94, 7), (95, 12), (223, 5), (123, 12), (124, 13), (125, 5), (258, 14), (262, 12), (83, 15), (80, 8), (69, 10), (171, 2), (256, 12), (264, 15), (117, 14), (250, 15), (176, 11), (70, 6), (144, 12), (166, 8), (153, 4), (84, 2), (129, 8), (135, 1), (78, 7), (203, 4), (87, 6), (193, 5), (148, 14), (140, 14), (96, 5), (150, 6), (88, 4), (89, 7), (71, 3), (81, 5), (204, 10), (90, 10), (48, 3), (252, 9), (271, 9), (82, 12), (224, 12), (226, 8), (227, 1), (197, 11), (272, 3), (273, 14), (198, 13), (85, 11), (253, 13), (72, 9), (132, 7), (254, 2), (222, 7), (255, 6), (133, 13), (73, 7), (141, 2), (6, 8), (74, 15), (219, 3), (220, 13), (221, 3), (142, 1), (222, 7), (7, 9), (136, 5), (137, 7), (138, 2), (257, 12), (130, 7), (131, 7), (145, 6), (146, 15), (139, 12)]"
5,"[(155, 11), (156, 10), (160, 13), (161, 11), (223, 5), (134, 6), (172, 2), (173, 1), (174, 9), (233, 10), (244, 6), (245, 10), (246, 6), (247, 4), (248, 14), (75, 2), (77, 12), (194, 3), (196, 15), (79, 1), (265, 13), (266, 13), (267, 7), (268, 5), (188, 8), (191, 5), (192, 9), (97, 2), (102, 6), (108, 8), (109, 4), (110, 1), (111, 4), (112, 9), (113, 13), (205, 4), (214, 4), (215, 14), (216, 6), (217, 14), (118, 15), (119, 3), (45, 10), (46, 7), (151, 9), (177, 7), (184, 13), (128, 7), (263, 4), (149, 7), (8, 8), (9, 11), (154, 5), (199, 13), (200, 9), (29, 4), (40, 3), (258, 14), (259, 5), (49, 6), (54, 12), (55, 4), (14, 8), (26, 6), (143, 15), (114, 11), (116, 14), (147, 3), (86, 12), (1, 8), (3, 2), (218, 12), (5, 15), (152, 12), (91, 3), (92, 1), (93, 9), (251, 12), (123, 9), (126, 10), (127, 8), (63, 2), (67, 3), (68, 4), (167, 6), (168, 3), (11, 14), (13, 15), (249, 9), (41, 10), (48, 3), (83, 15), (224, 12), (228, 1), (229, 6), (264, 15), (250, 2), (171, 2), (84, 2), (87, 6), (80, 8), (88, 4), (148, 14), (89, 7), (203, 4), (96, 13), (78, 9), (153, 4), (43, 13), (44, 14), (186, 8), (256, 3), (90, 10), (132, 3), (197, 11), (271, 2), (193, 5), (69, 1), (185, 6), (198, 10), (70, 6), (150, 6), (81, 5), (140, 14), (144, 10), (71, 3), (219, 5), (166, 4), (82, 12), (42, 13), (44, 14), (85, 11), (117, 14), (257, 12), (135, 1), (204, 10), (72, 9), (272, 12), (273, 14), (6, 9), (7, 9), (133, 7), (136, 5), (220, 13), (221, 3), (145, 7), (146, 3), (176, 6), (73, 11), (74, 15), (141, 4), (129, 11), (252, 10), (222, 14), (253, 13), (137, 13), (254, 2), (138, 2), (142, 1), (139, 12), (255, 6), (130, 7), (131, 7)]"
6,"[(1, 8), (2, 1), (233, 11), (234, 7), (235, 7), (236, 3), (238, 9), (239, 2), (240, 2), (243, 10), (97, 2), (98, 7), (99, 3), (100, 4), (101, 1), (194, 3), (196, 15), (14, 13), (19, 6), (20, 12), (21, 1), (172, 10), (173, 1), (174, 9), (134, 5), (79, 11), (177, 4), (182, 7), (183, 9), (63, 2), (67, 3), (68, 4), (249, 9), (205, 4), (214, 4), (215, 14), (216, 6), (217, 14), (167, 6), (168, 3), (11, 14), (13, 15), (118, 15), (120, 12), (121, 7), (114, 10), (116, 14), (45, 10), (46, 7), (91, 3), (92, 1), (93, 9), (263, 4), (258, 15), (259, 5), (223, 5), (75, 1), (76, 10), (5, 13), (147, 6), (49, 5), (51, 11), (52, 15), (53, 6), (143, 15), (123, 12), (126, 13), (127, 8), (152, 12), (154, 7), (251, 12), (86, 12), (218, 8), (188, 8), (191, 1), (192, 9), (128, 7), (199, 13), (200, 6), (151, 9), (155, 11), (162, 9), (163, 2), (165, 1), (8, 9), (10, 12), (149, 7), (29, 4), (30, 15), (31, 12), (32, 4), (33, 2), (35, 3), (36, 6), (37, 9), (39, 1), (265, 1), (266, 13), (267, 7), (268, 5), (250, 2), (171, 2), (87, 14), (48, 3), (83, 15), (264, 15), (88, 4), (69, 10), (117, 14), (70, 6), (148, 12), (89, 7), (84, 2), (153, 4), (80, 8), (166, 8), (176, 11), (219, 5), (90, 10), (224, 12), (225, 1), (203, 4), (150, 2), (81, 5), (144, 10), (82, 12), (96, 9), (135, 12), (256, 12), (204, 10), (78, 7), (85, 11), (71, 3), (193, 8), (221, 2), (72, 9), (140, 14), (257, 12), (252, 9), (253, 13), (220, 13), (197, 11), (221, 3), (198, 10), (254, 2), (73, 11), (141, 2), (132, 3), (74, 15), (136, 5), (222, 7), (255, 6), (142, 1), (137, 3), (133, 13), (145, 6), (138, 2), (271, 9), (129, 11), (130, 7), (272, 3), (131, 7), (146, 8), (273, 14), (139, 12), (6, 9), (7, 9)]"
7,"[(45, 10), (47, 11), (147, 6), (251, 12), (128, 4), (63, 2), (64, 8), (65, 9), (66, 5), (14, 8), (19, 6), (20, 12), (21, 1), (5, 11), (154, 5), (29, 4), (40, 3), (172, 2), (175, 3), (1, 7), (3, 2), (97, 1), (102, 6), (103, 5), (104, 5), (105, 10), (106, 11), (107, 8), (111, 4), (112, 9), (113, 13), (134, 13), (249, 9), (218, 12), (149, 7), (8, 6), (10, 12), (114, 11), (115, 3), (265, 1), (266, 13), (267, 7), (268, 5), (155, 10), (162, 5), (164, 15), (165, 1), (118, 15), (120, 12), (121, 7), (79, 11), (86, 3), (194, 7), (196, 15), (49, 5), (54, 12), (55, 3), (152, 12), (188, 3), (189, 6), (190, 2), (11, 14), (12, 9), (258, 15), (259, 5), (205, 4), (206, 3), (207, 11), (211, 4), (212, 13), (213, 4), (75, 6), (77, 12), (223, 5), (123, 15), (126, 10), (127, 8), (177, 7), (182, 7), (183, 9), (199, 5), (200, 9), (167, 6), (169, 8), (170, 1), (233, 13), (244, 6), (245, 10), (246, 6), (247, 4), (248, 14), (91, 3), (92, 1), (93, 9), (151, 9), (143, 15), (263, 1), (166, 8), (41, 10), (78, 7), (83, 15), (176, 11), (224, 12), (225, 1), (48, 12), (219, 5), (150, 6), (80, 8), (42, 14), (44, 14), (171, 2), (87, 6), (81, 5), (271, 9), (43, 13), (44, 14), (88, 4), (140, 14), (89, 7), (193, 5), (82, 12), (90, 10), (84, 13), (144, 10), (197, 3), (264, 15), (148, 14), (69, 10), (96, 13), (250, 2), (272, 12), (70, 6), (71, 3), (273, 14), (203, 4), (72, 9), (153, 4), (85, 11), (73, 7), (117, 14), (135, 1), (198, 13), (204, 3), (74, 15), (129, 8), (132, 2), (222, 7), (136, 5), (220, 8), (141, 2), (252, 9), (145, 7), (253, 13), (133, 7), (256, 3), (130, 7), (137, 13), (6, 8), (221, 3), (7, 9), (254, 2), (255, 6), (222, 7), (257, 12), (142, 1), (138, 2), (139, 12), (146, 3), (131, 7)]"
8,"[(205, 4), (206, 3), (207, 15), (211, 4), (212, 13), (213, 4), (167, 6), (169, 8), (170, 1), (188, 3), (191, 1), (192, 9), (11, 14), (13, 15), (29, 4), (40, 3), (128, 11), (194, 7), (196, 8), (45, 10), (47, 11), (75, 2), (76, 10), (8, 8), (10, 12), (114, 5), (116, 14), (123, 12), (126, 10), (127, 8), (263, 1), (155, 11), (156, 10), (160, 13), (161, 11), (79, 1), (249, 9), (154, 5), (223, 5), (97, 2), (102, 6), (103, 5), (104, 5), (105, 9), (106, 11), (107, 8), (111, 4), (112, 9), (113, 13), (1, 6), (3, 2), (265, 13), (266, 13), (267, 7), (268, 5), (152, 12), (134, 13), (258, 15), (260, 15), (261, 2), (143, 15), (233, 4), (234, 7), (237, 8), (238, 9), (239, 2), (241, 9), (242, 1), (243, 10), (49, 2), (56, 9), (57, 4), (58, 9), (251, 12), (86, 3), (151, 9), (177, 7), (181, 1), (199, 15), (200, 9), (149, 7), (63, 2), (64, 12), (65, 9), (66, 5), (91, 3), (94, 7), (95, 12), (14, 8), (26, 1), (147, 6), (172, 10), (173, 1), (174, 11), (118, 14), (120, 12), (121, 7), (218, 12), (5, 13), (83, 15), (271, 9), (153, 6), (148, 14), (150, 6), (222, 7), (264, 6), (84, 2), (166, 4), (41, 10), (171, 2), (48, 3), (43, 10), (44, 14), (193, 5), (224, 12), (225, 1), (135, 1), (42, 14), (44, 14), (69, 10), (70, 6), (203, 4), (176, 11), (272, 12), (80, 8), (78, 9), (117, 14), (250, 15), (197, 11), (87, 6), (273, 14), (204, 3), (88, 4), (89, 7), (96, 13), (198, 13), (90, 10), (144, 10), (6, 9), (145, 7), (140, 14), (81, 5), (141, 2), (7, 9), (82, 12), (85, 11), (71, 3), (72, 9), (132, 7), (73, 11), (146, 3), (74, 15), (129, 8), (256, 3), (142, 1), (257, 12), (136, 5), (219, 13), (137, 13), (138, 2), (220, 8), (139, 12), (221, 3), (130, 7), (222, 7), (252, 9), (133, 13), (131, 7), (253, 13), (254, 2), (255, 6)]"
9,"[(218, 8), (128, 4), (63, 2), (67, 3), (68, 4), (134, 5), (45, 10), (47, 11), (118, 15), (122, 1), (8, 6), (10, 12), (149, 7), (1, 8), (2, 1), (188, 3), (191, 1), (192, 9), (123, 12), (124, 13), (125, 5), (223, 5), (155, 10), (156, 10), (157, 4), (158, 12), (159, 7), (161, 11), (5, 11), (205, 11), (214, 4), (215, 14), (216, 6), (217, 14), (167, 6), (169, 8), (170, 1), (152, 12), (249, 9), (86, 3), (91, 2), (92, 8), (93, 9), (151, 9), (143, 15), (258, 14), (259, 5), (263, 2), (265, 13), (266, 13), (267, 7), (268, 5), (75, 6), (77, 12), (79, 1), (172, 2), (175, 3), (29, 4), (40, 3), (194, 7), (196, 15), (49, 6), (59, 15), (114, 11), (116, 7), (233, 11), (244, 13), (245, 10), (246, 6), (247, 4), (248, 14), (177, 4), (187, 15), (14, 13), (26, 1), (97, 2), (98, 7), (99, 13), (100, 7), (101, 1), (154, 5), (11, 14), (12, 7), (147, 8), (199, 15), (200, 9), (251, 12), (224, 12), (225, 1), (144, 10), (41, 10), (171, 2), (83, 15), (80, 8), (69, 1), (70, 6), (42, 13), (44, 14), (203, 4), (81, 5), (82, 12), (221, 2), (132, 3), (148, 12), (96, 5), (48, 3), (204, 10), (197, 11), (43, 13), (44, 14), (256, 3), (264, 15), (84, 2), (85, 11), (150, 6), (153, 4), (166, 8), (198, 10), (71, 3), (135, 12), (176, 6), (250, 15), (136, 5), (78, 9), (133, 1), (6, 9), (117, 2), (271, 6), (193, 8), (272, 12), (219, 5), (273, 14), (72, 9), (140, 14), (73, 7), (222, 10), (74, 15), (7, 9), (87, 14), (88, 4), (89, 7), (137, 3), (220, 13), (257, 5), (252, 9), (90, 10), (145, 6), (141, 2), (138, 2), (146, 3), (129, 11), (142, 1), (221, 3), (253, 13), (254, 2), (255, 6), (139, 12), (130, 6), (131, 7)]"
10,"[(155, 11), (156, 10), (157, 4), (158, 12), (159, 7), (161, 11), (218, 8), (1, 7), (2, 1), (194, 3), (195, 13), (14, 13), (15, 1), (172, 2), (173, 1), (174, 9), (152, 12), (5, 15), (177, 4), (184, 13), (118, 14), (119, 13), (233, 10), (234, 7), (237, 8), (238, 1), (239, 2), (241, 9), (242, 1), (243, 10), (45, 2), (46, 7), (143, 15), (249, 9), (263, 4), (114, 5), (115, 3), (199, 5), (200, 9), (11, 6), (12, 7), (63, 2), (64, 12), (65, 9), (66, 5), (147, 8), (49, 6), (62, 6), (134, 1), (151, 9), (188, 8), (189, 6), (190, 2), (86, 12), (205, 11), (206, 3), (207, 15), (211, 4), (212, 13), (213, 4), (8, 9), (9, 11), (128, 7), (97, 2), (98, 7), (99, 3), (100, 4), (101, 1), (29, 4), (30, 15), (31, 12), (32, 4), (33, 2), (35, 3), (36, 6), (38, 5), (39, 1), (149, 5), (265, 13), (266, 13), (267, 4), (268, 5), (91, 3), (94, 7), (95, 12), (258, 14), (260, 15), (261, 7), (223, 5), (123, 12), (126, 10), (127, 8), (154, 7), (79, 1), (75, 6), (77, 12), (251, 8), (167, 6), (168, 3), (148, 14), (171, 2), (224, 12), (232, 14), (83, 15), (186, 8), (203, 15), (193, 8), (84, 13), (117, 14), (250, 2), (144, 10), (153, 4), (204, 10), (80, 15), (87, 6), (69, 10), (88, 4), (166, 8), (48, 3), (70, 6), (150, 6), (89, 7), (71, 3), (81, 5), (72, 9), (73, 7), (90, 6), (176, 11), (78, 9), (185, 6), (271, 6), (256, 3), (197, 3), (198, 10), (145, 7), (219, 13), (272, 12), (82, 12), (273, 14), (135, 1), (264, 15), (257, 12), (6, 9), (146, 3), (74, 15), (85, 11), (96, 13), (7, 9), (222, 14), (132, 2), (16, 14), (140, 15), (220, 13), (141, 2), (133, 7), (17, 15), (142, 1), (252, 9), (129, 11), (253, 13), (254, 13), (255, 6), (18, 10), (136, 5), (221, 2), (130, 7), (137, 13), (138, 2), (131, 7), (222, 14), (139, 12)]"
