Iteration,Makespan
1,773.0
2,743.5
3,880.6
4,1073.4
5,849.0999999999999
6,1295.6999999999998
7,1079.2
8,903.4
9,740.4
10,1039.2999999999997
11,1047.8
12,949.3000000000001
13,838.7
14,823.3
15,1097.5
16,1122.8
17,1023.3
18,974.8999999999999
19,953.5
20,798.4
21,1214.4
22,980.6999999999999
23,972.9999999999999
24,1038.3
25,991.1
26,961.6
27,837.4999999999999
28,830.5999999999998
29,1008.9999999999999
30,940.6999999999999
31,909.5
32,918.0
33,1099.1999999999998
34,779.9999999999998
35,750.1
36,776.4
37,923.6
38,850.6
39,768.5
40,1001.1999999999999
41,1028.6999999999998
42,913.1999999999999
43,910.6000000000001
44,983.0
45,989.4
46,1024.4
47,658.3
48,875.6999999999998
49,840.8
50,869.0
