Iteration,schedules
1,"[(92, 6), (247, 2), (69, 3), (160, 12), (155, 15), (30, 6), (93, 15), (201, 13), (94, 5), (95, 8), (216, 10), (177, 2), (87, 14), (145, 6), (156, 3), (44, 9), (213, 6), (11, 11), (80, 8), (34, 9), (232, 11), (147, 8), (163, 15), (197, 2), (96, 6), (32, 7), (81, 2), (12, 15), (217, 5), (13, 6), (74, 15), (31, 14), (17, 13), (178, 14), (15, 3), (26, 10), (234, 11), (164, 2), (37, 5), (112, 7), (148, 8), (218, 7), (198, 7), (235, 10), (236, 15), (248, 5), (101, 4), (130, 2), (16, 13), (133, 11), (14, 3), (233, 2), (63, 3), (131, 11), (88, 5), (200, 12), (165, 2), (237, 14), (113, 8), (181, 4), (238, 12), (75, 3), (180, 7), (99, 14), (219, 4), (38, 1), (33, 2), (27, 13), (97, 10), (239, 12), (182, 8), (66, 5), (242, 4), (140, 9), (70, 5), (28, 7), (249, 13), (1, 5), (85, 12), (166, 12), (78, 4), (221, 1), (150, 10), (222, 12), (86, 12), (23, 15), (24, 2), (151, 1), (67, 9), (68, 5), (39, 12), (29, 8), (79, 3), (252, 14), (98, 15), (223, 2), (82, 14), (149, 2), (18, 12), (8, 3), (53, 5), (132, 10), (100, 13), (183, 12), (83, 2), (19, 3), (35, 12), (106, 5), (84, 6), (6, 12), (114, 15), (107, 11), (253, 15), (25, 14), (49, 5), (50, 6), (51, 9), (186, 13), (226, 10), (72, 15), (73, 10), (187, 1), (20, 4), (36, 4), (54, 12), (52, 1), (117, 13), (152, 10), (21, 4), (188, 6), (22, 9), (121, 12), (190, 5), (7, 12), (254, 15), (142, 15), (154, 6), (2, 7), (191, 5), (5, 2), (47, 14), (9, 12), (43, 4), (62, 9), (256, 13), (167, 9), (122, 9), (48, 8), (255, 12), (143, 1), (125, 11), (10, 13), (168, 5), (257, 12), (258, 5), (127, 14), (128, 5), (144, 4), (129, 5), (171, 10), (259, 8), (172, 6), (173, 12), (174, 5), (175, 7), (176, 14)]"
2,"[(17, 5), (112, 8), (197, 2), (177, 6), (252, 14), (234, 5), (113, 8), (130, 1), (235, 1), (232, 11), (32, 4), (34, 9), (247, 2), (63, 3), (80, 8), (253, 15), (85, 3), (115, 7), (74, 13), (181, 4), (35, 12), (81, 6), (86, 9), (69, 3), (30, 6), (116, 9), (82, 13), (37, 7), (216, 11), (66, 10), (87, 15), (70, 6), (76, 2), (248, 5), (18, 12), (131, 11), (117, 11), (92, 1), (77, 14), (1, 13), (249, 4), (227, 6), (121, 12), (2, 7), (132, 7), (88, 5), (228, 1), (33, 6), (5, 8), (83, 13), (178, 14), (11, 4), (26, 15), (233, 15), (12, 8), (6, 9), (180, 9), (44, 9), (160, 9), (23, 15), (150, 2), (84, 6), (45, 12), (201, 6), (7, 12), (99, 11), (27, 12), (49, 5), (151, 1), (152, 11), (53, 5), (46, 2), (229, 6), (97, 2), (236, 11), (54, 12), (101, 4), (93, 15), (240, 12), (241, 11), (8, 7), (13, 6), (230, 13), (78, 15), (242, 3), (94, 11), (36, 4), (100, 9), (154, 6), (51, 6), (58, 1), (59, 3), (24, 7), (15, 2), (67, 9), (122, 9), (31, 12), (95, 14), (98, 1), (72, 11), (161, 13), (105, 15), (19, 4), (16, 7), (25, 13), (14, 2), (155, 15), (28, 6), (156, 3), (145, 6), (20, 3), (50, 1), (165, 2), (162, 12), (79, 14), (213, 6), (29, 14), (68, 5), (147, 5), (231, 11), (123, 8), (199, 11), (38, 1), (254, 15), (255, 12), (200, 12), (169, 3), (124, 13), (48, 8), (21, 2), (96, 3), (39, 13), (43, 4), (73, 10), (133, 11), (256, 13), (22, 9), (52, 12), (148, 1), (129, 5), (170, 2), (171, 10), (140, 9), (142, 15), (192, 10), (195, 13), (257, 4), (196, 14), (258, 11), (143, 1), (193, 10), (144, 4), (259, 8), (9, 12), (10, 13), (194, 14), (149, 2), (196, 14), (172, 6), (173, 3), (174, 9), (175, 11), (176, 15)]"
3,"[(80, 10), (232, 9), (155, 14), (252, 9), (69, 13), (35, 12), (34, 9), (53, 5), (157, 2), (36, 4), (92, 6), (17, 13), (11, 11), (18, 1), (216, 3), (32, 7), (160, 9), (54, 12), (19, 3), (12, 11), (37, 7), (233, 2), (20, 4), (74, 13), (161, 6), (44, 9), (158, 4), (247, 2), (13, 10), (93, 14), (248, 3), (133, 11), (177, 6), (217, 12), (33, 2), (220, 10), (234, 11), (249, 13), (1, 5), (15, 4), (8, 7), (101, 7), (70, 6), (201, 13), (2, 9), (202, 8), (3, 1), (162, 5), (165, 2), (166, 12), (253, 15), (72, 15), (102, 13), (134, 5), (103, 8), (150, 10), (9, 13), (221, 15), (97, 2), (181, 4), (203, 15), (23, 15), (73, 13), (85, 12), (197, 10), (75, 9), (182, 8), (94, 11), (45, 8), (16, 10), (99, 7), (235, 10), (24, 2), (60, 10), (21, 4), (6, 9), (7, 12), (179, 12), (46, 8), (25, 8), (87, 15), (78, 15), (79, 14), (180, 7), (100, 13), (98, 14), (14, 3), (81, 6), (88, 5), (95, 13), (38, 1), (96, 4), (222, 2), (39, 13), (82, 15), (256, 13), (43, 4), (112, 7), (22, 14), (145, 6), (147, 5), (86, 5), (130, 2), (48, 13), (148, 8), (83, 2), (104, 14), (84, 6), (131, 11), (132, 7), (254, 15), (30, 8), (26, 15), (204, 15), (31, 14), (255, 12), (199, 11), (257, 4), (224, 3), (258, 1), (118, 3), (49, 7), (153, 3), (200, 12), (50, 1), (61, 8), (51, 9), (259, 8), (205, 7), (52, 12), (236, 15), (10, 13), (149, 2), (225, 1), (167, 9), (138, 13), (139, 2), (237, 6), (119, 10), (238, 14), (168, 5), (183, 12), (120, 6), (144, 4), (226, 10), (121, 12), (239, 11), (63, 3), (171, 1), (122, 2), (154, 11), (27, 13), (172, 6), (123, 1), (242, 3), (28, 7), (29, 10), (66, 5), (124, 13), (186, 13), (129, 13), (187, 3), (173, 3), (188, 15), (174, 9), (175, 11), (190, 14), (191, 5), (67, 9), (176, 14), (68, 5)]"
4,"[(216, 11), (99, 14), (234, 4), (150, 10), (217, 15), (160, 9), (35, 12), (181, 4), (38, 11), (177, 6), (80, 8), (232, 8), (44, 9), (155, 14), (100, 13), (30, 8), (32, 4), (81, 6), (11, 11), (15, 2), (16, 10), (145, 6), (233, 2), (87, 14), (12, 15), (33, 8), (235, 3), (192, 10), (197, 2), (236, 11), (151, 6), (26, 15), (13, 10), (97, 2), (247, 12), (85, 3), (156, 3), (1, 13), (8, 6), (17, 1), (237, 2), (248, 3), (39, 12), (163, 13), (49, 7), (9, 12), (23, 15), (37, 5), (27, 10), (51, 6), (252, 9), (152, 10), (6, 6), (28, 6), (7, 12), (201, 8), (2, 6), (195, 10), (24, 6), (238, 12), (31, 12), (25, 8), (45, 12), (101, 7), (164, 6), (74, 5), (218, 2), (82, 15), (146, 6), (89, 11), (14, 3), (154, 14), (63, 3), (34, 9), (179, 12), (86, 9), (50, 1), (29, 3), (198, 5), (200, 12), (66, 1), (219, 15), (90, 6), (98, 15), (112, 8), (221, 9), (249, 13), (18, 1), (149, 2), (10, 13), (4, 14), (69, 13), (180, 9), (52, 1), (43, 4), (92, 1), (222, 8), (93, 8), (83, 2), (113, 12), (196, 14), (213, 6), (84, 6), (53, 5), (114, 11), (94, 11), (95, 5), (130, 1), (224, 7), (239, 11), (117, 13), (96, 6), (102, 15), (104, 14), (54, 12), (19, 14), (67, 9), (103, 8), (20, 13), (131, 6), (132, 7), (21, 2), (253, 15), (55, 9), (22, 9), (133, 11), (46, 2), (254, 15), (193, 10), (194, 14), (36, 6), (140, 9), (225, 5), (68, 8), (226, 11), (242, 3), (76, 2), (71, 15), (48, 13), (121, 6), (122, 2), (72, 3), (73, 13), (141, 2), (165, 2), (125, 7), (143, 1), (255, 12), (144, 4), (126, 7), (169, 3), (170, 4), (196, 14), (171, 1), (172, 6), (77, 14), (173, 3), (78, 15), (128, 4), (174, 9), (129, 13), (79, 14), (256, 13), (257, 12), (175, 7), (258, 1), (176, 15), (259, 8)]"
5,"[(232, 8), (177, 6), (74, 13), (87, 15), (38, 11), (252, 14), (1, 13), (99, 2), (253, 15), (197, 2), (39, 13), (30, 6), (31, 14), (233, 15), (17, 6), (6, 6), (247, 10), (150, 10), (101, 7), (145, 6), (216, 10), (97, 10), (11, 4), (69, 13), (178, 10), (18, 12), (146, 1), (248, 5), (100, 9), (181, 4), (26, 10), (254, 15), (19, 13), (108, 11), (15, 2), (234, 5), (8, 6), (75, 6), (27, 12), (235, 3), (201, 3), (32, 7), (206, 3), (89, 15), (109, 4), (23, 15), (63, 3), (7, 12), (24, 4), (2, 9), (70, 13), (33, 6), (110, 2), (227, 6), (9, 12), (20, 13), (160, 15), (236, 15), (12, 8), (255, 12), (80, 10), (4, 11), (249, 13), (180, 9), (25, 1), (34, 9), (207, 15), (237, 2), (238, 6), (10, 13), (28, 6), (78, 4), (155, 15), (29, 8), (85, 3), (53, 5), (133, 10), (13, 14), (112, 8), (44, 9), (64, 5), (92, 6), (43, 5), (65, 2), (81, 9), (16, 7), (49, 7), (199, 11), (130, 2), (200, 12), (131, 5), (50, 6), (239, 12), (37, 7), (93, 14), (242, 13), (256, 13), (157, 14), (158, 4), (21, 2), (86, 9), (98, 1), (257, 4), (228, 12), (72, 15), (153, 12), (82, 15), (54, 15), (154, 6), (51, 9), (90, 6), (229, 1), (52, 1), (208, 1), (132, 1), (73, 10), (83, 2), (94, 11), (79, 14), (22, 9), (14, 2), (161, 13), (84, 1), (149, 2), (68, 5), (60, 4), (95, 5), (162, 12), (96, 6), (165, 2), (182, 8), (258, 11), (134, 10), (118, 3), (183, 12), (230, 4), (138, 13), (186, 13), (231, 14), (47, 14), (48, 8), (187, 3), (139, 11), (61, 4), (169, 3), (144, 8), (188, 15), (189, 9), (35, 12), (170, 4), (36, 6), (119, 5), (120, 2), (171, 10), (259, 8), (121, 6), (172, 6), (122, 2), (191, 8), (125, 11), (126, 8), (128, 7), (129, 13), (173, 3), (174, 5), (175, 11), (176, 14)]"
6,"[(30, 3), (112, 8), (232, 11), (44, 9), (130, 2), (17, 13), (252, 9), (74, 5), (11, 7), (247, 12), (31, 12), (26, 15), (38, 1), (131, 11), (155, 15), (101, 4), (97, 10), (160, 15), (37, 7), (133, 10), (12, 11), (80, 12), (98, 15), (118, 3), (13, 10), (27, 12), (201, 13), (99, 2), (157, 12), (177, 1), (39, 12), (209, 4), (179, 12), (1, 5), (216, 11), (180, 9), (15, 5), (2, 6), (163, 13), (181, 4), (248, 3), (145, 6), (8, 7), (69, 3), (102, 15), (119, 10), (253, 15), (53, 5), (249, 13), (70, 6), (227, 6), (16, 10), (210, 6), (120, 1), (192, 10), (233, 15), (76, 2), (23, 15), (164, 4), (87, 4), (81, 10), (228, 1), (34, 9), (24, 4), (28, 10), (77, 14), (229, 14), (147, 5), (104, 2), (150, 2), (3, 1), (85, 13), (103, 8), (18, 1), (9, 12), (195, 13), (32, 7), (230, 4), (158, 7), (134, 10), (91, 12), (10, 13), (19, 4), (148, 1), (211, 14), (20, 12), (132, 7), (234, 5), (212, 15), (256, 13), (92, 6), (196, 14), (86, 10), (35, 12), (14, 3), (93, 5), (25, 14), (49, 7), (94, 3), (95, 13), (100, 13), (82, 14), (63, 8), (33, 6), (243, 4), (6, 12), (121, 12), (36, 6), (165, 2), (21, 2), (43, 5), (29, 15), (96, 4), (153, 3), (231, 5), (22, 4), (72, 15), (149, 2), (83, 2), (84, 15), (50, 1), (193, 10), (194, 14), (244, 14), (245, 13), (51, 6), (73, 10), (246, 13), (45, 8), (197, 10), (250, 2), (7, 12), (122, 2), (54, 12), (46, 2), (166, 8), (167, 9), (52, 1), (198, 5), (64, 8), (168, 5), (125, 11), (78, 15), (257, 12), (127, 6), (79, 14), (55, 1), (171, 10), (154, 14), (65, 2), (138, 13), (200, 3), (68, 5), (254, 15), (128, 5), (255, 12), (196, 14), (139, 2), (144, 8), (172, 6), (129, 5), (48, 8), (258, 11), (173, 12), (174, 5), (259, 8), (175, 7), (176, 14)]"
7,"[(112, 7), (69, 13), (113, 5), (114, 15), (71, 15), (17, 5), (232, 9), (30, 3), (11, 4), (87, 14), (247, 12), (155, 15), (15, 2), (216, 3), (23, 14), (177, 1), (32, 5), (248, 3), (99, 7), (234, 5), (16, 12), (150, 2), (12, 15), (157, 8), (249, 13), (74, 13), (38, 11), (72, 11), (26, 15), (80, 10), (24, 6), (252, 9), (243, 5), (63, 8), (64, 8), (101, 7), (88, 5), (33, 8), (31, 12), (13, 1), (85, 12), (117, 13), (133, 11), (244, 10), (86, 9), (73, 13), (1, 5), (253, 15), (108, 10), (25, 14), (14, 7), (81, 8), (197, 2), (82, 14), (233, 2), (44, 9), (6, 6), (227, 4), (121, 6), (109, 6), (97, 2), (153, 3), (8, 7), (140, 5), (7, 14), (145, 6), (201, 13), (158, 7), (2, 7), (92, 6), (18, 1), (19, 4), (165, 2), (93, 14), (9, 13), (47, 14), (20, 4), (146, 3), (94, 3), (76, 2), (37, 7), (3, 1), (214, 8), (130, 2), (122, 9), (110, 2), (21, 9), (215, 11), (125, 11), (10, 4), (127, 14), (53, 5), (154, 14), (77, 14), (245, 7), (98, 15), (22, 9), (246, 15), (100, 9), (54, 12), (141, 2), (65, 2), (169, 3), (131, 5), (58, 1), (198, 7), (95, 8), (68, 8), (83, 2), (132, 10), (250, 4), (256, 13), (257, 12), (39, 12), (181, 4), (192, 3), (128, 4), (27, 10), (28, 10), (29, 10), (84, 15), (49, 7), (129, 5), (228, 9), (200, 12), (96, 3), (149, 2), (229, 14), (48, 8), (193, 10), (160, 12), (179, 12), (50, 1), (161, 6), (162, 5), (43, 4), (195, 10), (170, 4), (59, 8), (254, 15), (255, 12), (258, 1), (171, 1), (78, 4), (230, 3), (35, 12), (79, 3), (231, 14), (259, 8), (172, 6), (51, 9), (194, 13), (36, 4), (173, 12), (52, 12), (180, 7), (34, 9), (174, 5), (175, 11), (176, 15), (196, 14), (143, 1), (144, 4)]"
8,"[(247, 10), (99, 2), (32, 7), (26, 15), (101, 4), (80, 10), (234, 4), (81, 10), (216, 3), (155, 15), (11, 11), (87, 14), (252, 14), (74, 15), (1, 5), (85, 12), (33, 8), (100, 13), (15, 4), (160, 9), (8, 9), (177, 2), (17, 6), (9, 12), (6, 9), (2, 7), (23, 15), (197, 10), (112, 7), (235, 5), (86, 9), (18, 1), (253, 15), (105, 9), (236, 15), (163, 10), (24, 2), (157, 8), (10, 4), (30, 6), (82, 13), (91, 13), (198, 7), (97, 10), (130, 2), (200, 12), (248, 5), (16, 1), (3, 1), (19, 3), (63, 8), (25, 12), (98, 14), (256, 13), (150, 2), (7, 14), (201, 13), (232, 11), (20, 3), (37, 7), (153, 3), (131, 6), (12, 11), (249, 4), (27, 12), (28, 13), (35, 12), (240, 2), (213, 6), (158, 8), (44, 9), (29, 14), (53, 5), (54, 15), (145, 6), (233, 15), (257, 12), (132, 7), (154, 14), (147, 8), (241, 6), (45, 12), (38, 1), (40, 6), (13, 10), (83, 13), (69, 7), (242, 4), (71, 15), (133, 11), (134, 5), (179, 12), (164, 4), (92, 6), (254, 15), (14, 7), (93, 14), (60, 10), (165, 2), (227, 13), (228, 1), (229, 14), (118, 3), (84, 1), (36, 6), (119, 5), (72, 3), (75, 9), (61, 4), (148, 1), (230, 13), (31, 12), (149, 2), (255, 12), (94, 11), (95, 5), (181, 4), (192, 3), (78, 4), (21, 9), (79, 10), (120, 6), (49, 5), (64, 5), (46, 2), (96, 6), (231, 11), (22, 1), (50, 5), (195, 13), (121, 13), (48, 8), (51, 9), (138, 13), (122, 2), (196, 14), (125, 7), (73, 13), (258, 11), (34, 9), (139, 2), (169, 3), (170, 5), (180, 7), (127, 14), (128, 4), (171, 1), (144, 4), (193, 10), (129, 13), (194, 14), (65, 2), (52, 12), (259, 8), (68, 5), (196, 14), (41, 7), (42, 15), (43, 4), (172, 6), (173, 12), (174, 5), (175, 11), (176, 15)]"
9,"[(197, 2), (101, 4), (63, 8), (177, 6), (99, 14), (17, 13), (37, 5), (38, 11), (247, 8), (1, 5), (150, 2), (64, 8), (232, 9), (216, 3), (26, 15), (18, 1), (217, 12), (49, 7), (44, 9), (160, 9), (8, 9), (198, 7), (201, 13), (233, 15), (11, 4), (133, 11), (19, 14), (97, 2), (23, 9), (24, 7), (220, 10), (151, 6), (6, 9), (98, 14), (87, 14), (32, 7), (161, 13), (112, 8), (113, 8), (33, 2), (234, 4), (80, 10), (81, 2), (30, 3), (145, 6), (221, 15), (100, 13), (51, 9), (222, 2), (20, 13), (165, 2), (224, 3), (50, 6), (12, 11), (21, 4), (200, 3), (235, 10), (85, 3), (152, 10), (140, 1), (9, 13), (25, 13), (22, 9), (65, 2), (2, 6), (162, 12), (10, 10), (13, 6), (15, 7), (35, 12), (3, 3), (213, 1), (82, 13), (68, 5), (225, 5), (7, 12), (16, 7), (155, 14), (74, 15), (141, 2), (86, 12), (14, 6), (92, 1), (143, 1), (93, 14), (252, 14), (130, 2), (154, 11), (159, 5), (94, 11), (83, 13), (178, 10), (180, 7), (95, 5), (76, 2), (131, 5), (181, 4), (88, 9), (192, 10), (236, 15), (237, 10), (166, 8), (69, 13), (96, 4), (248, 3), (195, 13), (106, 5), (31, 12), (70, 6), (72, 11), (47, 14), (84, 1), (132, 1), (48, 8), (249, 8), (226, 10), (167, 9), (39, 13), (253, 11), (115, 7), (36, 4), (238, 6), (52, 12), (34, 9), (146, 1), (144, 4), (107, 1), (27, 12), (73, 10), (43, 4), (168, 11), (28, 9), (29, 3), (254, 15), (77, 14), (116, 3), (78, 15), (193, 10), (194, 13), (171, 10), (79, 14), (53, 5), (117, 4), (54, 15), (56, 6), (149, 2), (256, 13), (255, 12), (257, 12), (258, 11), (172, 6), (239, 11), (242, 13), (57, 14), (121, 6), (173, 12), (259, 8), (196, 14), (122, 2), (125, 11), (174, 5), (127, 14), (175, 11), (176, 15), (128, 5), (129, 4)]"
10,"[(181, 4), (32, 5), (30, 8), (69, 7), (97, 10), (252, 9), (38, 1), (33, 8), (74, 13), (11, 11), (201, 3), (40, 6), (206, 6), (15, 7), (98, 1), (207, 12), (182, 15), (150, 2), (34, 9), (17, 13), (76, 2), (155, 12), (216, 4), (99, 7), (247, 8), (1, 5), (160, 15), (23, 9), (100, 5), (153, 12), (6, 9), (8, 6), (16, 10), (87, 4), (26, 15), (208, 7), (89, 15), (90, 7), (92, 1), (248, 5), (37, 5), (44, 9), (9, 13), (145, 6), (197, 2), (249, 4), (10, 10), (234, 3), (165, 2), (227, 13), (70, 6), (198, 5), (12, 12), (53, 5), (154, 14), (177, 2), (24, 2), (147, 5), (25, 13), (200, 12), (27, 13), (28, 10), (18, 1), (31, 14), (2, 6), (243, 4), (72, 11), (29, 15), (163, 15), (73, 10), (164, 2), (112, 7), (93, 5), (45, 8), (244, 10), (133, 10), (94, 11), (232, 11), (77, 1), (245, 7), (130, 1), (101, 7), (19, 5), (4, 11), (41, 7), (131, 5), (246, 14), (95, 5), (228, 9), (229, 6), (13, 7), (80, 8), (14, 2), (230, 4), (250, 14), (231, 14), (85, 3), (159, 9), (86, 9), (179, 12), (63, 8), (134, 10), (54, 15), (49, 5), (102, 14), (253, 15), (55, 1), (42, 2), (51, 6), (20, 13), (148, 8), (104, 2), (256, 13), (43, 4), (35, 12), (46, 2), (180, 7), (64, 5), (96, 6), (132, 1), (36, 4), (257, 12), (103, 8), (81, 2), (21, 9), (78, 4), (82, 14), (254, 15), (118, 3), (50, 1), (83, 13), (84, 1), (65, 2), (22, 12), (68, 8), (79, 14), (52, 12), (149, 2), (119, 10), (135, 4), (7, 12), (183, 12), (48, 13), (233, 15), (186, 4), (120, 2), (121, 6), (136, 12), (122, 2), (187, 3), (169, 3), (170, 2), (171, 1), (255, 12), (137, 7), (258, 11), (139, 11), (259, 8), (144, 4), (123, 1), (124, 13), (129, 4), (172, 6), (173, 3), (174, 9), (175, 11), (176, 14), (188, 15), (189, 9), (191, 5)]"
