Iteration,schedules
1,"[(105, 8), (34, 2), (154, 5), (160, 6), (157, 6), (73, 2), (74, 5), (60, 3), (144, 15), (168, 5), (1, 5), (181, 3), (5, 6), (107, 8), (29, 3), (146, 12), (155, 8), (17, 13), (161, 15), (7, 7), (106, 15), (69, 8), (70, 6), (108, 1), (35, 13), (2, 7), (122, 10), (109, 4), (22, 11), (149, 9), (4, 12), (150, 13), (18, 2), (26, 15), (89, 11), (110, 15), (56, 2), (57, 7), (111, 7), (36, 9), (151, 12), (147, 4), (19, 7), (156, 4), (71, 12), (6, 5), (20, 15), (158, 1), (139, 2), (72, 6), (59, 3), (134, 6), (39, 9), (27, 2), (123, 10), (3, 4), (100, 4), (75, 4), (8, 12), (76, 4), (140, 6), (9, 12), (136, 8), (101, 9), (102, 14), (159, 5), (103, 3), (78, 4), (10, 11), (141, 9), (162, 2), (104, 14), (163, 11), (137, 8), (40, 4), (143, 6), (164, 6), (85, 10), (30, 14), (31, 4), (11, 1), (21, 3), (86, 6), (124, 4), (87, 8), (125, 13), (167, 12), (41, 15), (138, 2), (23, 8), (126, 12), (24, 11), (32, 7), (128, 2), (25, 12), (133, 4), (42, 12), (33, 10), (28, 8), (43, 4), (44, 2), (46, 1), (47, 15), (48, 9), (50, 8)]"
2,"[(168, 6), (89, 4), (139, 10), (60, 3), (90, 5), (149, 12), (107, 6), (112, 6), (69, 4), (122, 10), (22, 11), (17, 13), (26, 15), (18, 2), (105, 11), (27, 2), (29, 3), (19, 8), (113, 15), (70, 10), (7, 7), (14, 13), (106, 15), (123, 5), (140, 6), (20, 15), (1, 1), (4, 12), (150, 13), (15, 3), (141, 11), (151, 8), (71, 13), (2, 7), (73, 12), (5, 8), (160, 6), (143, 11), (154, 5), (16, 10), (40, 4), (173, 12), (21, 3), (30, 14), (74, 3), (41, 15), (72, 13), (124, 4), (3, 4), (78, 7), (6, 3), (23, 8), (42, 12), (134, 6), (75, 8), (161, 15), (43, 7), (76, 4), (24, 5), (114, 1), (157, 9), (25, 12), (82, 1), (93, 8), (31, 4), (144, 14), (158, 1), (155, 15), (56, 2), (34, 2), (37, 10), (125, 13), (165, 12), (94, 9), (44, 2), (136, 8), (146, 8), (95, 10), (174, 4), (137, 8), (156, 4), (28, 8), (38, 4), (166, 7), (147, 7), (39, 9), (96, 2), (167, 10), (126, 12), (128, 2), (58, 11), (59, 3), (32, 7), (133, 8), (138, 2), (159, 5), (33, 10), (46, 1), (99, 10), (47, 6), (49, 5), (50, 8)]"
3,"[(73, 10), (149, 15), (78, 4), (22, 1), (134, 6), (122, 11), (129, 5), (88, 7), (17, 11), (56, 10), (168, 2), (18, 6), (74, 3), (144, 14), (89, 13), (145, 3), (181, 11), (107, 6), (150, 6), (131, 13), (75, 8), (29, 3), (60, 3), (112, 3), (100, 13), (30, 14), (160, 15), (132, 1), (34, 3), (151, 8), (1, 1), (23, 15), (101, 1), (4, 12), (24, 11), (58, 11), (61, 15), (135, 3), (154, 5), (102, 14), (35, 13), (62, 11), (105, 8), (106, 2), (103, 3), (63, 10), (2, 7), (40, 4), (104, 11), (3, 4), (155, 8), (133, 8), (36, 9), (156, 4), (64, 12), (5, 13), (19, 7), (139, 10), (142, 3), (39, 9), (51, 3), (26, 15), (6, 3), (27, 2), (157, 7), (113, 12), (59, 12), (20, 2), (143, 14), (158, 7), (159, 5), (138, 2), (25, 12), (161, 10), (31, 4), (54, 10), (165, 12), (52, 10), (28, 11), (114, 7), (55, 14), (32, 7), (33, 10), (53, 13), (65, 12), (7, 7), (14, 14), (15, 4), (68, 3), (16, 10), (21, 7), (55, 14), (166, 7), (167, 10)]"
4,"[(107, 13), (144, 14), (105, 8), (160, 6), (161, 10), (29, 3), (120, 1), (22, 11), (148, 1), (1, 3), (168, 2), (17, 13), (26, 15), (60, 3), (173, 9), (4, 11), (30, 6), (89, 10), (149, 9), (23, 8), (139, 2), (106, 15), (122, 11), (18, 6), (34, 3), (7, 7), (154, 14), (69, 5), (27, 2), (35, 8), (129, 9), (24, 11), (152, 10), (73, 10), (56, 10), (153, 8), (174, 4), (157, 6), (121, 11), (130, 12), (14, 14), (70, 11), (15, 2), (19, 10), (78, 4), (158, 1), (162, 2), (88, 1), (155, 15), (57, 5), (140, 1), (2, 7), (74, 3), (163, 14), (100, 13), (3, 2), (5, 13), (101, 9), (102, 6), (16, 10), (164, 6), (71, 13), (167, 12), (103, 6), (141, 10), (143, 14), (104, 14), (20, 2), (132, 1), (21, 7), (75, 8), (72, 6), (6, 3), (59, 12), (36, 9), (31, 4), (134, 6), (40, 4), (135, 6), (51, 3), (39, 5), (76, 14), (25, 12), (133, 4), (54, 13), (52, 10), (156, 4), (53, 13), (28, 11), (55, 14), (159, 1), (138, 2), (32, 7), (33, 6)]"
5,"[(73, 8), (56, 2), (105, 8), (22, 1), (149, 12), (78, 4), (122, 10), (60, 11), (34, 2), (168, 5), (26, 15), (29, 3), (152, 15), (69, 1), (27, 2), (134, 6), (1, 5), (89, 3), (154, 14), (17, 11), (160, 6), (106, 2), (79, 13), (74, 13), (4, 11), (157, 6), (58, 11), (70, 11), (30, 14), (71, 7), (23, 15), (72, 10), (135, 6), (100, 6), (81, 12), (101, 9), (7, 7), (18, 6), (102, 6), (155, 8), (158, 1), (123, 5), (161, 10), (139, 2), (5, 13), (80, 3), (31, 4), (24, 11), (8, 14), (32, 7), (19, 7), (170, 11), (75, 13), (138, 2), (9, 12), (107, 3), (10, 5), (11, 6), (140, 1), (119, 6), (37, 10), (38, 12), (144, 14), (153, 8), (76, 3), (156, 4), (39, 13), (6, 3), (20, 2), (2, 7), (59, 3), (103, 3), (162, 13), (171, 15), (141, 10), (172, 6), (21, 9), (25, 12), (40, 4), (104, 11), (28, 11), (33, 10), (143, 11), (148, 1), (51, 3), (159, 5), (3, 2), (54, 13), (163, 11), (164, 6), (55, 14), (167, 10), (124, 4), (52, 10), (125, 13), (53, 13), (126, 7), (55, 14), (128, 11), (133, 8)]"
6,"[(154, 14), (7, 7), (12, 8), (56, 2), (60, 4), (139, 2), (149, 12), (144, 12), (22, 11), (1, 1), (29, 3), (61, 5), (4, 11), (168, 6), (89, 13), (105, 11), (62, 15), (5, 8), (160, 6), (100, 4), (17, 13), (6, 5), (73, 10), (34, 3), (13, 4), (35, 8), (157, 6), (107, 3), (148, 9), (122, 10), (169, 3), (36, 9), (74, 5), (140, 6), (75, 4), (141, 10), (18, 2), (26, 15), (27, 13), (30, 14), (150, 13), (2, 5), (3, 2), (158, 1), (63, 2), (64, 13), (161, 15), (101, 10), (39, 9), (78, 4), (151, 8), (65, 12), (68, 13), (57, 7), (162, 2), (19, 7), (155, 8), (143, 6), (129, 5), (23, 15), (20, 14), (102, 4), (88, 1), (59, 3), (106, 15), (21, 10), (103, 6), (31, 4), (156, 4), (24, 5), (104, 11), (131, 15), (134, 6), (132, 1), (133, 4), (32, 7), (40, 4), (163, 11), (33, 10), (119, 1), (159, 5), (164, 6), (136, 8), (137, 1), (167, 10), (138, 2), (51, 10), (54, 10), (55, 14), (25, 12), (52, 10), (28, 8), (53, 13), (55, 14)]"
7,"[(89, 4), (149, 9), (107, 13), (34, 2), (154, 14), (17, 11), (56, 10), (152, 15), (153, 2), (144, 12), (60, 3), (22, 11), (1, 1), (157, 12), (26, 15), (90, 12), (69, 1), (93, 10), (73, 2), (94, 15), (4, 11), (95, 2), (74, 3), (155, 8), (29, 3), (27, 13), (23, 8), (158, 1), (24, 11), (96, 2), (120, 13), (7, 7), (168, 6), (121, 8), (75, 4), (8, 14), (181, 3), (70, 15), (25, 12), (99, 11), (160, 15), (5, 8), (18, 6), (139, 2), (161, 10), (105, 9), (9, 12), (10, 5), (165, 8), (6, 3), (134, 6), (2, 7), (11, 13), (40, 4), (122, 10), (58, 11), (142, 3), (156, 4), (71, 12), (72, 15), (159, 5), (143, 11), (28, 11), (30, 6), (123, 10), (135, 3), (76, 3), (78, 7), (3, 2), (19, 8), (124, 4), (146, 8), (37, 10), (38, 4), (20, 15), (21, 9), (106, 15), (147, 4), (138, 2), (39, 9), (59, 12), (85, 10), (125, 12), (86, 4), (126, 7), (41, 8), (31, 4), (87, 2), (166, 7), (167, 10), (32, 7), (33, 10), (128, 11), (42, 12), (43, 8), (133, 8), (44, 2), (46, 1), (47, 6), (49, 14), (50, 5)]"
8,"[(60, 3), (154, 14), (69, 5), (22, 1), (73, 2), (89, 3), (168, 6), (139, 2), (157, 7), (160, 11), (161, 15), (56, 10), (162, 2), (74, 13), (34, 3), (70, 14), (57, 7), (75, 8), (155, 15), (71, 12), (105, 8), (17, 11), (90, 12), (72, 15), (178, 15), (78, 4), (76, 14), (163, 14), (144, 12), (164, 11), (26, 15), (1, 1), (145, 3), (156, 4), (2, 5), (107, 13), (29, 12), (23, 15), (142, 12), (158, 1), (5, 13), (27, 2), (91, 7), (92, 4), (143, 11), (149, 12), (120, 13), (159, 5), (4, 12), (24, 5), (167, 10), (18, 2), (121, 5), (19, 10), (30, 14), (6, 3), (134, 6), (59, 12), (150, 6), (37, 10), (151, 5), (135, 6), (3, 2), (40, 4), (79, 14), (106, 15), (94, 15), (95, 10), (122, 11), (80, 6), (7, 7), (81, 14), (14, 11), (15, 2), (38, 12), (96, 2), (123, 10), (99, 11), (124, 4), (125, 12), (16, 14), (39, 5), (126, 7), (51, 3), (138, 2), (54, 10), (128, 11), (133, 4), (31, 4), (25, 12), (55, 14), (32, 7), (28, 11), (33, 6), (52, 10), (20, 2), (21, 7), (53, 14), (55, 14)]"
9,"[(144, 14), (107, 8), (60, 3), (89, 13), (69, 4), (29, 12), (105, 8), (146, 12), (1, 1), (73, 12), (40, 4), (115, 8), (74, 3), (17, 11), (51, 3), (139, 10), (30, 14), (106, 15), (2, 7), (78, 4), (140, 1), (4, 10), (5, 6), (18, 2), (122, 10), (54, 10), (70, 11), (100, 6), (117, 14), (147, 7), (3, 4), (129, 1), (82, 15), (34, 2), (149, 12), (116, 8), (55, 14), (22, 11), (56, 10), (71, 9), (72, 15), (118, 2), (6, 3), (19, 10), (130, 2), (160, 15), (132, 1), (101, 9), (102, 1), (150, 6), (23, 15), (7, 7), (161, 10), (154, 8), (151, 8), (103, 4), (155, 9), (157, 7), (141, 10), (168, 6), (173, 9), (26, 15), (35, 8), (24, 11), (133, 8), (143, 11), (25, 12), (174, 3), (75, 8), (36, 9), (58, 11), (76, 7), (8, 12), (27, 13), (52, 10), (104, 11), (31, 4), (165, 12), (20, 15), (39, 5), (158, 7), (166, 7), (9, 12), (10, 11), (11, 15), (167, 12), (59, 3), (21, 3), (32, 7), (156, 4), (134, 6), (159, 1), (136, 8), (33, 6), (53, 14), (28, 11), (137, 1), (55, 14), (138, 2)]"
10,"[(60, 5), (34, 3), (29, 12), (78, 4), (35, 13), (89, 3), (149, 15), (1, 1), (107, 8), (2, 7), (160, 11), (144, 15), (146, 8), (17, 15), (30, 14), (108, 8), (73, 10), (109, 15), (3, 2), (85, 11), (22, 1), (110, 15), (122, 10), (152, 10), (7, 7), (23, 8), (111, 7), (90, 12), (36, 9), (147, 4), (39, 13), (5, 6), (12, 8), (6, 3), (4, 11), (105, 11), (168, 5), (153, 8), (93, 8), (74, 13), (13, 4), (69, 5), (87, 8), (161, 15), (86, 4), (94, 9), (24, 11), (70, 10), (123, 5), (169, 3), (127, 13), (71, 12), (26, 15), (27, 13), (31, 4), (106, 2), (134, 6), (56, 10), (40, 4), (128, 2), (58, 11), (95, 12), (41, 8), (97, 9), (72, 13), (32, 7), (98, 2), (139, 10), (154, 8), (157, 7), (59, 12), (33, 6), (18, 2), (155, 15), (19, 7), (135, 6), (158, 11), (42, 12), (140, 6), (45, 13), (46, 3), (47, 15), (141, 10), (75, 13), (99, 10), (20, 2), (162, 2), (76, 7), (163, 11), (21, 7), (138, 2), (48, 9), (50, 5), (143, 6), (133, 4), (164, 11), (156, 4), (167, 10), (25, 12), (28, 8), (159, 5)]"
