Iteration,schedules
1,"[(177, 11), (178, 10), (179, 4), (180, 12), (181, 7), (183, 11), (66, 12), (67, 13), (68, 5), (189, 6), (191, 8), (192, 1), (210, 5), (211, 9), (174, 12), (176, 7), (173, 9), (108, 3), (109, 3), (110, 9), (111, 8), (112, 11), (61, 15), (65, 9), (140, 10), (141, 7), (199, 8), (202, 1), (203, 9), (1, 2), (6, 12), (7, 3), (124, 4), (135, 3), (85, 13), (169, 6), (159, 5), (150, 9), (151, 8), (152, 2), (118, 14), (205, 7), (206, 13), (94, 15), (104, 11), (98, 1), (50, 7), (55, 7), (56, 9), (155, 5), (194, 2), (195, 1), (196, 9), (144, 1), (146, 6), (147, 7), (148, 2), (30, 2), (32, 2), (33, 2), (71, 14), (27, 2), (35, 7), (36, 14), (37, 3), (38, 7), (39, 1), (171, 4), (15, 14), (79, 4), (45, 13), (16, 7), (18, 3), (19, 6), (149, 5), (34, 4), (28, 15), (29, 5), (21, 13), (22, 8), (23, 7), (25, 11), (20, 6), (26, 6), (49, 3), (198, 11), (99, 5), (154, 8), (100, 4), (105, 6), (106, 5), (107, 5), (117, 7), (204, 8), (102, 13), (103, 5), (101, 10), (136, 10), (137, 14), (139, 14), (214, 4), (215, 10), (160, 6), (161, 8), (46, 2), (47, 8), (48, 14), (49, 3), (138, 13), (139, 14), (164, 12), (80, 11), (81, 7), (165, 14), (156, 1), (157, 9), (158, 1), (91, 14), (92, 2), (93, 1), (143, 12), (166, 1), (167, 12), (168, 10), (83, 2), (84, 13), (82, 7), (120, 1), (121, 10), (193, 2), (175, 4), (172, 6), (208, 3), (209, 10), (188, 8), (86, 1), (87, 5), (88, 3), (89, 2), (90, 12), (95, 10), (96, 7), (97, 3), (119, 8), (122, 12), (123, 9), (72, 15), (73, 15), (74, 12), (75, 13), (76, 12), (77, 11), (78, 8), (170, 14)]"
2,"[(144, 11), (146, 6), (147, 7), (148, 2), (199, 3), (202, 1), (203, 9), (194, 2), (195, 1), (196, 9), (71, 14), (104, 4), (140, 10), (142, 11), (118, 13), (85, 5), (205, 3), (206, 13), (176, 7), (210, 15), (211, 6), (1, 6), (2, 3), (45, 13), (169, 8), (150, 9), (153, 14), (174, 12), (50, 7), (54, 1), (173, 9), (159, 5), (61, 14), (63, 12), (64, 7), (35, 7), (42, 11), (43, 3), (44, 10), (98, 1), (94, 15), (15, 12), (124, 4), (135, 3), (30, 2), (32, 2), (33, 2), (79, 11), (189, 6), (190, 6), (155, 7), (108, 11), (109, 10), (110, 9), (111, 8), (112, 11), (171, 5), (66, 12), (69, 10), (70, 4), (177, 10), (184, 9), (185, 2), (187, 1), (27, 2), (188, 8), (28, 15), (117, 7), (29, 5), (136, 10), (138, 13), (139, 14), (137, 14), (139, 14), (157, 9), (156, 1), (158, 1), (21, 13), (22, 1), (23, 7), (25, 15), (83, 2), (84, 13), (80, 11), (81, 7), (82, 7), (49, 3), (16, 7), (18, 3), (19, 6), (20, 6), (26, 6), (193, 2), (172, 6), (46, 6), (47, 8), (48, 14), (49, 3), (72, 15), (73, 15), (74, 12), (75, 13), (76, 4), (77, 11), (78, 8), (154, 8), (105, 3), (106, 5), (107, 5), (149, 4), (175, 4), (102, 8), (103, 3), (208, 15), (209, 10), (214, 15), (215, 14), (34, 8), (204, 8), (143, 12), (160, 7), (163, 8), (120, 1), (121, 10), (198, 14), (119, 5), (122, 12), (123, 9), (91, 14), (92, 2), (93, 1), (166, 9), (167, 12), (168, 10), (99, 7), (100, 4), (164, 12), (165, 14), (170, 14), (95, 10), (96, 7), (97, 3), (101, 10), (86, 1), (87, 5), (88, 3), (89, 2), (90, 12)]"
3,"[(169, 6), (15, 12), (98, 1), (27, 2), (104, 4), (177, 11), (178, 10), (179, 4), (180, 12), (181, 7), (183, 11), (140, 10), (142, 11), (71, 14), (144, 1), (146, 6), (147, 7), (148, 2), (189, 6), (190, 3), (50, 7), (60, 15), (30, 13), (32, 2), (33, 2), (79, 11), (94, 15), (159, 5), (35, 7), (40, 8), (41, 6), (194, 2), (195, 1), (196, 9), (61, 14), (63, 12), (64, 7), (205, 3), (207, 8), (108, 3), (114, 9), (115, 7), (116, 2), (171, 7), (45, 15), (173, 9), (150, 9), (153, 14), (155, 5), (66, 12), (67, 13), (68, 5), (174, 12), (176, 7), (199, 8), (202, 1), (203, 9), (210, 13), (212, 2), (213, 1), (85, 1), (1, 6), (3, 11), (4, 15), (5, 6), (124, 4), (125, 15), (126, 12), (129, 13), (130, 3), (131, 6), (133, 5), (134, 1), (118, 14), (119, 5), (117, 7), (91, 14), (214, 4), (172, 6), (215, 10), (120, 12), (86, 1), (204, 5), (87, 5), (121, 10), (122, 12), (123, 9), (92, 2), (88, 3), (89, 2), (93, 1), (90, 12), (95, 10), (96, 7), (97, 3), (154, 8), (46, 6), (47, 8), (48, 14), (49, 5), (175, 4), (193, 2), (80, 8), (81, 7), (83, 4), (84, 13), (82, 7), (188, 4), (28, 14), (29, 5), (208, 3), (209, 10), (143, 12), (34, 6), (149, 5), (102, 8), (103, 3), (99, 5), (100, 4), (198, 11), (160, 9), (163, 8), (72, 15), (75, 13), (73, 15), (76, 4), (74, 12), (77, 11), (78, 8), (166, 1), (167, 12), (168, 10), (16, 7), (17, 13), (20, 6), (164, 12), (165, 14), (170, 14), (101, 10), (105, 2), (106, 5), (107, 5), (156, 6), (157, 9), (158, 1), (21, 4), (24, 14), (25, 15), (26, 6)]"
4,"[(15, 12), (124, 4), (125, 15), (126, 12), (129, 13), (130, 3), (131, 6), (132, 9), (134, 1), (140, 10), (141, 7), (1, 6), (14, 6), (194, 2), (197, 3), (171, 7), (94, 15), (66, 9), (69, 10), (70, 8), (173, 9), (159, 5), (176, 7), (30, 13), (31, 15), (118, 14), (210, 5), (211, 9), (104, 11), (79, 11), (45, 13), (199, 3), (202, 1), (203, 9), (189, 6), (190, 3), (71, 14), (35, 7), (42, 11), (43, 2), (44, 10), (169, 8), (155, 7), (98, 1), (61, 14), (63, 12), (64, 7), (150, 9), (153, 14), (205, 3), (207, 15), (50, 4), (57, 13), (27, 2), (174, 12), (144, 1), (145, 12), (108, 6), (114, 9), (115, 7), (116, 2), (177, 10), (178, 10), (182, 13), (183, 11), (85, 1), (188, 8), (117, 7), (149, 5), (154, 8), (91, 15), (92, 2), (86, 1), (204, 8), (175, 4), (208, 11), (102, 6), (209, 10), (93, 1), (103, 3), (87, 4), (214, 4), (88, 3), (89, 9), (193, 2), (90, 12), (215, 10), (101, 10), (170, 14), (49, 3), (99, 5), (100, 4), (58, 6), (46, 2), (47, 8), (48, 14), (49, 3), (34, 4), (28, 5), (29, 5), (198, 11), (59, 8), (95, 10), (96, 7), (97, 3), (157, 9), (164, 6), (165, 12), (16, 7), (17, 13), (20, 6), (143, 3), (105, 2), (106, 5), (107, 5), (160, 6), (163, 8), (166, 9), (167, 12), (168, 10), (156, 1), (158, 1), (120, 1), (121, 10), (72, 15), (73, 15), (75, 13), (76, 12), (74, 12), (77, 11), (78, 8), (119, 8), (122, 12), (123, 9), (83, 4), (84, 13), (80, 8), (81, 7), (82, 7), (172, 2), (21, 15), (22, 8), (23, 7), (25, 15), (26, 6)]"
5,"[(85, 5), (140, 10), (141, 7), (171, 7), (210, 13), (211, 9), (118, 14), (27, 2), (169, 6), (15, 12), (176, 7), (144, 11), (145, 12), (30, 4), (32, 11), (33, 2), (66, 9), (67, 13), (68, 5), (61, 15), (65, 1), (150, 9), (151, 8), (152, 2), (45, 15), (159, 5), (98, 3), (108, 6), (114, 4), (115, 7), (116, 6), (174, 12), (104, 3), (205, 3), (206, 6), (35, 7), (40, 2), (41, 6), (124, 4), (125, 15), (126, 12), (127, 4), (128, 2), (130, 3), (131, 6), (133, 5), (134, 1), (50, 7), (60, 15), (189, 6), (190, 3), (177, 10), (178, 10), (179, 4), (180, 12), (181, 7), (183, 11), (94, 15), (79, 11), (71, 14), (199, 8), (200, 8), (201, 2), (194, 2), (195, 1), (196, 9), (173, 9), (1, 6), (14, 6), (155, 7), (204, 8), (188, 4), (193, 2), (80, 11), (198, 11), (175, 4), (83, 2), (160, 9), (163, 8), (208, 11), (81, 7), (209, 10), (84, 13), (82, 7), (149, 5), (166, 1), (16, 7), (18, 3), (19, 6), (20, 6), (167, 12), (168, 4), (105, 2), (106, 5), (107, 5), (34, 8), (99, 5), (100, 4), (164, 9), (165, 14), (156, 1), (157, 9), (158, 1), (46, 2), (47, 8), (48, 14), (49, 3), (117, 10), (95, 10), (96, 7), (97, 3), (102, 8), (103, 5), (172, 8), (119, 1), (214, 15), (215, 10), (154, 13), (91, 14), (92, 2), (93, 1), (28, 14), (29, 5), (72, 11), (75, 13), (73, 15), (76, 12), (74, 12), (77, 11), (78, 8), (120, 12), (121, 10), (122, 12), (123, 9), (143, 3), (101, 11), (21, 13), (22, 9), (23, 7), (25, 15), (26, 6), (170, 12), (86, 1), (87, 14), (88, 3), (89, 2), (90, 12)]"
6,"[(61, 15), (63, 12), (64, 7), (66, 12), (67, 13), (68, 5), (144, 11), (145, 12), (15, 14), (155, 5), (85, 6), (45, 13), (140, 10), (142, 11), (1, 2), (12, 1), (13, 2), (79, 4), (94, 15), (104, 3), (98, 1), (108, 3), (109, 10), (110, 9), (113, 8), (112, 11), (27, 2), (30, 4), (31, 15), (171, 7), (205, 7), (206, 13), (173, 9), (177, 11), (184, 9), (186, 15), (187, 1), (50, 4), (60, 12), (71, 9), (176, 5), (194, 10), (197, 3), (118, 13), (159, 5), (169, 8), (210, 13), (212, 2), (213, 1), (150, 9), (151, 8), (152, 2), (199, 8), (200, 6), (201, 2), (174, 12), (124, 4), (125, 15), (126, 12), (129, 13), (130, 3), (131, 6), (133, 5), (134, 1), (189, 6), (190, 3), (35, 7), (40, 2), (41, 4), (204, 8), (193, 2), (154, 8), (49, 10), (120, 12), (121, 10), (164, 12), (143, 3), (165, 14), (95, 10), (96, 7), (97, 3), (214, 4), (215, 10), (166, 7), (167, 12), (168, 10), (101, 10), (188, 8), (72, 15), (75, 13), (76, 12), (73, 15), (74, 12), (77, 11), (78, 8), (80, 8), (81, 7), (170, 14), (34, 6), (160, 6), (162, 11), (149, 5), (175, 4), (157, 9), (208, 11), (209, 10), (156, 1), (158, 1), (99, 7), (100, 4), (16, 7), (17, 13), (20, 6), (119, 8), (122, 12), (123, 9), (91, 14), (92, 4), (93, 1), (83, 3), (84, 13), (82, 7), (102, 8), (103, 3), (172, 6), (117, 7), (198, 6), (28, 15), (29, 5), (105, 2), (106, 5), (107, 5), (46, 2), (47, 8), (48, 14), (49, 3), (21, 11), (22, 8), (23, 7), (25, 15), (26, 6), (86, 1), (87, 5), (88, 13), (89, 2), (90, 12)]"
7,"[(45, 15), (144, 11), (145, 12), (61, 14), (63, 2), (64, 7), (169, 6), (150, 9), (153, 14), (27, 2), (171, 7), (66, 12), (69, 10), (70, 8), (35, 7), (36, 12), (37, 3), (38, 7), (39, 1), (94, 10), (118, 2), (104, 4), (194, 10), (195, 6), (196, 9), (140, 10), (141, 7), (176, 5), (108, 3), (109, 10), (110, 9), (111, 8), (112, 11), (85, 13), (79, 11), (205, 3), (206, 13), (30, 4), (31, 15), (50, 7), (51, 14), (174, 12), (71, 14), (189, 6), (191, 8), (192, 1), (1, 5), (12, 1), (13, 2), (98, 1), (155, 5), (210, 15), (212, 2), (213, 1), (173, 9), (124, 4), (135, 3), (159, 13), (199, 8), (202, 1), (203, 9), (15, 9), (177, 11), (184, 5), (186, 15), (187, 1), (188, 8), (21, 13), (24, 14), (136, 10), (16, 7), (18, 3), (19, 6), (117, 7), (204, 8), (20, 6), (193, 2), (214, 4), (25, 15), (26, 6), (72, 15), (73, 15), (75, 13), (74, 12), (76, 4), (77, 11), (78, 8), (160, 9), (161, 1), (138, 13), (139, 14), (215, 10), (99, 5), (100, 4), (137, 14), (139, 14), (164, 12), (165, 12), (80, 11), (81, 7), (101, 10), (102, 8), (103, 3), (166, 3), (167, 12), (168, 10), (175, 4), (120, 12), (121, 10), (83, 3), (84, 13), (82, 7), (149, 5), (143, 3), (52, 6), (208, 11), (209, 10), (49, 3), (157, 9), (53, 2), (95, 10), (96, 7), (97, 3), (170, 14), (198, 11), (28, 15), (29, 5), (119, 1), (122, 12), (123, 9), (91, 14), (92, 2), (93, 1), (156, 6), (158, 1), (172, 6), (34, 8), (154, 13), (105, 6), (106, 5), (107, 5), (46, 2), (47, 8), (48, 14), (49, 3), (86, 1), (87, 5), (88, 3), (89, 2), (90, 12)]"
8,"[(118, 14), (15, 12), (144, 11), (146, 6), (147, 7), (148, 2), (30, 4), (32, 11), (33, 13), (174, 12), (177, 10), (178, 10), (182, 13), (183, 11), (85, 5), (35, 7), (42, 11), (43, 3), (44, 10), (176, 7), (108, 3), (109, 10), (110, 9), (111, 8), (112, 11), (155, 5), (173, 9), (205, 13), (206, 13), (199, 8), (202, 1), (203, 9), (210, 15), (211, 9), (140, 2), (141, 7), (79, 4), (71, 14), (169, 6), (171, 7), (45, 11), (1, 6), (14, 6), (61, 14), (63, 12), (64, 7), (150, 9), (153, 14), (104, 3), (94, 15), (159, 5), (98, 1), (194, 2), (195, 1), (196, 9), (27, 2), (189, 6), (190, 3), (50, 4), (60, 15), (66, 9), (69, 10), (70, 8), (124, 4), (135, 10), (138, 10), (139, 14), (198, 11), (136, 10), (137, 14), (139, 14), (154, 13), (214, 4), (193, 2), (204, 5), (102, 8), (99, 7), (103, 3), (215, 10), (100, 2), (101, 10), (46, 6), (105, 6), (106, 5), (107, 5), (117, 7), (47, 10), (48, 14), (49, 3), (143, 12), (149, 5), (28, 15), (164, 6), (165, 12), (175, 4), (208, 11), (209, 13), (156, 1), (16, 7), (18, 3), (19, 6), (20, 6), (160, 9), (162, 11), (188, 8), (91, 14), (92, 2), (93, 1), (119, 8), (95, 10), (96, 7), (97, 3), (34, 8), (29, 5), (83, 3), (84, 13), (172, 2), (157, 3), (158, 1), (166, 1), (167, 12), (168, 10), (72, 15), (73, 15), (80, 12), (81, 7), (82, 7), (75, 13), (76, 12), (74, 12), (77, 11), (78, 8), (21, 10), (22, 8), (23, 7), (25, 15), (26, 6), (170, 14), (120, 1), (121, 10), (122, 12), (123, 9), (86, 12), (87, 5), (88, 3), (89, 2), (90, 12)]"
9,"[(79, 4), (27, 2), (85, 5), (30, 13), (32, 2), (33, 2), (1, 6), (14, 6), (189, 6), (190, 3), (94, 15), (104, 11), (194, 10), (195, 1), (196, 9), (173, 9), (199, 3), (202, 1), (203, 9), (140, 10), (141, 7), (174, 12), (144, 1), (145, 12), (124, 4), (125, 15), (126, 12), (129, 13), (130, 3), (131, 6), (132, 9), (134, 1), (177, 11), (184, 9), (186, 15), (187, 1), (15, 14), (176, 7), (66, 12), (67, 6), (68, 5), (35, 7), (36, 14), (37, 3), (38, 7), (39, 6), (150, 9), (153, 14), (45, 15), (155, 5), (159, 13), (205, 3), (207, 8), (108, 6), (109, 10), (110, 9), (111, 8), (112, 11), (50, 7), (55, 7), (56, 9), (71, 14), (171, 7), (118, 14), (210, 5), (211, 6), (169, 8), (98, 1), (61, 12), (62, 13), (72, 15), (170, 14), (117, 7), (75, 13), (119, 5), (73, 15), (74, 12), (76, 4), (120, 12), (154, 8), (214, 4), (121, 10), (215, 10), (122, 12), (77, 11), (78, 8), (102, 8), (103, 3), (123, 9), (188, 4), (166, 3), (167, 12), (168, 10), (101, 10), (160, 6), (162, 11), (164, 12), (165, 14), (172, 2), (157, 9), (156, 1), (158, 1), (46, 6), (47, 8), (48, 14), (49, 3), (99, 5), (100, 2), (208, 11), (209, 10), (143, 12), (95, 10), (96, 7), (97, 3), (34, 8), (175, 4), (149, 5), (204, 8), (193, 2), (28, 15), (29, 5), (91, 14), (92, 2), (93, 1), (105, 3), (106, 5), (107, 5), (80, 8), (81, 7), (16, 7), (17, 13), (20, 6), (83, 4), (84, 13), (82, 7), (21, 15), (22, 4), (23, 7), (25, 15), (26, 6), (198, 11), (86, 1), (87, 5), (88, 3), (89, 2), (90, 12)]"
10,"[(118, 14), (150, 9), (153, 14), (144, 11), (145, 12), (177, 10), (184, 5), (186, 15), (187, 1), (98, 1), (15, 13), (79, 4), (45, 15), (27, 2), (108, 6), (114, 4), (115, 7), (116, 2), (50, 7), (54, 1), (205, 3), (206, 13), (176, 5), (66, 12), (67, 13), (68, 5), (104, 11), (155, 7), (140, 10), (142, 11), (173, 9), (189, 6), (191, 8), (192, 8), (30, 2), (32, 2), (33, 2), (199, 8), (202, 10), (203, 9), (159, 5), (124, 4), (125, 15), (126, 12), (127, 4), (128, 11), (130, 3), (131, 6), (133, 5), (134, 1), (210, 15), (212, 2), (213, 1), (171, 7), (174, 12), (94, 10), (85, 1), (194, 2), (197, 3), (61, 14), (62, 3), (1, 6), (12, 6), (13, 2), (169, 8), (35, 7), (40, 8), (41, 6), (71, 9), (175, 4), (91, 14), (92, 2), (93, 1), (198, 11), (86, 1), (87, 5), (214, 4), (88, 3), (215, 10), (89, 2), (90, 12), (49, 3), (193, 2), (80, 12), (81, 7), (46, 6), (34, 4), (47, 8), (48, 2), (49, 3), (143, 3), (120, 1), (121, 10), (16, 7), (18, 15), (19, 6), (20, 6), (101, 11), (166, 9), (172, 6), (157, 9), (160, 7), (161, 8), (117, 10), (164, 12), (165, 14), (95, 10), (96, 7), (97, 3), (28, 14), (29, 5), (105, 3), (106, 5), (107, 5), (167, 13), (83, 5), (84, 13), (82, 7), (99, 5), (100, 4), (168, 10), (156, 5), (158, 1), (149, 4), (188, 8), (170, 14), (204, 8), (119, 5), (122, 12), (123, 9), (208, 3), (209, 10), (102, 6), (103, 3), (154, 13), (21, 13), (24, 14), (25, 15), (26, 6), (72, 15), (75, 13), (73, 15), (74, 12), (76, 4), (77, 11), (78, 8)]"
