Iteration,Makespan
1,1245.5
2,1161.1
3,833.1
4,968.3000000000001
5,694.4
6,901.6000000000001
7,983.6999999999998
8,1165.2000000000003
9,1027.1999999999998
10,985.8
11,769.7
12,954.0
13,798.6
14,833.8
15,1094.9
16,731.5
17,788.7
18,951.1
19,883.7999999999998
20,988.8000000000001
21,628.3999999999999
22,1077.1
23,1270.8999999999999
24,947.3
25,944.5
26,931.5999999999999
27,963.7
28,985.4999999999999
29,879.8000000000001
30,898.1999999999999
31,1004.3
32,913.4999999999999
33,971.4000000000001
34,975.1
35,1125.1
36,914.0999999999999
37,989.6999999999999
38,1060.7
39,899.9
40,1167.6999999999998
41,819.7
42,1128.3999999999999
43,680.3
44,975.0
45,1076.8
46,1041.1
47,1168.1
48,1106.3
49,921.0999999999999
50,855.9
