Iteration,Makespan
1,1180.5
2,939.4999999999999
3,857.0
4,1153.8
5,649.0
6,536.9
7,1179.3
8,1016.9999999999999
9,1048.1
10,727.6
11,1003.4
12,741
13,847.0
14,833.3000000000001
15,767.9
16,873.5999999999999
17,923.0
18,1070.0
19,990
20,998.6
21,914.5999999999999
22,1026.8
23,843.3
24,814.5
25,986.9
26,717.0
27,812.7
28,799.9
29,1364.6
30,1213.9
31,954
32,625.6
33,1023
34,771
35,1070.8
36,870.2
37,946.4
38,963.6
39,1065.1
40,801
41,1031.0
42,801.4
43,899
44,880.1
45,1115.5
46,1250.1
47,917.9
48,1001.8
49,942.3
50,955
