Iteration,Makespan
1,1024.1
2,801.8
3,1040.6
4,893.8000000000001
5,982.0999999999999
6,730.1
7,992.9
8,948.6999999999999
9,864.2
10,1231.3999999999999
11,945.5
12,1028.7
13,774.4
14,641.0999999999999
15,960.0
16,823.4
17,848.5
18,819.1
19,987.0000000000001
20,574.9
21,902.6999999999999
22,945.5999999999999
23,887.9
24,859.8
25,739.0
26,930.6
27,722.5999999999999
28,789.6
29,842.8
30,864.4
31,800.3
32,950.5999999999999
33,839.6
34,993.6
35,821.9
36,696.6999999999999
37,798.6
38,780.6999999999999
39,747.7
40,933
41,956.8
42,1002.2
43,891.8000000000001
44,916.5
45,784.4
46,1133.2
47,904.4000000000001
48,837.4
49,925.1999999999999
50,864.9
