Iteration,Makespan
1,692.3999999999999
2,918.1999999999998
3,590.4
4,654.0999999999999
5,889.4
6,438.59999999999997
7,844.0999999999999
8,730.0000000000001
9,593.2
10,602.7
11,716.5
12,878.1999999999999
13,689.4
14,765.5
15,719.9
16,836.6999999999999
17,750.4000000000001
18,659.7
19,649.8999999999999
20,749.9
21,787.3
22,757.2
23,949.0
24,705.3999999999999
25,640.1
26,878.9
27,576.6
28,901.2999999999998
29,658.1999999999999
30,814.1999999999998
31,611.7
32,880.5999999999999
33,733.3
34,632.7
35,591.0
36,869.9999999999999
37,807.5
38,677.1
39,755.9
40,731.6
41,620.2
42,686.2999999999998
43,822.4000000000001
44,603.8
45,775.3999999999999
46,946.5999999999999
47,669.8999999999999
48,542.3000000000001
49,748.4999999999999
50,545.6999999999999
