Iteration,schedules
1,"[(102, 14), (176, 3), (177, 6), (178, 2), (198, 12), (1, 8), (150, 13), (162, 1), (201, 11), (203, 6), (204, 7), (205, 2), (223, 7), (224, 11), (200, 5), (145, 2), (146, 1), (147, 9), (226, 3), (227, 9), (123, 4), (124, 15), (216, 8), (218, 2), (128, 10), (129, 10), (130, 4), (131, 12), (132, 7), (134, 11), (220, 15), (48, 11), (193, 6), (187, 5), (189, 2), (190, 1), (108, 9), (72, 9), (120, 2), (197, 9), (8, 14), (9, 5), (13, 5), (32, 13), (56, 3), (57, 15), (60, 8), (61, 9), (62, 2), (63, 2), (66, 10), (74, 6), (75, 7), (92, 6), (93, 10), (94, 9), (95, 8), (96, 11), (182, 13), (184, 15), (88, 4), (165, 4), (175, 12), (23, 6), (207, 9), (208, 8), (209, 2), (30, 14), (42, 14), (195, 7), (28, 10), (140, 6), (142, 8), (143, 1), (212, 7), (29, 1), (109, 7), (111, 3), (112, 6), (73, 15), (211, 8), (206, 5), (49, 10), (53, 4), (54, 7), (6, 12), (101, 7), (144, 2), (191, 4), (14, 12), (18, 1), (19, 6), (114, 13), (115, 1), (116, 7), (104, 12), (55, 10), (192, 14), (181, 8), (213, 5), (139, 4), (89, 3), (196, 6), (214, 9), (37, 9), (90, 5), (105, 13), (38, 12), (31, 13), (24, 14), (215, 1), (199, 4), (33, 9), (35, 11), (149, 14), (113, 6), (91, 5), (121, 14), (25, 13), (2, 8), (194, 14), (3, 13), (185, 11), (4, 2), (118, 15), (122, 5), (119, 6), (5, 1), (7, 5), (45, 12), (103, 1), (106, 12), (43, 15), (44, 4), (186, 10), (107, 9), (26, 5), (46, 1), (47, 5), (127, 4), (27, 6), (221, 7), (39, 1), (40, 12), (222, 9), (41, 10)]"
2,"[(56, 11), (57, 7), (58, 7), (59, 3), (61, 9), (62, 2), (63, 2), (66, 10), (197, 9), (176, 3), (179, 1), (180, 9), (42, 5), (72, 8), (108, 12), (182, 13), (184, 15), (201, 1), (202, 12), (102, 14), (223, 6), (225, 12), (1, 10), (193, 3), (212, 5), (88, 4), (48, 15), (187, 13), (189, 2), (190, 1), (165, 7), (169, 11), (28, 2), (195, 7), (207, 9), (210, 14), (8, 14), (10, 11), (11, 2), (145, 2), (148, 3), (30, 14), (226, 3), (228, 15), (220, 11), (128, 10), (135, 9), (136, 2), (138, 1), (74, 6), (85, 1), (86, 2), (120, 2), (92, 6), (93, 3), (94, 9), (97, 8), (96, 11), (123, 4), (125, 7), (126, 13), (13, 5), (23, 6), (198, 12), (140, 6), (141, 3), (200, 7), (216, 8), (218, 2), (32, 5), (150, 8), (151, 1), (101, 7), (214, 3), (144, 2), (199, 4), (153, 15), (109, 7), (111, 3), (112, 6), (211, 8), (185, 15), (186, 10), (191, 4), (139, 4), (49, 10), (53, 4), (54, 7), (37, 9), (55, 10), (73, 15), (33, 7), (36, 8), (206, 5), (181, 8), (149, 11), (38, 14), (127, 4), (89, 2), (45, 12), (194, 14), (24, 14), (31, 13), (46, 1), (104, 1), (213, 1), (90, 5), (91, 5), (192, 10), (215, 1), (114, 15), (115, 8), (116, 7), (6, 3), (14, 12), (16, 8), (17, 1), (103, 8), (152, 14), (43, 15), (44, 4), (47, 5), (29, 15), (196, 6), (105, 13), (121, 5), (106, 12), (221, 9), (118, 15), (154, 7), (107, 9), (7, 12), (222, 9), (113, 6), (119, 6), (39, 3), (40, 12), (41, 10), (25, 13), (26, 6), (122, 5), (27, 6), (2, 9), (3, 13), (4, 2), (5, 6)]"
3,"[(200, 5), (28, 10), (198, 12), (120, 2), (123, 4), (125, 11), (126, 2), (197, 9), (32, 5), (212, 7), (187, 13), (188, 9), (74, 6), (79, 12), (80, 3), (108, 14), (128, 10), (129, 10), (130, 4), (131, 12), (132, 7), (134, 11), (145, 2), (146, 1), (147, 9), (42, 8), (165, 4), (175, 15), (30, 11), (92, 6), (93, 3), (94, 3), (97, 8), (96, 11), (56, 13), (67, 6), (68, 10), (69, 6), (70, 4), (71, 14), (223, 8), (225, 12), (182, 7), (184, 15), (176, 3), (177, 5), (178, 2), (140, 6), (141, 3), (150, 3), (151, 1), (23, 1), (226, 14), (227, 7), (220, 15), (1, 12), (8, 15), (10, 11), (11, 2), (88, 11), (195, 5), (102, 14), (72, 9), (193, 6), (207, 9), (210, 14), (13, 5), (201, 11), (202, 12), (48, 15), (216, 8), (219, 5), (194, 12), (31, 13), (37, 12), (144, 2), (181, 8), (101, 7), (104, 12), (211, 8), (109, 7), (111, 3), (112, 6), (191, 4), (14, 15), (22, 14), (185, 11), (29, 14), (33, 9), (34, 8), (49, 10), (53, 4), (54, 7), (206, 5), (38, 14), (73, 2), (2, 9), (199, 4), (45, 9), (105, 10), (196, 6), (153, 15), (139, 4), (149, 14), (186, 10), (192, 10), (46, 1), (89, 6), (55, 12), (214, 3), (90, 5), (3, 13), (4, 13), (43, 8), (152, 14), (121, 15), (5, 1), (91, 5), (122, 2), (44, 4), (24, 15), (39, 1), (6, 3), (127, 8), (47, 5), (213, 6), (215, 1), (154, 7), (25, 13), (26, 6), (114, 11), (115, 8), (116, 7), (27, 6), (113, 5), (221, 6), (103, 5), (106, 12), (107, 9), (40, 13), (7, 9), (41, 10), (222, 9), (118, 15), (119, 6)]"
4,"[(30, 2), (32, 5), (216, 8), (218, 2), (200, 7), (88, 4), (201, 11), (202, 12), (193, 6), (223, 9), (224, 11), (48, 15), (197, 9), (145, 10), (148, 3), (92, 6), (93, 10), (94, 9), (97, 8), (96, 11), (23, 1), (176, 3), (179, 1), (180, 9), (56, 13), (67, 6), (68, 10), (69, 6), (70, 4), (71, 14), (165, 7), (172, 13), (102, 14), (13, 5), (123, 4), (125, 2), (126, 2), (1, 8), (207, 9), (208, 8), (209, 8), (42, 14), (220, 15), (28, 10), (187, 15), (189, 2), (190, 1), (150, 3), (158, 10), (226, 14), (227, 7), (72, 9), (182, 7), (184, 15), (120, 2), (195, 7), (140, 6), (142, 5), (143, 1), (8, 14), (9, 5), (212, 5), (74, 2), (75, 3), (108, 12), (128, 11), (129, 10), (133, 13), (134, 11), (198, 12), (109, 7), (111, 3), (112, 6), (199, 4), (211, 8), (104, 12), (191, 4), (43, 15), (44, 4), (144, 2), (14, 12), (18, 1), (19, 6), (139, 8), (206, 4), (174, 8), (160, 7), (89, 3), (73, 15), (192, 10), (90, 5), (196, 6), (121, 14), (101, 10), (173, 4), (113, 6), (33, 9), (35, 11), (49, 15), (50, 2), (51, 14), (52, 6), (91, 5), (214, 9), (55, 10), (185, 11), (105, 10), (159, 6), (221, 8), (29, 14), (37, 12), (31, 13), (181, 5), (38, 12), (194, 14), (213, 1), (215, 1), (127, 6), (186, 10), (6, 3), (24, 14), (122, 5), (222, 8), (7, 12), (161, 2), (103, 1), (149, 14), (39, 1), (40, 12), (2, 10), (41, 4), (25, 13), (3, 13), (4, 2), (45, 9), (5, 6), (26, 5), (27, 6), (106, 12), (107, 9), (114, 4), (115, 8), (116, 7), (46, 7), (47, 5), (118, 15), (119, 4)]"
5,"[(48, 6), (207, 9), (210, 14), (74, 2), (76, 11), (77, 15), (78, 6), (201, 11), (202, 12), (226, 3), (228, 15), (13, 5), (108, 12), (140, 6), (142, 8), (143, 1), (197, 9), (220, 13), (8, 14), (10, 11), (11, 2), (187, 13), (189, 2), (190, 1), (212, 7), (150, 8), (158, 10), (223, 8), (225, 12), (165, 4), (169, 1), (195, 4), (193, 3), (200, 5), (32, 5), (176, 3), (179, 1), (180, 9), (42, 14), (128, 10), (135, 5), (136, 2), (138, 1), (72, 8), (92, 3), (93, 10), (94, 9), (97, 8), (96, 11), (198, 12), (56, 4), (57, 7), (58, 7), (59, 3), (61, 9), (62, 12), (63, 2), (66, 10), (28, 10), (145, 2), (148, 3), (88, 11), (30, 14), (182, 13), (184, 15), (102, 2), (123, 2), (124, 15), (23, 1), (120, 2), (216, 7), (218, 7), (1, 12), (109, 7), (111, 3), (112, 6), (194, 14), (159, 6), (6, 3), (144, 2), (49, 15), (50, 2), (51, 14), (52, 6), (104, 12), (185, 3), (160, 14), (191, 4), (73, 15), (199, 4), (2, 9), (3, 13), (214, 9), (192, 10), (139, 8), (101, 7), (39, 9), (4, 13), (186, 10), (105, 13), (89, 6), (181, 5), (55, 10), (211, 8), (103, 5), (5, 6), (40, 12), (90, 5), (29, 1), (149, 11), (206, 5), (121, 15), (161, 2), (91, 5), (106, 12), (107, 9), (113, 10), (37, 6), (45, 9), (14, 12), (22, 14), (33, 6), (36, 8), (43, 8), (44, 4), (46, 1), (38, 14), (47, 5), (41, 4), (221, 8), (7, 5), (122, 5), (196, 8), (127, 8), (31, 13), (213, 6), (24, 14), (25, 13), (222, 9), (215, 1), (26, 5), (27, 6), (114, 4), (115, 8), (116, 7), (118, 15), (119, 4)]"
6,"[(216, 8), (217, 1), (207, 9), (210, 14), (128, 11), (135, 5), (137, 15), (138, 1), (108, 12), (102, 14), (200, 5), (1, 10), (223, 6), (225, 12), (74, 2), (75, 3), (201, 1), (202, 12), (120, 2), (212, 7), (88, 4), (42, 5), (48, 15), (72, 8), (197, 9), (176, 3), (177, 6), (178, 2), (30, 14), (150, 13), (162, 1), (220, 13), (8, 14), (10, 11), (11, 2), (140, 6), (141, 3), (32, 13), (13, 5), (182, 3), (183, 13), (123, 4), (125, 11), (126, 13), (145, 10), (148, 12), (187, 15), (188, 9), (92, 6), (93, 10), (94, 3), (95, 8), (96, 11), (28, 10), (165, 7), (170, 7), (171, 9), (198, 12), (193, 8), (226, 3), (228, 15), (195, 7), (23, 1), (56, 4), (67, 6), (68, 10), (69, 6), (70, 4), (71, 14), (211, 8), (139, 8), (14, 15), (22, 14), (6, 12), (109, 7), (110, 7), (199, 4), (144, 2), (194, 12), (104, 1), (214, 9), (206, 5), (185, 15), (33, 9), (36, 8), (39, 7), (31, 5), (127, 12), (196, 6), (181, 5), (49, 10), (53, 4), (54, 7), (103, 8), (186, 10), (45, 9), (191, 4), (55, 12), (101, 7), (73, 2), (46, 1), (114, 15), (117, 14), (192, 3), (118, 15), (105, 10), (40, 13), (7, 9), (41, 13), (149, 11), (37, 9), (213, 1), (43, 8), (44, 4), (47, 5), (215, 1), (113, 6), (106, 12), (107, 9), (121, 14), (119, 6), (221, 7), (122, 5), (38, 14), (89, 3), (90, 5), (91, 5), (2, 10), (222, 9), (3, 13), (4, 2), (24, 15), (29, 1), (5, 6), (25, 13), (26, 14), (27, 4)]"
7,"[(216, 8), (219, 5), (56, 11), (57, 7), (58, 7), (59, 3), (61, 9), (62, 2), (63, 2), (66, 10), (226, 3), (227, 7), (8, 14), (12, 12), (223, 6), (225, 13), (197, 9), (102, 2), (176, 3), (179, 1), (180, 9), (13, 5), (150, 13), (162, 1), (123, 4), (125, 2), (126, 2), (108, 14), (88, 4), (72, 9), (28, 10), (182, 3), (183, 13), (193, 6), (128, 10), (135, 9), (136, 2), (138, 1), (92, 6), (98, 9), (99, 7), (100, 2), (32, 5), (212, 7), (48, 15), (74, 2), (75, 3), (207, 9), (210, 14), (42, 5), (200, 7), (30, 7), (201, 1), (202, 12), (187, 15), (189, 2), (190, 1), (140, 6), (141, 6), (120, 2), (23, 1), (145, 2), (148, 3), (220, 11), (1, 8), (195, 7), (165, 7), (175, 15), (198, 12), (37, 12), (144, 2), (38, 14), (211, 8), (73, 15), (191, 4), (181, 5), (101, 7), (109, 7), (110, 13), (194, 14), (89, 3), (214, 9), (90, 5), (206, 5), (121, 5), (91, 5), (139, 8), (213, 1), (199, 6), (104, 12), (185, 11), (105, 10), (192, 10), (24, 14), (215, 1), (14, 12), (16, 8), (17, 12), (49, 15), (53, 4), (54, 7), (127, 4), (186, 13), (33, 6), (35, 11), (31, 13), (221, 8), (55, 10), (122, 5), (43, 8), (2, 10), (45, 6), (44, 4), (46, 1), (3, 13), (29, 1), (149, 6), (4, 2), (47, 5), (222, 9), (103, 8), (196, 2), (5, 6), (106, 12), (107, 9), (6, 13), (39, 1), (25, 13), (113, 2), (26, 5), (27, 6), (40, 12), (114, 11), (115, 8), (116, 14), (118, 15), (119, 4), (41, 4), (7, 12)]"
8,"[(150, 8), (158, 10), (223, 6), (224, 11), (216, 7), (218, 2), (176, 3), (179, 1), (180, 9), (32, 5), (182, 13), (183, 13), (165, 4), (169, 1), (197, 9), (28, 10), (8, 14), (9, 5), (42, 14), (88, 3), (92, 6), (98, 9), (99, 7), (100, 2), (220, 11), (123, 4), (125, 11), (126, 2), (140, 6), (142, 8), (143, 1), (201, 1), (203, 6), (204, 7), (205, 15), (226, 14), (228, 15), (187, 15), (189, 2), (190, 1), (120, 2), (72, 8), (74, 2), (87, 6), (30, 2), (212, 7), (207, 9), (210, 14), (198, 12), (108, 12), (56, 3), (57, 5), (60, 8), (61, 9), (62, 12), (64, 9), (65, 1), (66, 10), (195, 4), (145, 10), (148, 3), (13, 5), (48, 11), (102, 14), (128, 10), (129, 10), (130, 4), (131, 12), (132, 7), (134, 11), (200, 5), (1, 12), (193, 8), (23, 1), (144, 2), (159, 6), (185, 15), (191, 4), (101, 7), (89, 2), (49, 10), (53, 4), (54, 7), (109, 7), (111, 3), (112, 6), (192, 10), (55, 10), (90, 5), (194, 12), (139, 8), (37, 12), (199, 4), (149, 11), (6, 3), (214, 9), (181, 8), (14, 15), (18, 1), (19, 3), (211, 8), (186, 13), (206, 5), (196, 6), (24, 14), (29, 14), (38, 14), (127, 4), (73, 15), (104, 12), (33, 6), (35, 11), (31, 13), (114, 15), (115, 8), (116, 7), (118, 15), (105, 10), (121, 15), (25, 12), (91, 5), (26, 5), (7, 12), (221, 8), (45, 9), (122, 5), (43, 15), (160, 1), (103, 4), (44, 4), (27, 6), (222, 9), (161, 2), (46, 7), (47, 5), (106, 12), (113, 6), (107, 9), (119, 6), (213, 6), (215, 1), (2, 9), (39, 3), (3, 13), (40, 12), (4, 2), (5, 15), (41, 10)]"
9,"[(182, 3), (184, 15), (1, 12), (48, 6), (102, 14), (30, 2), (195, 7), (207, 9), (210, 14), (193, 8), (212, 5), (150, 13), (151, 1), (74, 2), (84, 15), (128, 11), (129, 10), (130, 4), (131, 12), (132, 7), (134, 11), (23, 6), (187, 13), (189, 2), (190, 1), (123, 4), (124, 15), (56, 10), (67, 6), (68, 10), (69, 6), (70, 4), (71, 14), (92, 3), (98, 9), (99, 7), (100, 2), (108, 14), (197, 9), (13, 5), (200, 7), (72, 8), (88, 11), (28, 10), (198, 12), (216, 7), (218, 2), (42, 8), (32, 13), (201, 1), (202, 12), (220, 15), (8, 15), (10, 11), (11, 7), (120, 2), (226, 6), (228, 15), (165, 4), (166, 14), (223, 8), (224, 15), (176, 3), (177, 6), (178, 2), (140, 6), (142, 8), (143, 1), (145, 2), (146, 1), (147, 9), (109, 7), (110, 13), (144, 2), (206, 5), (33, 9), (34, 8), (73, 15), (104, 1), (105, 10), (191, 4), (139, 8), (168, 14), (101, 10), (14, 12), (18, 1), (19, 6), (199, 4), (149, 11), (185, 3), (211, 8), (49, 10), (50, 2), (51, 14), (52, 6), (89, 3), (90, 5), (37, 12), (55, 10), (186, 13), (31, 5), (181, 5), (91, 5), (196, 2), (45, 9), (153, 14), (46, 1), (152, 14), (194, 12), (154, 7), (38, 12), (192, 10), (221, 9), (6, 3), (113, 6), (2, 8), (214, 3), (222, 9), (167, 6), (3, 13), (4, 2), (127, 4), (5, 1), (114, 13), (117, 8), (213, 1), (118, 15), (29, 1), (119, 6), (43, 9), (44, 4), (215, 1), (47, 5), (24, 8), (7, 9), (121, 15), (122, 5), (103, 4), (25, 13), (106, 12), (107, 9), (26, 14), (39, 7), (27, 4), (40, 12), (41, 10)]"
10,"[(48, 6), (207, 9), (210, 14), (223, 8), (224, 11), (23, 1), (165, 4), (166, 14), (1, 12), (198, 12), (216, 7), (218, 2), (195, 5), (102, 14), (42, 8), (193, 3), (200, 7), (176, 3), (177, 6), (178, 2), (88, 4), (30, 2), (187, 13), (188, 3), (72, 11), (28, 10), (92, 6), (98, 9), (99, 7), (100, 2), (32, 5), (197, 9), (182, 13), (183, 13), (13, 5), (56, 10), (67, 6), (68, 10), (69, 6), (70, 4), (71, 14), (108, 12), (212, 7), (120, 2), (145, 2), (148, 3), (150, 8), (151, 1), (123, 4), (124, 15), (140, 6), (142, 8), (143, 1), (201, 1), (202, 12), (220, 15), (128, 11), (135, 9), (137, 15), (138, 1), (74, 5), (84, 15), (226, 3), (228, 15), (8, 15), (12, 12), (73, 15), (149, 11), (144, 2), (49, 10), (53, 4), (54, 7), (181, 8), (199, 4), (194, 12), (109, 7), (110, 13), (31, 13), (101, 7), (104, 12), (191, 4), (55, 10), (29, 1), (105, 10), (211, 8), (221, 9), (139, 8), (14, 12), (20, 4), (21, 8), (89, 3), (90, 5), (91, 5), (103, 1), (222, 9), (153, 14), (206, 5), (33, 9), (34, 8), (152, 14), (37, 9), (214, 3), (196, 6), (106, 12), (6, 12), (168, 14), (192, 14), (38, 14), (154, 10), (213, 5), (43, 15), (121, 15), (44, 4), (7, 12), (127, 4), (122, 5), (167, 3), (215, 1), (107, 9), (39, 3), (40, 12), (185, 11), (113, 6), (2, 10), (24, 8), (41, 10), (186, 10), (114, 15), (115, 1), (116, 7), (45, 9), (46, 1), (118, 15), (3, 13), (47, 5), (4, 2), (5, 6), (119, 4), (25, 13), (26, 5), (27, 6)]"
