Iteration,schedules
11,"[(121, 2), (158, 5), (156, 9), (171, 2), (12, 7), (101, 6), (140, 3), (58, 8), (141, 7), (43, 2), (38, 1), (33, 15), (176, 14), (13, 5), (79, 15), (172, 13), (76, 2), (105, 4), (125, 13), (173, 4), (159, 3), (122, 5), (130, 6), (26, 8), (77, 6), (47, 4), (84, 15), (39, 14), (52, 7), (103, 12), (80, 13), (31, 13), (14, 6), (64, 3), (87, 15), (65, 5), (157, 15), (45, 7), (40, 5), (32, 12), (66, 2), (88, 4), (104, 9), (41, 14), (53, 11), (131, 12), (106, 15), (142, 7), (27, 8), (143, 15), (145, 12), (146, 2), (42, 3), (15, 1), (147, 2), (89, 2), (44, 15), (46, 13), (7, 9), (78, 10), (35, 11), (67, 6), (124, 3), (68, 9), (1, 11), (28, 15), (71, 7), (72, 7), (74, 7), (150, 11), (177, 15), (36, 6), (2, 13), (16, 5), (107, 12), (132, 1), (75, 4), (6, 4), (93, 3), (17, 12), (10, 14), (11, 8), (180, 13), (178, 15), (160, 11), (25, 11), (110, 4), (94, 5), (179, 12), (161, 6), (162, 6), (95, 1), (29, 2), (111, 3), (30, 1), (163, 12), (96, 6), (112, 15), (181, 4), (97, 12), (113, 9), (182, 5), (98, 9), (99, 11), (183, 8), (166, 3), (115, 1), (100, 14)]"
12,"[(125, 8), (171, 12), (130, 6), (84, 12), (176, 9), (26, 12), (16, 5), (31, 3), (27, 8), (158, 3), (32, 5), (58, 8), (167, 8), (79, 14), (105, 4), (17, 15), (33, 15), (45, 14), (168, 14), (37, 9), (169, 7), (170, 15), (140, 3), (38, 6), (47, 4), (80, 3), (48, 15), (21, 9), (1, 1), (59, 12), (46, 9), (28, 14), (101, 6), (50, 12), (49, 7), (39, 5), (172, 3), (131, 12), (141, 12), (103, 12), (104, 9), (156, 8), (22, 8), (173, 4), (40, 5), (41, 14), (43, 2), (157, 2), (87, 13), (29, 13), (174, 14), (2, 12), (6, 5), (132, 9), (89, 2), (88, 4), (30, 15), (12, 5), (44, 14), (42, 4), (14, 6), (116, 3), (13, 6), (15, 1), (117, 10), (60, 11), (76, 1), (118, 13), (63, 11), (119, 13), (90, 12), (77, 11), (67, 12), (68, 2), (121, 2), (122, 7), (142, 7), (124, 12), (177, 15), (91, 9), (92, 5), (95, 10), (143, 3), (145, 15), (180, 13), (146, 2), (78, 1), (96, 6), (148, 3), (149, 10), (69, 1), (178, 15), (150, 11), (120, 14), (70, 9), (75, 5), (97, 3), (98, 5), (181, 12), (99, 11), (179, 12), (182, 5), (183, 8), (100, 14), (7, 9), (8, 8), (9, 2), (11, 8)]"
13,"[(89, 2), (33, 15), (171, 8), (47, 4), (156, 9), (105, 4), (1, 11), (121, 10), (125, 13), (37, 15), (79, 15), (7, 9), (93, 3), (43, 2), (38, 6), (39, 8), (51, 11), (45, 14), (40, 12), (26, 10), (12, 7), (140, 3), (44, 15), (116, 3), (83, 5), (151, 4), (2, 12), (13, 1), (6, 4), (137, 6), (172, 13), (31, 13), (41, 8), (32, 9), (152, 10), (101, 6), (103, 12), (10, 14), (153, 13), (122, 5), (154, 13), (84, 15), (58, 7), (27, 9), (59, 12), (119, 13), (87, 10), (88, 2), (158, 3), (176, 14), (159, 1), (157, 15), (117, 10), (14, 6), (104, 9), (42, 3), (177, 15), (15, 12), (155, 5), (173, 4), (120, 14), (180, 13), (16, 5), (11, 8), (46, 9), (94, 2), (181, 4), (60, 11), (118, 14), (17, 15), (95, 1), (25, 9), (160, 15), (161, 14), (162, 13), (163, 11), (166, 3), (96, 6), (178, 15), (28, 13), (97, 12), (98, 9), (29, 2), (30, 1), (63, 13), (67, 13), (120, 14), (179, 12), (76, 2), (182, 5), (99, 7), (77, 11), (124, 3), (78, 10), (100, 14), (68, 9), (71, 7), (73, 6), (74, 5), (75, 5), (183, 8)]"
14,"[(171, 8), (84, 12), (45, 11), (125, 6), (158, 4), (140, 4), (26, 10), (137, 6), (33, 4), (31, 12), (37, 15), (156, 9), (105, 4), (85, 13), (89, 2), (27, 8), (172, 13), (79, 14), (167, 8), (80, 3), (151, 4), (58, 7), (176, 14), (46, 13), (101, 2), (168, 14), (1, 1), (76, 1), (12, 7), (169, 7), (16, 5), (17, 12), (14, 3), (170, 10), (32, 5), (43, 10), (173, 13), (28, 14), (174, 3), (2, 13), (152, 1), (7, 9), (103, 12), (86, 5), (106, 15), (121, 10), (177, 15), (104, 7), (47, 4), (157, 2), (93, 3), (18, 6), (44, 1), (29, 13), (13, 5), (38, 1), (39, 15), (40, 11), (153, 14), (6, 4), (30, 15), (180, 13), (181, 12), (64, 3), (48, 14), (77, 11), (41, 14), (49, 8), (10, 14), (123, 11), (11, 8), (94, 2), (65, 10), (50, 2), (42, 4), (95, 10), (66, 2), (67, 12), (124, 3), (78, 7), (15, 12), (154, 13), (96, 6), (68, 9), (155, 14), (178, 15), (107, 12), (108, 7), (179, 12), (182, 5), (109, 11), (71, 7), (72, 8), (183, 8), (74, 7), (111, 1), (75, 4), (97, 3), (112, 6), (98, 9), (99, 7), (100, 15), (113, 9), (115, 5)]"
15,"[(176, 9), (105, 4), (58, 8), (140, 3), (141, 5), (171, 12), (101, 2), (12, 7), (158, 3), (79, 14), (1, 1), (13, 5), (33, 15), (121, 2), (125, 3), (106, 8), (142, 2), (122, 5), (26, 12), (143, 3), (45, 7), (27, 6), (7, 9), (124, 3), (83, 9), (145, 9), (14, 3), (89, 2), (31, 12), (159, 5), (64, 3), (93, 3), (94, 2), (76, 2), (107, 12), (108, 4), (28, 14), (65, 5), (102, 10), (32, 5), (46, 5), (137, 1), (172, 5), (173, 4), (109, 11), (156, 8), (66, 1), (84, 15), (85, 13), (146, 2), (67, 12), (68, 2), (177, 11), (38, 6), (77, 6), (29, 2), (43, 2), (95, 1), (160, 15), (104, 9), (44, 14), (180, 13), (181, 12), (164, 14), (3, 6), (165, 6), (30, 6), (39, 14), (40, 13), (78, 7), (166, 3), (86, 12), (178, 15), (4, 7), (41, 6), (96, 6), (157, 15), (15, 1), (111, 3), (42, 4), (97, 3), (35, 11), (147, 2), (36, 6), (150, 11), (10, 14), (11, 13), (98, 9), (47, 4), (179, 12), (112, 6), (114, 14), (182, 5), (115, 8), (99, 7), (51, 15), (16, 5), (17, 15), (21, 1), (71, 7), (100, 15), (22, 8), (73, 14), (74, 7), (5, 2), (75, 13), (6, 5), (183, 8)]"
16,"[(33, 15), (26, 10), (101, 2), (121, 2), (84, 15), (45, 9), (125, 13), (38, 6), (171, 12), (1, 1), (140, 13), (156, 11), (31, 3), (27, 6), (102, 10), (35, 11), (172, 3), (43, 10), (39, 15), (79, 14), (46, 9), (32, 5), (89, 2), (158, 4), (40, 3), (122, 7), (44, 15), (137, 6), (159, 5), (41, 14), (2, 13), (173, 4), (81, 14), (160, 11), (47, 4), (104, 9), (161, 7), (58, 7), (42, 3), (90, 12), (36, 7), (162, 6), (87, 10), (124, 3), (6, 5), (76, 2), (28, 15), (52, 3), (77, 6), (88, 2), (53, 1), (78, 10), (157, 2), (29, 13), (151, 4), (82, 8), (64, 3), (12, 5), (163, 11), (91, 9), (92, 11), (152, 9), (7, 9), (10, 14), (153, 6), (14, 9), (30, 1), (154, 6), (166, 3), (176, 14), (13, 5), (155, 14), (105, 4), (177, 11), (11, 8), (116, 10), (95, 10), (65, 5), (119, 13), (66, 6), (96, 6), (15, 1), (97, 3), (67, 13), (98, 5), (99, 11), (100, 15), (180, 13), (181, 4), (117, 10), (16, 5), (178, 15), (179, 12), (68, 9), (182, 1), (183, 8), (69, 8), (70, 9), (75, 13), (17, 15), (19, 6), (20, 12), (118, 14), (120, 14)]"
17,"[(101, 6), (140, 3), (141, 15), (125, 3), (43, 10), (176, 14), (45, 2), (44, 1), (177, 15), (103, 12), (104, 9), (26, 12), (47, 7), (27, 6), (58, 8), (59, 12), (38, 1), (1, 11), (171, 8), (76, 2), (39, 8), (172, 5), (89, 2), (158, 11), (156, 9), (46, 9), (90, 8), (79, 14), (33, 14), (28, 15), (77, 6), (159, 10), (40, 12), (84, 12), (85, 6), (31, 3), (83, 1), (34, 5), (32, 12), (61, 7), (29, 2), (157, 15), (173, 13), (126, 8), (128, 15), (86, 8), (180, 13), (16, 5), (17, 15), (51, 15), (127, 14), (41, 5), (129, 7), (121, 10), (144, 6), (21, 5), (160, 11), (22, 8), (3, 6), (105, 4), (42, 4), (78, 10), (62, 9), (161, 14), (122, 7), (181, 4), (162, 12), (145, 9), (63, 4), (30, 1), (12, 7), (116, 3), (119, 10), (14, 3), (91, 9), (163, 11), (92, 11), (13, 5), (15, 12), (7, 9), (146, 10), (67, 12), (95, 1), (96, 6), (124, 12), (166, 4), (8, 8), (120, 14), (9, 8), (68, 9), (4, 7), (147, 2), (150, 10), (11, 8), (117, 10), (71, 7), (5, 15), (72, 13), (118, 14), (74, 4), (120, 14), (97, 3), (98, 5), (6, 4), (75, 5), (178, 15), (99, 7), (100, 14), (179, 12), (182, 5), (183, 8)]"
18,"[(79, 15), (33, 4), (80, 3), (105, 4), (158, 4), (156, 9), (167, 4), (26, 12), (121, 10), (168, 15), (7, 9), (47, 7), (169, 6), (176, 14), (38, 1), (45, 11), (16, 5), (54, 13), (27, 10), (170, 6), (28, 13), (123, 11), (31, 12), (58, 7), (140, 10), (56, 8), (29, 13), (116, 3), (171, 8), (177, 11), (17, 15), (1, 1), (157, 15), (21, 1), (125, 13), (124, 12), (59, 5), (46, 9), (119, 10), (76, 2), (172, 5), (22, 8), (12, 7), (137, 1), (32, 10), (8, 12), (151, 13), (9, 2), (14, 6), (34, 9), (30, 15), (77, 11), (89, 2), (84, 9), (178, 15), (85, 13), (2, 13), (39, 5), (40, 11), (6, 5), (41, 14), (11, 8), (101, 1), (120, 14), (86, 5), (179, 12), (102, 10), (152, 12), (180, 13), (13, 6), (55, 6), (173, 13), (43, 10), (60, 11), (15, 1), (174, 4), (44, 14), (153, 13), (104, 9), (154, 3), (63, 4), (67, 12), (42, 3), (78, 10), (68, 2), (181, 12), (182, 1), (117, 10), (118, 14), (120, 14), (93, 3), (94, 4), (155, 11), (95, 1), (71, 7), (72, 7), (96, 6), (97, 12), (98, 9), (99, 7), (74, 5), (75, 13), (183, 8), (100, 15)]"
19,"[(125, 3), (45, 9), (1, 1), (26, 8), (16, 5), (79, 14), (31, 13), (140, 3), (151, 6), (171, 8), (172, 13), (173, 4), (158, 5), (33, 15), (84, 9), (27, 8), (32, 5), (17, 15), (38, 6), (46, 5), (58, 8), (101, 2), (43, 2), (44, 15), (103, 12), (167, 4), (89, 2), (133, 10), (85, 6), (168, 11), (169, 9), (39, 14), (176, 14), (156, 9), (40, 3), (135, 1), (80, 3), (170, 13), (90, 12), (152, 10), (174, 14), (28, 14), (153, 1), (41, 8), (42, 6), (105, 4), (91, 9), (104, 7), (18, 6), (154, 13), (12, 5), (64, 3), (177, 11), (157, 2), (29, 2), (178, 15), (65, 5), (66, 1), (86, 12), (67, 6), (92, 5), (134, 8), (35, 11), (14, 9), (7, 9), (30, 6), (106, 15), (13, 1), (47, 7), (136, 2), (107, 12), (15, 1), (121, 10), (179, 12), (155, 14), (76, 2), (77, 11), (78, 10), (122, 7), (108, 7), (8, 8), (109, 2), (36, 2), (57, 7), (9, 2), (11, 13), (111, 1), (95, 1), (96, 6), (124, 3), (68, 9), (97, 3), (112, 6), (114, 5), (180, 13), (181, 4), (182, 5), (183, 8), (69, 1), (3, 6), (115, 5), (70, 14), (75, 5), (4, 7), (5, 15), (98, 5), (99, 11), (100, 15), (6, 4)]"
20,"[(140, 10), (125, 6), (101, 6), (138, 8), (38, 6), (84, 12), (171, 2), (45, 7), (141, 7), (1, 1), (139, 5), (105, 4), (39, 15), (176, 9), (7, 9), (156, 9), (172, 5), (46, 5), (116, 3), (177, 15), (180, 13), (58, 7), (144, 6), (47, 7), (173, 4), (121, 2), (89, 2), (79, 14), (33, 14), (76, 2), (26, 12), (34, 9), (59, 5), (181, 12), (40, 11), (27, 9), (3, 6), (90, 12), (10, 14), (28, 13), (81, 8), (4, 7), (82, 7), (41, 13), (77, 11), (5, 15), (145, 1), (29, 2), (43, 10), (42, 6), (91, 9), (16, 5), (17, 15), (44, 15), (157, 15), (78, 10), (31, 12), (12, 7), (119, 10), (6, 5), (14, 3), (18, 6), (32, 5), (11, 13), (103, 12), (117, 10), (13, 1), (120, 14), (60, 11), (92, 11), (158, 11), (159, 15), (63, 13), (118, 14), (67, 13), (160, 11), (164, 14), (104, 9), (165, 13), (178, 15), (179, 12), (95, 10), (182, 5), (15, 1), (96, 6), (48, 15), (50, 12), (49, 8), (30, 1), (120, 14), (97, 12), (146, 8), (148, 6), (149, 10), (68, 2), (71, 7), (183, 8), (166, 3), (98, 9), (99, 11), (150, 10), (72, 8), (74, 7), (75, 13), (85, 6), (86, 5), (100, 15), (123, 11), (124, 12)]"
