Iteration,schedules
11,"[(122, 11), (129, 9), (130, 2), (132, 1), (29, 3), (73, 8), (144, 15), (148, 5), (149, 12), (150, 13), (151, 5), (34, 2), (37, 7), (38, 12), (22, 1), (105, 9), (60, 4), (69, 4), (70, 14), (71, 6), (72, 14), (40, 4), (51, 3), (89, 10), (100, 6), (101, 10), (102, 6), (103, 4), (104, 14), (17, 15), (107, 8), (119, 1), (56, 10), (57, 7), (160, 6), (7, 7), (8, 14), (9, 3), (10, 7), (11, 1), (168, 6), (169, 3), (139, 2), (142, 3), (134, 6), (136, 8), (137, 1), (1, 3), (78, 7), (82, 9), (154, 5), (26, 15), (138, 2), (59, 12), (4, 10), (52, 10), (54, 13), (55, 14), (18, 2), (5, 8), (74, 3), (161, 15), (165, 4), (166, 7), (39, 5), (6, 3), (167, 10), (155, 8), (23, 8), (27, 2), (106, 15), (156, 4), (30, 14), (133, 8), (143, 11), (31, 4), (32, 7), (75, 13), (24, 5), (25, 12), (53, 14), (55, 14), (76, 3), (33, 10), (19, 8), (157, 9), (28, 11), (20, 14), (158, 1), (2, 5), (159, 1), (3, 4), (77, 3), (21, 3)]"
12,"[(34, 3), (35, 1), (36, 9), (160, 6), (7, 7), (12, 2), (13, 6), (40, 4), (51, 3), (139, 10), (142, 12), (89, 11), (100, 13), (101, 10), (102, 6), (103, 4), (104, 14), (149, 12), (150, 6), (151, 5), (60, 5), (61, 3), (62, 15), (66, 4), (67, 13), (68, 4), (144, 15), (148, 5), (56, 10), (57, 7), (29, 3), (73, 8), (17, 13), (134, 6), (135, 3), (105, 9), (22, 1), (168, 2), (181, 11), (78, 7), (79, 14), (107, 8), (115, 10), (154, 14), (1, 1), (122, 11), (129, 9), (131, 15), (132, 1), (26, 15), (52, 10), (53, 14), (55, 14), (116, 6), (39, 5), (138, 2), (161, 15), (165, 4), (166, 7), (133, 8), (18, 6), (167, 10), (27, 13), (54, 13), (55, 14), (59, 12), (30, 6), (2, 7), (23, 8), (31, 4), (24, 5), (19, 8), (5, 8), (6, 3), (81, 2), (25, 12), (3, 4), (32, 7), (20, 2), (33, 10), (77, 14), (155, 8), (74, 5), (106, 2), (75, 13), (4, 12), (156, 4), (157, 9), (117, 7), (143, 14), (80, 6), (118, 2), (21, 3), (28, 11), (76, 2), (77, 7), (158, 1), (159, 5)]"
13,"[(60, 4), (69, 4), (70, 14), (71, 6), (72, 14), (56, 10), (58, 11), (107, 8), (108, 1), (89, 3), (100, 6), (101, 10), (102, 6), (103, 4), (104, 14), (122, 10), (123, 10), (124, 4), (125, 12), (126, 7), (128, 11), (7, 7), (14, 12), (15, 3), (16, 10), (22, 11), (1, 1), (29, 12), (139, 2), (140, 6), (141, 9), (17, 15), (73, 8), (149, 9), (152, 13), (153, 8), (168, 5), (175, 1), (176, 4), (177, 9), (40, 4), (51, 3), (154, 14), (34, 2), (37, 7), (38, 4), (144, 15), (145, 13), (160, 15), (105, 9), (134, 6), (135, 3), (78, 7), (85, 13), (138, 2), (30, 6), (54, 10), (55, 14), (143, 11), (26, 15), (31, 4), (18, 6), (5, 8), (52, 10), (110, 14), (32, 7), (33, 6), (74, 5), (87, 8), (27, 2), (106, 15), (53, 14), (55, 14), (75, 13), (2, 7), (133, 8), (23, 8), (6, 3), (24, 5), (157, 9), (25, 12), (28, 11), (3, 4), (59, 3), (86, 6), (161, 15), (162, 13), (163, 15), (164, 6), (109, 15), (155, 8), (39, 13), (167, 10), (156, 4), (76, 14), (21, 5), (158, 1), (159, 5), (77, 7), (111, 7), (4, 12), (19, 8), (20, 2), (21, 3)]"
14,"[(1, 1), (34, 3), (37, 7), (38, 12), (40, 4), (41, 15), (42, 12), (45, 13), (46, 3), (47, 6), (48, 9), (50, 1), (7, 7), (8, 14), (9, 3), (10, 7), (11, 6), (60, 11), (69, 8), (70, 14), (71, 6), (72, 14), (17, 15), (139, 2), (142, 3), (122, 10), (129, 9), (130, 2), (132, 1), (78, 7), (83, 7), (84, 9), (22, 1), (160, 6), (154, 5), (144, 14), (146, 12), (147, 7), (134, 6), (136, 8), (137, 1), (105, 8), (56, 2), (57, 7), (149, 12), (150, 13), (151, 5), (73, 12), (29, 3), (89, 13), (100, 6), (101, 10), (102, 6), (103, 4), (104, 14), (107, 13), (108, 1), (168, 5), (173, 12), (174, 3), (30, 14), (18, 6), (138, 2), (31, 4), (32, 7), (26, 15), (23, 8), (143, 11), (106, 15), (33, 10), (2, 5), (74, 3), (59, 12), (110, 15), (75, 13), (27, 13), (4, 11), (5, 8), (6, 3), (157, 9), (161, 10), (162, 2), (163, 14), (164, 6), (19, 8), (133, 8), (167, 10), (158, 11), (109, 14), (24, 5), (25, 12), (3, 4), (28, 11), (111, 7), (76, 3), (20, 14), (155, 8), (21, 3), (156, 4), (77, 3), (39, 13), (159, 5)]"
15,"[(73, 8), (168, 6), (179, 1), (180, 2), (60, 4), (61, 3), (62, 15), (66, 4), (67, 13), (68, 4), (1, 1), (34, 3), (37, 7), (38, 12), (89, 11), (90, 7), (91, 7), (92, 3), (94, 9), (95, 2), (97, 9), (98, 1), (99, 10), (160, 15), (22, 1), (144, 14), (148, 5), (107, 13), (112, 6), (113, 12), (114, 1), (134, 6), (135, 3), (139, 2), (140, 1), (141, 9), (40, 4), (51, 10), (154, 5), (56, 10), (58, 11), (29, 12), (149, 9), (150, 13), (151, 5), (105, 8), (7, 7), (14, 11), (15, 3), (16, 10), (122, 10), (123, 10), (124, 4), (125, 12), (126, 7), (128, 11), (78, 7), (85, 13), (17, 13), (52, 10), (138, 2), (21, 3), (2, 5), (87, 8), (53, 14), (55, 14), (59, 12), (161, 10), (165, 4), (166, 7), (26, 15), (18, 6), (3, 4), (86, 6), (77, 7), (54, 13), (55, 14), (4, 11), (23, 8), (133, 8), (19, 8), (30, 6), (20, 14), (31, 4), (167, 10), (32, 7), (24, 5), (25, 12), (33, 10), (5, 8), (6, 3), (27, 2), (157, 9), (106, 2), (158, 1), (28, 11), (39, 13), (74, 13), (21, 5), (143, 11), (75, 13), (76, 2), (77, 7), (155, 15), (156, 4), (159, 1)]"
16,"[(154, 5), (89, 11), (100, 6), (101, 10), (102, 6), (103, 4), (104, 14), (78, 4), (82, 1), (149, 12), (152, 10), (153, 8), (34, 3), (37, 7), (38, 12), (144, 15), (148, 5), (73, 8), (160, 6), (139, 2), (140, 1), (141, 9), (168, 2), (178, 15), (134, 6), (135, 3), (22, 1), (29, 12), (17, 13), (56, 10), (58, 11), (105, 9), (1, 3), (107, 8), (120, 13), (121, 8), (7, 7), (12, 2), (13, 4), (122, 11), (129, 9), (131, 15), (132, 1), (60, 4), (69, 4), (70, 14), (71, 6), (72, 14), (40, 4), (51, 3), (30, 6), (26, 15), (133, 8), (52, 10), (2, 5), (138, 2), (31, 4), (23, 8), (161, 10), (162, 2), (163, 14), (164, 6), (32, 7), (74, 5), (33, 6), (27, 2), (59, 12), (24, 5), (25, 12), (106, 15), (3, 4), (76, 3), (53, 14), (55, 14), (18, 6), (77, 3), (75, 13), (5, 6), (167, 10), (54, 13), (55, 14), (6, 3), (39, 13), (19, 8), (28, 11), (155, 15), (156, 4), (157, 9), (143, 6), (4, 10), (21, 3), (158, 7), (20, 2), (76, 14), (159, 5), (21, 3)]"
17,"[(7, 7), (8, 14), (9, 3), (10, 7), (11, 1), (105, 8), (34, 3), (35, 8), (36, 9), (29, 12), (56, 10), (58, 11), (149, 9), (152, 10), (153, 8), (1, 1), (134, 6), (135, 6), (60, 4), (69, 4), (70, 14), (71, 6), (72, 14), (40, 4), (41, 15), (42, 12), (43, 4), (44, 2), (46, 3), (47, 6), (48, 9), (50, 1), (89, 13), (90, 5), (93, 6), (94, 9), (95, 2), (97, 9), (98, 1), (99, 10), (17, 15), (144, 15), (145, 3), (73, 2), (22, 11), (139, 2), (142, 3), (107, 8), (108, 1), (168, 5), (179, 1), (180, 2), (78, 7), (82, 11), (122, 10), (129, 9), (131, 15), (132, 1), (160, 15), (154, 14), (26, 15), (138, 2), (27, 2), (133, 8), (5, 8), (59, 3), (23, 15), (161, 10), (165, 4), (166, 7), (110, 15), (24, 5), (4, 10), (74, 5), (25, 12), (18, 6), (155, 9), (167, 10), (143, 11), (156, 4), (28, 11), (21, 5), (6, 3), (106, 2), (2, 5), (19, 8), (75, 13), (157, 9), (39, 13), (109, 14), (3, 4), (30, 14), (31, 4), (32, 7), (20, 14), (111, 10), (33, 10), (21, 3), (158, 7), (159, 5), (76, 3), (77, 7)]"
18,"[(1, 1), (122, 11), (123, 10), (124, 4), (125, 12), (126, 7), (128, 11), (40, 4), (41, 15), (42, 12), (43, 4), (44, 2), (46, 3), (47, 6), (48, 9), (50, 1), (60, 3), (61, 3), (62, 15), (66, 4), (67, 13), (68, 4), (78, 7), (88, 7), (73, 8), (149, 12), (150, 13), (151, 5), (22, 1), (29, 12), (105, 9), (168, 6), (170, 11), (171, 14), (172, 6), (134, 6), (135, 3), (34, 2), (37, 7), (38, 12), (154, 5), (144, 15), (146, 12), (147, 7), (7, 7), (12, 2), (13, 6), (139, 10), (142, 3), (89, 13), (90, 7), (93, 8), (94, 9), (95, 2), (97, 9), (98, 1), (99, 10), (160, 15), (107, 8), (108, 1), (56, 2), (57, 7), (17, 15), (59, 3), (26, 15), (157, 9), (143, 11), (106, 2), (138, 2), (23, 8), (24, 5), (25, 12), (27, 13), (30, 6), (155, 8), (156, 4), (2, 5), (31, 4), (21, 3), (3, 2), (74, 5), (161, 10), (162, 2), (163, 14), (164, 6), (167, 10), (28, 11), (32, 7), (133, 8), (75, 13), (39, 13), (5, 8), (33, 10), (18, 6), (19, 8), (109, 14), (20, 14), (110, 15), (6, 5), (111, 7), (77, 7), (158, 1), (76, 4), (159, 1), (21, 3), (4, 10), (77, 14)]"
19,"[(22, 11), (134, 6), (136, 8), (137, 1), (40, 4), (51, 3), (29, 3), (17, 15), (7, 7), (14, 12), (15, 2), (16, 10), (60, 5), (69, 9), (70, 14), (71, 6), (72, 14), (56, 10), (58, 11), (89, 13), (90, 7), (91, 7), (92, 1), (94, 9), (95, 12), (97, 9), (98, 1), (99, 10), (160, 15), (144, 14), (145, 3), (139, 2), (140, 1), (141, 9), (73, 8), (107, 8), (112, 3), (113, 12), (114, 1), (149, 9), (150, 13), (151, 5), (105, 9), (122, 11), (123, 10), (124, 4), (125, 13), (126, 7), (128, 11), (168, 2), (175, 5), (176, 4), (177, 9), (34, 3), (37, 7), (38, 12), (154, 14), (78, 7), (82, 1), (1, 1), (54, 13), (55, 14), (161, 15), (165, 4), (166, 7), (138, 2), (106, 2), (26, 15), (167, 10), (52, 10), (18, 6), (53, 14), (55, 14), (30, 14), (23, 8), (39, 13), (31, 4), (59, 12), (32, 7), (24, 11), (133, 8), (25, 12), (2, 5), (4, 10), (33, 10), (3, 4), (27, 2), (5, 8), (21, 10), (6, 3), (155, 8), (74, 5), (19, 8), (156, 4), (143, 6), (28, 11), (75, 13), (20, 14), (76, 3), (21, 3), (157, 9), (158, 1), (159, 5), (77, 7)]"
20,"[(89, 11), (90, 7), (93, 8), (94, 9), (95, 2), (96, 2), (99, 10), (105, 8), (56, 10), (57, 7), (40, 4), (41, 15), (42, 12), (45, 13), (46, 3), (47, 6), (49, 5), (50, 1), (122, 10), (123, 10), (124, 4), (125, 12), (126, 7), (128, 11), (154, 5), (160, 6), (78, 7), (88, 15), (107, 13), (108, 1), (22, 1), (168, 2), (175, 9), (176, 4), (177, 9), (7, 7), (12, 2), (13, 6), (134, 6), (136, 8), (137, 1), (73, 12), (149, 9), (150, 13), (151, 5), (139, 2), (142, 3), (144, 15), (146, 12), (147, 7), (29, 3), (34, 3), (35, 1), (36, 9), (1, 5), (17, 15), (60, 11), (61, 15), (62, 15), (66, 4), (67, 13), (68, 4), (18, 6), (138, 2), (4, 10), (26, 15), (39, 5), (2, 5), (3, 2), (27, 13), (19, 8), (30, 14), (59, 3), (31, 4), (133, 8), (106, 15), (110, 15), (161, 10), (162, 2), (163, 14), (164, 6), (32, 7), (23, 8), (33, 10), (155, 8), (20, 14), (156, 4), (21, 3), (24, 5), (167, 10), (25, 12), (28, 11), (109, 14), (157, 9), (143, 11), (77, 3), (111, 7), (158, 1), (159, 5), (5, 6), (6, 3), (74, 5), (75, 13), (76, 3), (77, 7)]"
