Iteration,Makespan
1,502.9
2,853.6
3,1079.2
4,719.9
5,700.6
6,1056.0
7,966.6999999999998
8,858.8
9,1076.3
10,844.7
11,851.4
12,769.5
13,665.9
14,935.1999999999999
15,706.6
16,1078.5
17,809.8
18,720.0
19,880.0999999999999
20,953.4999999999999
21,761.7
22,691.9
23,891.8
24,922.6
25,993.4999999999999
26,896.5999999999999
27,991.6
28,916
29,812.9
30,1030.7
31,799.4
32,778.6999999999999
33,1149.1999999999998
34,836.2000000000002
35,956.0
36,820.4
37,1068.3
38,1049.5
39,958.5
40,967.1999999999999
41,704.7999999999998
42,952.4
43,876.8
44,818.5
45,909.9
46,829.2
47,717.3
48,1079.4
49,696.7
50,741.0
