Iteration,Makespan
1,752.9
2,1005.9
3,1201.6999999999998
4,953.5
5,910.9999999999999
6,991.5999999999999
7,794.3000000000001
8,1075.1999999999998
9,1094.5999999999997
10,860.3
11,961.3
12,1033.5
13,1004.6999999999999
14,876.8999999999999
15,796.1999999999999
16,948.7
17,1090.6
18,937.3999999999999
19,842.4
20,718.3
21,1043.7
22,855.4000000000001
23,920.2999999999998
24,900.9
25,902.9
26,975.8999999999999
27,780.6
28,823.3
29,794.0999999999999
30,1014.1999999999999
31,1071.3
32,734.0999999999999
33,987.9
34,595.0
35,920.0999999999999
36,726.2
37,979.5
38,944.4
39,883.3
40,894.4
41,935.8
42,889.2
43,920.6
44,1145.1
45,1052.4
46,713.8999999999999
47,1003.6
48,1067.1
49,893.4
50,877
