Iteration,Makespan
1,572.4
2,646.6
3,885.8
4,719.4
5,665.5999999999999
6,686.9
7,716.0
8,671.7
9,743.1
10,707.3
11,781.9000000000001
12,667.4
13,705.6
14,1052.6
15,896.0
16,859.4
17,1012.2
18,751.3
19,850.3
20,797.0
21,881.0
22,832.4000000000001
23,808.3
24,749.3
25,823.3
26,917.8000000000001
27,753.7
28,664.8
29,765.5
30,723.1
31,827.3
32,776.9
33,753.6999999999999
34,772.7
35,799.3
36,590.1
37,708.7
38,721.2
39,799.0
40,756.7
41,754.2
42,662.9000000000001
43,869.9
44,935.5
45,883.6
46,682
47,812.2
48,599.4000000000001
49,803.1
50,737.1
51,630.3
52,909.1
53,787.6999999999999
54,766.3
55,798.8
56,721.5
57,762.2
58,905.0
59,744
60,715.7
61,717.3
62,832.9
63,838.5
64,745.5
65,600.2
66,691.1
67,689.6
68,736.4000000000001
69,683.0
70,864
71,786.5
72,820.9
73,771.4
74,814.7
75,775.5
76,724.3000000000001
77,844.3
78,862
79,933.9
80,771.8
81,684.6
82,639.3
83,900.6
84,667.4
85,831.3000000000001
86,621.3
87,769.8
88,796.2
89,1089.6
90,866.0999999999999
91,802.6
92,820
93,822.9000000000001
94,823
95,726.6
96,847.8
97,955.9
98,810.7
99,949.4
100,1088.0
101,642.2
102,826
103,664.2
104,805.9
105,606.1
106,1011.0
107,782.6
108,796.0
109,802.3
110,799.8
111,888
112,807.2
113,835.5
114,889.0
115,645.8
116,742.9
117,678.1
118,730.9
119,1064.0
120,779
121,734
122,871.1
123,982.2
124,882
125,782.4
126,730.6
127,904.2
128,722.5
129,1099.3
130,1065
131,895.2
132,675.5
133,739
134,546
135,935.7
136,761.2
137,631.8
138,802.9
139,1059.6
140,829.3
141,820.8
142,746.4
143,1035.1
144,980.0
145,991.5
146,905.2
147,939.1999999999999
148,754.0
149,839
150,711.1
151,689.7
152,733.0
153,733.8
154,815.6
155,774.3
156,885.1
157,757.9
158,898.5
159,824.6
160,836.6
161,838.5
162,856.1
163,636
164,807.1
165,880.1
166,773.9999999999999
167,883
168,899.5999999999999
169,888.5
170,805.5999999999999
171,838.0
172,815.0
173,913.9
174,857.7
175,933.6
176,1119.9
177,826.7
178,732
179,791.4
180,755.3
181,757.9
182,909.1
183,799.1999999999999
184,694
185,1044.3000000000002
186,798
187,898.6999999999999
188,855.3
189,687.5
190,644.6
191,707.0
192,775.4000000000001
193,795
194,699.6
195,1107.1
196,742.8
197,695.6999999999999
198,785.5
199,833.5999999999999
200,756.4
201,796.2
202,770.1999999999999
203,917.5999999999999
204,969.4
205,984.2
206,880.4
207,894.2
208,737.1999999999999
209,812.6
210,805.0
211,621.5
212,907.1999999999999
213,1023.3
214,830.8
215,974.5
216,704.5
217,922
218,982.5
219,859.9999999999999
220,779.2
221,1118.0
222,1037.8
223,1066.2
224,686.6
225,731.5
226,860.8
227,846.2
228,904.7
229,1005.1
230,757
231,759.3
232,1017.7
233,883.0
234,828
235,915.8
236,673.8
237,1096.3
238,819.9
239,963.2
240,823.3
241,824.5999999999999
242,1013.6
243,1217.4
244,939.4
245,985.3
246,1027
247,782.8
248,823.5000000000001
249,897
250,957.3
251,1264.4
252,1018.9
253,939.7
254,860.5999999999999
255,987.0999999999999
256,729.8
257,907
258,978.7
259,1199.8
260,863.7
261,991.3
262,776.2
263,634.2
264,1255.8000000000002
265,790.9
266,895.4999999999999
267,832
268,937.4000000000001
269,866.5
270,1162.1
271,917.7
272,1147
273,937.6
274,770.6
275,1257
276,965.2
277,879.4
278,847.6
279,1088.7
280,917
281,912.2
282,880.2
283,1001.9999999999999
284,1253.1000000000001
285,974.5
286,1428.1
287,1037.5
288,1260.8999999999999
289,891.3
290,872.2
291,972.6
292,1125.4
293,641.3
294,764.7
295,1018.1999999999999
296,680.2
297,1444.1
298,972.6999999999999
299,918.0
300,994.4
301,835.6
302,834.7
303,744.9
304,1225.5
305,955.5
306,842
307,911.3
308,716.3
309,1022.7
310,928.0999999999999
311,955.6
312,647.9
313,780.6
314,773.1999999999999
315,1156.9
316,1003.6000000000001
317,923.7
318,690.3
319,1039.4
320,743.8
321,751.6
322,1368.7
323,694
324,1047.8
325,1052.3
326,737.8
327,830.6
328,936.0999999999999
329,1001.5999999999999
330,940.0
331,680.6999999999999
332,831.9
333,927.5
334,954
335,908.1
336,666.2
337,945.6
338,741.7
339,900.3
340,901
341,670.6999999999999
342,778
343,861.7
344,782.1
345,665.8
346,1033.0
347,836.4
348,1064.5
349,774.0999999999999
350,1170.1
351,794.1
352,1337.1000000000001
353,869.4
354,1230.0
355,1128.1000000000001
356,1073.9
357,896.1
358,925.3
359,956.7
360,975.0
361,775.6
362,1028.3000000000002
363,1314.5
364,1093.6000000000001
365,774.6
366,815.2
367,1182
368,661.2
369,1214.0
370,952.3000000000001
