Iteration,schedules
1,"[(92, 7), (80, 7), (234, 8), (107, 13), (189, 7), (1, 4), (122, 12), (5, 11), (73, 3), (31, 11), (184, 12), (93, 6), (171, 3), (158, 5), (75, 4), (74, 12), (128, 4), (210, 14), (167, 10), (190, 8), (191, 15), (194, 13), (21, 5), (172, 10), (78, 12), (120, 8), (152, 11), (76, 6), (168, 10), (129, 12), (2, 6), (169, 7), (156, 4), (69, 10), (22, 15), (3, 5), (207, 1), (170, 8), (211, 15), (208, 11), (218, 3), (38, 1), (157, 7), (70, 7), (121, 5), (24, 2), (198, 6), (164, 14), (6, 2), (235, 15), (130, 7), (132, 10), (94, 3), (219, 5), (222, 6), (223, 9), (165, 6), (147, 15), (4, 5), (81, 11), (15, 14), (7, 3), (166, 8), (209, 1), (224, 8), (214, 13), (10, 8), (199, 2), (200, 8), (25, 1), (142, 15), (201, 14), (153, 11), (17, 12), (72, 3), (206, 5), (215, 4), (137, 2), (146, 5), (96, 4), (82, 13), (97, 13), (18, 10), (48, 10), (77, 9), (173, 11), (185, 5), (139, 9), (174, 10), (51, 12), (16, 4), (79, 4), (19, 12), (175, 12), (176, 11), (148, 13), (154, 1), (140, 13), (98, 7), (52, 11), (9, 4), (159, 1), (212, 15), (160, 14), (39, 2), (43, 6), (186, 13), (86, 5), (161, 7), (213, 12), (123, 7), (45, 8), (95, 1), (46, 8), (47, 2), (99, 2), (53, 4), (125, 15), (41, 1), (141, 8), (126, 6), (155, 6), (64, 10), (67, 13), (127, 5), (225, 2), (216, 5), (65, 10), (162, 2), (14, 10), (134, 2), (163, 12), (133, 4), (87, 9), (179, 3), (20, 9), (149, 12), (135, 15), (136, 6), (228, 11), (42, 4), (217, 8), (66, 13), (90, 14), (68, 14), (91, 8)]"
2,"[(234, 8), (81, 11), (96, 4), (107, 8), (15, 2), (53, 4), (5, 3), (122, 14), (128, 13), (78, 12), (101, 5), (131, 14), (87, 9), (147, 12), (6, 2), (80, 7), (73, 6), (184, 8), (79, 6), (132, 11), (92, 5), (16, 1), (54, 8), (90, 14), (31, 10), (94, 9), (210, 14), (7, 15), (32, 10), (189, 7), (75, 4), (148, 13), (167, 15), (152, 7), (218, 3), (219, 7), (123, 7), (185, 5), (134, 2), (168, 10), (207, 2), (190, 5), (10, 8), (108, 1), (17, 1), (156, 7), (48, 2), (49, 1), (110, 13), (9, 4), (55, 12), (1, 4), (76, 6), (102, 11), (18, 13), (50, 10), (109, 6), (137, 4), (77, 9), (111, 8), (135, 4), (191, 15), (91, 13), (93, 5), (157, 13), (171, 5), (136, 9), (158, 13), (153, 12), (52, 6), (186, 4), (138, 3), (235, 2), (19, 1), (154, 14), (74, 12), (180, 4), (43, 6), (124, 10), (169, 10), (56, 8), (57, 2), (141, 8), (194, 13), (21, 5), (170, 15), (198, 12), (181, 14), (22, 15), (28, 10), (182, 13), (59, 1), (164, 15), (33, 4), (69, 2), (44, 3), (165, 6), (155, 7), (159, 1), (183, 6), (208, 11), (166, 13), (2, 6), (127, 2), (142, 14), (211, 11), (29, 8), (220, 7), (3, 5), (209, 7), (199, 9), (47, 2), (160, 4), (149, 5), (161, 3), (187, 14), (221, 4), (144, 8), (20, 11), (95, 1), (145, 8), (4, 5), (162, 2), (214, 13), (163, 14), (215, 4), (60, 6), (133, 4), (223, 15), (62, 14), (14, 7), (34, 12), (35, 12), (202, 7), (212, 15), (71, 11), (63, 5), (37, 11), (42, 8), (72, 3), (224, 12), (83, 6), (226, 7), (227, 2), (84, 7), (228, 12), (213, 12), (216, 5), (217, 8), (85, 15), (86, 5), (204, 6), (205, 7), (206, 5)]"
3,"[(48, 2), (21, 5), (234, 8), (96, 7), (122, 5), (158, 6), (164, 14), (159, 12), (78, 12), (160, 14), (147, 9), (189, 8), (15, 14), (161, 13), (73, 8), (16, 4), (165, 6), (190, 2), (80, 7), (137, 4), (69, 10), (100, 9), (162, 9), (192, 7), (92, 7), (152, 11), (31, 10), (74, 12), (218, 10), (207, 1), (142, 14), (166, 8), (171, 4), (128, 4), (208, 6), (235, 15), (32, 5), (131, 5), (132, 11), (180, 8), (156, 4), (153, 15), (148, 13), (49, 1), (193, 3), (154, 10), (184, 10), (144, 2), (157, 7), (138, 1), (75, 7), (141, 12), (194, 4), (155, 7), (77, 9), (107, 6), (5, 11), (94, 3), (185, 13), (198, 12), (149, 8), (43, 6), (163, 1), (123, 7), (50, 11), (210, 14), (93, 6), (229, 13), (199, 2), (230, 12), (231, 1), (112, 6), (81, 1), (186, 4), (1, 4), (209, 7), (22, 15), (17, 12), (145, 7), (18, 9), (52, 6), (71, 11), (202, 11), (33, 4), (2, 6), (24, 2), (76, 2), (203, 13), (232, 4), (72, 12), (205, 4), (11, 9), (82, 13), (181, 14), (233, 14), (134, 2), (206, 4), (182, 13), (113, 12), (19, 1), (12, 7), (87, 9), (135, 14), (136, 6), (95, 12), (44, 3), (183, 14), (187, 14), (125, 15), (126, 12), (127, 2), (133, 4), (25, 12), (20, 11), (13, 6), (14, 10), (34, 12), (167, 15), (114, 7), (88, 8), (211, 15), (86, 4), (53, 4), (89, 8), (91, 8), (212, 15), (54, 8), (168, 10), (214, 13), (169, 7), (55, 12), (79, 6), (47, 2), (58, 13), (170, 14), (3, 5), (213, 12), (35, 12), (37, 2), (59, 3), (4, 8), (215, 12), (60, 6), (42, 4), (216, 11), (217, 8), (61, 9), (63, 5)]"
4,"[(158, 1), (107, 3), (1, 3), (75, 5), (77, 9), (142, 14), (171, 5), (48, 10), (152, 7), (156, 4), (153, 15), (218, 3), (172, 1), (184, 2), (73, 6), (81, 1), (159, 12), (173, 15), (120, 13), (164, 15), (177, 2), (154, 7), (167, 15), (87, 9), (234, 9), (147, 9), (165, 6), (76, 2), (74, 12), (160, 4), (21, 5), (219, 5), (157, 13), (150, 13), (144, 14), (121, 8), (83, 6), (155, 3), (168, 13), (122, 9), (145, 7), (5, 3), (53, 4), (22, 12), (24, 8), (189, 7), (137, 2), (161, 4), (169, 9), (138, 6), (15, 14), (2, 2), (166, 8), (43, 6), (235, 15), (25, 1), (178, 10), (92, 5), (141, 4), (151, 6), (6, 2), (185, 5), (207, 1), (128, 10), (64, 3), (208, 11), (17, 1), (94, 9), (16, 4), (80, 5), (18, 10), (170, 8), (186, 13), (220, 2), (51, 3), (19, 1), (78, 12), (96, 4), (162, 2), (7, 3), (45, 8), (179, 13), (209, 1), (195, 3), (163, 4), (31, 10), (221, 6), (52, 11), (38, 9), (100, 9), (223, 15), (131, 14), (79, 6), (10, 15), (224, 2), (226, 9), (20, 9), (46, 8), (210, 14), (132, 15), (93, 5), (69, 2), (211, 11), (214, 13), (40, 13), (215, 12), (47, 2), (84, 7), (227, 5), (85, 2), (88, 12), (228, 12), (196, 5), (134, 2), (86, 4), (197, 6), (95, 12), (135, 15), (198, 13), (123, 7), (3, 5), (4, 5), (89, 2), (136, 2), (125, 3), (70, 5), (72, 12), (9, 4), (67, 10), (41, 1), (126, 12), (127, 10), (133, 4), (14, 10), (65, 10), (91, 13), (199, 2), (200, 8), (201, 9), (42, 4), (66, 13), (206, 13), (68, 14), (212, 15), (213, 12), (216, 1), (217, 8)]"
5,"[(137, 13), (171, 3), (210, 14), (152, 11), (107, 13), (5, 3), (81, 11), (156, 7), (73, 3), (153, 11), (75, 5), (122, 12), (218, 11), (1, 3), (172, 15), (128, 10), (96, 4), (97, 15), (157, 1), (147, 12), (131, 8), (74, 14), (148, 13), (108, 8), (6, 2), (167, 15), (189, 8), (234, 9), (53, 4), (229, 13), (158, 1), (230, 9), (76, 2), (173, 11), (159, 1), (109, 4), (139, 2), (164, 9), (142, 14), (174, 6), (2, 3), (160, 13), (154, 10), (98, 7), (99, 12), (155, 7), (144, 2), (161, 4), (184, 2), (110, 15), (132, 11), (54, 15), (162, 9), (231, 14), (165, 4), (140, 2), (3, 5), (145, 8), (207, 1), (48, 2), (141, 12), (211, 15), (232, 3), (80, 5), (21, 5), (111, 7), (83, 6), (69, 10), (185, 13), (166, 13), (233, 5), (168, 12), (163, 9), (15, 14), (190, 8), (16, 4), (7, 9), (134, 2), (87, 9), (123, 7), (135, 15), (214, 13), (175, 13), (169, 13), (55, 12), (208, 5), (17, 12), (235, 15), (18, 13), (22, 15), (30, 11), (170, 8), (209, 10), (149, 8), (125, 15), (19, 12), (126, 3), (186, 8), (127, 5), (20, 11), (212, 15), (78, 12), (133, 4), (176, 12), (215, 4), (77, 9), (192, 7), (4, 5), (8, 8), (79, 6), (136, 5), (92, 5), (58, 13), (93, 1), (193, 3), (194, 13), (213, 12), (9, 11), (179, 13), (198, 6), (59, 3), (90, 14), (216, 1), (49, 1), (60, 6), (217, 8), (50, 11), (91, 8), (94, 3), (95, 1), (52, 14), (71, 11), (84, 7), (72, 3), (14, 10), (43, 6), (62, 14), (31, 10), (63, 8), (44, 1), (199, 9), (47, 2), (38, 5), (39, 12), (202, 7), (41, 1), (42, 4), (85, 15), (204, 6), (205, 7), (206, 4), (86, 5)]"
6,"[(31, 11), (234, 11), (96, 7), (1, 3), (53, 4), (218, 3), (75, 7), (184, 10), (2, 3), (167, 15), (158, 13), (73, 6), (76, 6), (152, 11), (137, 4), (5, 3), (43, 6), (156, 4), (171, 11), (142, 15), (157, 10), (97, 14), (3, 5), (122, 12), (32, 5), (172, 1), (81, 11), (54, 15), (99, 2), (147, 15), (21, 5), (138, 6), (219, 7), (144, 8), (173, 11), (128, 11), (4, 5), (22, 12), (141, 6), (11, 1), (222, 10), (153, 11), (15, 13), (80, 5), (210, 9), (177, 14), (154, 6), (211, 15), (44, 6), (168, 10), (148, 6), (16, 1), (74, 14), (83, 6), (164, 9), (129, 8), (69, 10), (212, 15), (165, 2), (166, 13), (92, 7), (130, 7), (134, 2), (107, 8), (149, 8), (145, 7), (78, 12), (135, 4), (93, 6), (189, 7), (79, 6), (185, 3), (186, 4), (17, 1), (169, 7), (48, 2), (87, 9), (223, 1), (47, 2), (18, 10), (132, 15), (51, 3), (170, 15), (98, 6), (159, 12), (235, 15), (90, 14), (160, 3), (155, 7), (207, 1), (94, 9), (161, 3), (213, 12), (178, 13), (136, 9), (162, 2), (208, 6), (52, 11), (195, 3), (179, 4), (209, 10), (77, 9), (19, 12), (163, 9), (224, 2), (20, 11), (84, 7), (12, 7), (30, 9), (225, 2), (91, 8), (108, 1), (95, 1), (109, 4), (55, 12), (85, 15), (110, 13), (56, 7), (228, 12), (111, 8), (13, 6), (214, 13), (196, 5), (215, 12), (197, 6), (14, 7), (198, 13), (71, 11), (57, 2), (36, 13), (37, 11), (86, 5), (199, 2), (59, 1), (72, 3), (123, 7), (202, 11), (42, 4), (124, 13), (203, 8), (205, 7), (127, 2), (133, 6), (206, 13), (216, 11), (217, 8), (60, 6), (62, 14), (63, 8)]"
7,"[(152, 7), (184, 2), (153, 8), (75, 4), (5, 11), (154, 7), (234, 8), (142, 15), (137, 2), (15, 14), (156, 2), (167, 15), (107, 13), (76, 6), (218, 11), (210, 14), (69, 2), (219, 15), (147, 15), (87, 9), (122, 12), (17, 1), (148, 13), (235, 2), (211, 15), (189, 7), (139, 9), (123, 7), (16, 5), (128, 11), (80, 5), (96, 4), (214, 13), (157, 1), (131, 8), (73, 8), (158, 5), (6, 10), (78, 12), (74, 14), (132, 15), (155, 3), (149, 12), (48, 2), (220, 2), (1, 11), (77, 9), (7, 15), (90, 14), (195, 3), (221, 6), (51, 3), (108, 8), (168, 12), (169, 13), (207, 1), (170, 15), (70, 5), (134, 2), (146, 9), (110, 14), (106, 7), (208, 6), (52, 6), (223, 9), (109, 14), (31, 10), (81, 11), (2, 3), (171, 11), (209, 10), (125, 15), (180, 9), (21, 5), (22, 12), (10, 10), (72, 12), (181, 15), (111, 9), (135, 14), (3, 5), (136, 2), (92, 7), (164, 15), (182, 12), (159, 1), (160, 3), (91, 8), (43, 6), (18, 10), (79, 4), (161, 3), (185, 5), (162, 2), (196, 10), (215, 4), (183, 15), (9, 4), (23, 1), (32, 10), (186, 4), (94, 9), (19, 12), (165, 7), (126, 13), (140, 2), (166, 14), (141, 4), (197, 2), (163, 14), (198, 12), (83, 6), (199, 9), (36, 13), (20, 9), (224, 8), (93, 5), (127, 10), (187, 14), (226, 9), (227, 5), (4, 5), (14, 10), (228, 12), (133, 6), (202, 7), (204, 14), (205, 5), (206, 13), (95, 12), (45, 8), (53, 4), (46, 1), (212, 15), (64, 10), (84, 7), (213, 12), (37, 2), (67, 10), (85, 2), (65, 10), (66, 14), (86, 4), (47, 2), (42, 8), (216, 11), (217, 8), (68, 14)]"
8,"[(92, 7), (94, 3), (31, 11), (75, 4), (73, 6), (76, 8), (122, 12), (123, 7), (21, 5), (128, 13), (189, 7), (22, 15), (234, 9), (125, 3), (137, 13), (78, 12), (15, 2), (218, 11), (74, 12), (23, 9), (87, 9), (17, 1), (171, 11), (32, 5), (139, 2), (5, 6), (142, 14), (167, 15), (18, 10), (158, 13), (144, 12), (164, 15), (80, 7), (6, 2), (129, 4), (140, 2), (180, 5), (145, 4), (79, 4), (16, 5), (181, 15), (235, 15), (126, 6), (93, 1), (7, 3), (1, 3), (43, 6), (127, 1), (182, 9), (2, 6), (33, 4), (147, 9), (165, 4), (183, 6), (166, 1), (184, 8), (195, 3), (48, 2), (185, 13), (51, 3), (96, 4), (107, 3), (207, 2), (10, 10), (100, 9), (19, 12), (69, 10), (159, 1), (71, 11), (130, 7), (52, 14), (196, 5), (168, 13), (81, 1), (141, 6), (160, 3), (112, 3), (152, 11), (156, 7), (53, 4), (153, 12), (95, 12), (150, 15), (169, 7), (161, 12), (82, 13), (229, 4), (170, 8), (113, 15), (154, 14), (157, 1), (186, 8), (114, 1), (230, 10), (151, 4), (134, 2), (34, 12), (135, 15), (208, 5), (187, 4), (64, 3), (162, 9), (209, 1), (132, 3), (210, 9), (72, 3), (136, 5), (35, 7), (67, 10), (88, 8), (3, 5), (89, 8), (91, 13), (9, 11), (14, 10), (155, 6), (211, 15), (163, 4), (68, 14), (231, 13), (77, 9), (86, 4), (197, 1), (232, 13), (133, 6), (44, 6), (233, 11), (65, 10), (37, 2), (66, 13), (20, 9), (47, 2), (214, 13), (215, 12), (68, 14), (42, 4), (212, 15), (4, 5), (198, 13), (199, 9), (202, 7), (203, 8), (205, 5), (206, 13), (213, 12), (216, 11), (217, 8)]"
9,"[(1, 4), (189, 8), (171, 4), (122, 9), (107, 13), (69, 10), (119, 6), (167, 15), (2, 3), (81, 1), (5, 3), (83, 6), (73, 8), (218, 13), (234, 9), (78, 12), (6, 10), (142, 14), (3, 5), (184, 2), (87, 9), (168, 12), (172, 15), (75, 4), (169, 7), (128, 10), (15, 13), (152, 4), (170, 10), (43, 6), (79, 6), (156, 3), (153, 12), (207, 2), (16, 8), (77, 9), (147, 12), (17, 12), (235, 2), (76, 2), (144, 8), (185, 3), (80, 7), (145, 8), (74, 14), (157, 7), (186, 13), (158, 13), (123, 7), (131, 7), (210, 9), (211, 15), (7, 9), (21, 5), (132, 15), (154, 7), (229, 13), (53, 4), (22, 12), (31, 11), (92, 5), (8, 8), (30, 5), (9, 4), (230, 12), (155, 2), (14, 10), (124, 7), (94, 3), (212, 15), (127, 6), (32, 10), (54, 15), (84, 7), (231, 4), (232, 4), (18, 10), (88, 8), (55, 12), (159, 12), (160, 14), (213, 12), (48, 10), (51, 3), (164, 15), (4, 8), (214, 13), (148, 13), (208, 11), (173, 11), (177, 14), (209, 10), (137, 4), (165, 6), (161, 7), (93, 5), (178, 13), (215, 12), (89, 8), (95, 12), (19, 12), (91, 8), (233, 5), (52, 14), (166, 1), (216, 1), (149, 8), (44, 1), (36, 13), (85, 2), (139, 9), (56, 8), (86, 4), (20, 9), (57, 11), (179, 4), (96, 4), (100, 1), (37, 11), (217, 8), (71, 11), (140, 2), (72, 3), (195, 3), (133, 4), (141, 8), (196, 10), (197, 2), (162, 4), (42, 4), (59, 3), (60, 6), (163, 1), (198, 12), (134, 2), (135, 5), (199, 9), (200, 1), (61, 9), (63, 5), (201, 14), (206, 13), (136, 5), (47, 2)]"
10,"[(1, 11), (189, 8), (171, 11), (15, 2), (75, 5), (142, 15), (80, 5), (234, 9), (73, 8), (107, 3), (2, 6), (16, 5), (5, 3), (184, 2), (185, 13), (186, 4), (11, 13), (172, 10), (77, 9), (96, 7), (120, 13), (121, 5), (122, 14), (128, 4), (195, 3), (147, 15), (158, 1), (131, 7), (137, 13), (210, 14), (138, 5), (3, 5), (141, 4), (123, 7), (196, 10), (125, 3), (150, 10), (143, 13), (159, 12), (81, 1), (160, 3), (126, 13), (82, 12), (197, 1), (48, 10), (4, 8), (74, 14), (235, 15), (198, 13), (164, 15), (17, 1), (69, 2), (152, 4), (151, 2), (165, 4), (156, 3), (92, 7), (101, 7), (166, 12), (127, 10), (157, 12), (53, 4), (218, 3), (43, 6), (44, 6), (161, 13), (229, 13), (207, 2), (230, 1), (132, 10), (47, 2), (173, 11), (102, 1), (71, 11), (18, 10), (31, 11), (76, 8), (64, 3), (153, 15), (19, 5), (167, 15), (168, 13), (93, 1), (177, 10), (133, 6), (94, 3), (95, 12), (51, 12), (52, 11), (162, 2), (32, 10), (163, 14), (199, 9), (169, 7), (154, 14), (20, 9), (178, 6), (231, 14), (170, 3), (232, 13), (208, 6), (87, 9), (155, 7), (209, 10), (233, 11), (72, 3), (12, 12), (134, 2), (78, 12), (13, 1), (86, 5), (135, 14), (136, 9), (14, 10), (67, 13), (79, 6), (179, 4), (65, 10), (200, 8), (21, 5), (90, 14), (211, 15), (91, 13), (33, 4), (22, 12), (24, 2), (201, 9), (214, 13), (25, 12), (34, 13), (68, 14), (215, 12), (206, 5), (212, 15), (66, 14), (68, 14), (35, 7), (37, 11), (213, 12), (216, 1), (42, 8), (217, 8)]"
