Iteration,Makespan
1,1121.3999999999999
2,1413.3999999999999
3,1308.2999999999997
4,1519.5
5,1358.8999999999999
6,980.5999999999999
7,1290.7
8,1186.6
9,1163.7
10,1081.3000000000002
11,1113.1
12,1267.4999999999998
13,1428.3999999999999
14,1314.3
15,1112.2999999999997
16,993.9000000000001
17,1082.4999999999998
18,1278.4
19,1253.4999999999995
20,1020.0999999999999
21,1145.2
22,1026.7
23,976.8000000000001
24,956.2999999999998
25,1035.3
26,1406.6
27,1175.9
28,1081.7
29,1371.8
30,1197.3
31,1229.1
32,1139.9999999999998
33,1227.4
34,1216.1999999999998
35,968.1999999999999
36,1050.4
37,1299.0
38,1389.0
39,1188.3000000000002
40,1406.0
41,1270.1
42,1206.6999999999998
43,1114.5
44,1288.1999999999998
45,1183.6
46,1215.1
47,872.1999999999999
48,1464.9
49,1311.5
50,1029.7
