Iteration,schedules
1,"[(43, 8), (45, 2), (14, 12), (240, 5), (122, 4), (123, 3), (124, 15), (125, 14), (126, 13), (127, 11), (130, 4), (219, 7), (19, 15), (23, 5), (271, 3), (158, 10), (53, 6), (55, 15), (212, 6), (24, 9), (25, 13), (26, 5), (226, 11), (253, 7), (258, 7), (259, 9), (135, 2), (206, 1), (282, 1), (217, 12), (216, 9), (56, 11), (61, 6), (62, 5), (63, 5), (64, 10), (65, 11), (66, 8), (70, 4), (71, 9), (72, 13), (303, 13), (220, 14), (326, 10), (93, 8), (328, 2), (249, 10), (316, 12), (50, 8), (52, 12), (170, 7), (176, 3), (177, 5), (178, 6), (264, 1), (308, 9), (309, 1), (310, 4), (105, 3), (108, 1), (109, 9), (47, 13), (191, 6), (203, 1), (165, 14), (166, 9), (95, 5), (150, 14), (321, 6), (214, 4), (1, 4), (10, 4), (11, 14), (12, 6), (13, 14), (276, 2), (279, 7), (280, 12), (140, 5), (77, 3), (78, 7), (79, 7), (80, 3), (82, 9), (83, 2), (84, 2), (87, 10), (111, 13), (113, 15), (284, 13), (285, 13), (286, 7), (287, 5), (29, 2), (31, 11), (32, 15), (33, 6), (293, 7), (298, 8), (299, 4), (234, 11), (116, 15), (118, 2), (119, 1), (73, 4), (74, 3), (227, 10), (228, 2), (229, 14), (230, 6), (207, 5), (213, 14), (120, 4), (218, 6), (312, 4), (314, 9), (265, 8), (268, 15), (329, 13), (215, 6), (96, 6), (99, 8), (94, 2), (233, 10), (223, 9), (327, 14), (269, 2), (141, 12), (149, 14), (100, 9), (101, 14), (266, 5), (241, 12), (208, 2), (76, 14), (221, 8), (317, 15), (110, 5), (15, 3), (222, 4), (315, 3), (267, 12), (210, 8), (304, 6), (270, 11), (17, 3), (211, 3), (151, 11), (152, 15), (153, 12), (238, 4), (114, 11), (154, 13), (305, 8), (155, 4), (163, 12), (156, 11), (16, 13), (224, 1), (306, 14), (283, 15), (136, 3), (137, 13), (272, 14), (246, 14), (157, 8), (225, 5), (209, 12), (242, 5), (115, 10), (102, 7), (18, 7), (164, 12), (273, 4), (121, 10), (235, 11), (274, 7), (281, 13), (103, 12), (322, 14), (319, 10), (239, 7), (236, 7), (275, 10), (318, 4), (188, 2), (290, 9), (291, 3), (292, 14), (243, 3), (104, 10), (250, 10), (179, 12), (180, 2), (183, 11), (185, 14), (186, 7), (244, 2), (189, 6), (320, 6), (187, 13), (48, 7), (237, 7), (251, 6), (323, 13), (49, 9), (138, 3), (190, 10), (139, 3), (17, 2), (247, 4), (307, 10), (324, 5), (325, 6), (248, 1), (245, 12), (252, 3), (159, 2), (160, 13), (161, 2), (162, 1)]"
2,"[(14, 8), (135, 12), (73, 11), (74, 3), (284, 1), (285, 13), (286, 7), (287, 5), (276, 2), (279, 7), (280, 12), (150, 14), (217, 12), (50, 6), (51, 11), (93, 9), (249, 15), (122, 4), (123, 1), (124, 15), (128, 4), (129, 13), (130, 4), (240, 5), (303, 13), (43, 8), (46, 5), (95, 13), (158, 10), (77, 4), (88, 6), (89, 10), (90, 6), (91, 4), (92, 14), (293, 7), (294, 14), (295, 3), (296, 7), (297, 1), (56, 2), (61, 6), (67, 8), (68, 4), (69, 2), (70, 4), (71, 9), (72, 13), (212, 3), (219, 7), (226, 6), (105, 3), (106, 6), (107, 2), (326, 10), (328, 14), (29, 6), (31, 11), (32, 15), (33, 6), (220, 14), (214, 7), (321, 6), (53, 14), (54, 7), (253, 7), (258, 7), (259, 9), (170, 8), (171, 5), (172, 15), (175, 4), (111, 3), (113, 15), (234, 11), (140, 5), (206, 1), (282, 2), (165, 15), (167, 11), (168, 2), (1, 11), (10, 4), (11, 14), (12, 6), (13, 14), (19, 12), (21, 12), (22, 7), (216, 9), (308, 9), (309, 1), (310, 7), (316, 12), (271, 12), (191, 8), (199, 10), (116, 15), (117, 9), (24, 9), (25, 13), (26, 5), (47, 11), (264, 1), (312, 4), (314, 9), (179, 12), (200, 6), (265, 15), (110, 5), (283, 15), (207, 7), (268, 15), (227, 15), (231, 4), (232, 7), (315, 3), (266, 5), (267, 12), (120, 4), (180, 2), (183, 11), (184, 8), (186, 7), (269, 2), (270, 11), (121, 10), (210, 8), (211, 3), (188, 1), (233, 12), (209, 10), (189, 6), (48, 9), (322, 14), (190, 10), (218, 6), (215, 6), (329, 13), (208, 4), (317, 15), (17, 3), (201, 7), (327, 1), (202, 2), (159, 10), (213, 14), (221, 8), (318, 4), (222, 4), (323, 13), (49, 9), (304, 2), (141, 12), (142, 1), (18, 14), (187, 13), (160, 13), (305, 8), (161, 2), (306, 14), (307, 3), (272, 6), (273, 4), (114, 3), (274, 7), (100, 12), (162, 6), (275, 10), (324, 5), (101, 12), (281, 5), (115, 13), (96, 9), (99, 8), (325, 6), (223, 9), (224, 1), (94, 2), (225, 5), (241, 1), (242, 4), (243, 3), (163, 3), (238, 2), (244, 2), (290, 9), (291, 3), (164, 12), (319, 14), (320, 10), (235, 11), (236, 7), (292, 14), (76, 14), (139, 3), (239, 7), (237, 7), (102, 7), (103, 13), (104, 10), (136, 3), (137, 13), (138, 3), (139, 7), (250, 10), (251, 7), (252, 3), (15, 3), (16, 13), (17, 3), (246, 14), (247, 2), (248, 1), (245, 12), (151, 15), (154, 13), (155, 12), (152, 15), (153, 12), (156, 11), (157, 8)]"
3,"[(105, 3), (108, 1), (109, 9), (219, 5), (214, 7), (282, 4), (321, 6), (165, 14), (166, 5), (293, 7), (300, 11), (301, 3), (302, 10), (158, 12), (24, 9), (27, 10), (28, 8), (1, 3), (2, 3), (3, 15), (7, 4), (8, 13), (9, 4), (220, 8), (284, 13), (288, 12), (289, 12), (50, 8), (52, 12), (212, 6), (95, 13), (73, 11), (75, 14), (206, 1), (217, 12), (111, 7), (113, 15), (150, 14), (19, 15), (21, 2), (22, 7), (216, 9), (93, 8), (56, 2), (61, 6), (67, 14), (68, 4), (69, 1), (70, 4), (71, 9), (72, 13), (53, 14), (54, 7), (264, 1), (326, 10), (170, 8), (176, 3), (177, 5), (178, 1), (271, 12), (234, 4), (29, 6), (39, 15), (135, 10), (240, 5), (14, 2), (191, 3), (204, 13), (205, 8), (249, 15), (276, 2), (277, 1), (278, 9), (43, 6), (46, 5), (308, 9), (311, 3), (77, 4), (88, 6), (89, 10), (90, 6), (91, 4), (92, 14), (226, 11), (316, 12), (253, 7), (260, 10), (140, 5), (47, 13), (122, 3), (123, 3), (124, 15), (125, 14), (126, 13), (127, 11), (130, 4), (303, 15), (328, 14), (116, 13), (117, 9), (207, 7), (218, 4), (188, 2), (312, 4), (313, 4), (151, 15), (154, 13), (317, 15), (152, 15), (262, 8), (304, 6), (96, 9), (99, 8), (268, 15), (153, 12), (269, 2), (110, 8), (227, 10), (231, 4), (232, 7), (305, 8), (155, 4), (18, 7), (94, 15), (208, 2), (272, 6), (233, 10), (273, 4), (274, 7), (275, 10), (319, 14), (283, 6), (265, 8), (15, 5), (281, 13), (266, 5), (246, 14), (114, 11), (16, 13), (315, 3), (210, 6), (213, 14), (115, 10), (141, 12), (149, 14), (211, 3), (241, 1), (318, 14), (267, 12), (215, 2), (179, 12), (163, 12), (327, 1), (329, 5), (320, 6), (180, 2), (183, 11), (184, 8), (186, 7), (270, 11), (136, 5), (100, 6), (187, 13), (290, 2), (101, 14), (209, 10), (120, 15), (291, 12), (292, 14), (189, 11), (156, 11), (164, 12), (157, 8), (250, 10), (137, 13), (121, 14), (322, 14), (190, 10), (247, 2), (242, 5), (221, 8), (238, 3), (222, 4), (323, 13), (48, 7), (248, 1), (223, 9), (49, 9), (261, 6), (224, 1), (159, 9), (225, 5), (307, 5), (76, 12), (102, 3), (306, 2), (235, 11), (239, 13), (103, 13), (138, 3), (139, 7), (236, 6), (237, 7), (324, 5), (104, 10), (325, 6), (160, 13), (161, 2), (162, 6), (307, 3), (243, 3), (17, 3), (251, 6), (18, 7), (252, 3), (244, 2), (245, 12)]"
4,"[(29, 6), (31, 11), (32, 15), (33, 6), (264, 1), (282, 4), (249, 15), (191, 8), (199, 10), (105, 3), (108, 5), (109, 9), (158, 12), (216, 9), (234, 7), (116, 13), (118, 2), (119, 1), (219, 5), (43, 8), (46, 5), (14, 2), (212, 3), (316, 12), (122, 3), (123, 3), (124, 15), (128, 4), (129, 13), (130, 4), (53, 14), (55, 5), (206, 1), (93, 9), (19, 14), (20, 13), (276, 2), (277, 1), (278, 9), (50, 6), (52, 12), (271, 12), (77, 4), (88, 6), (89, 10), (90, 6), (91, 4), (92, 14), (293, 7), (294, 14), (295, 3), (296, 7), (297, 1), (240, 13), (303, 13), (24, 12), (25, 6), (26, 5), (73, 10), (75, 7), (111, 7), (113, 15), (308, 3), (309, 1), (310, 4), (220, 8), (135, 10), (170, 8), (171, 2), (172, 11), (175, 11), (56, 2), (57, 7), (58, 3), (59, 4), (60, 1), (140, 5), (284, 1), (285, 13), (286, 7), (287, 5), (1, 11), (2, 3), (3, 15), (7, 4), (8, 11), (9, 4), (326, 10), (226, 6), (328, 11), (214, 4), (165, 15), (167, 15), (168, 2), (47, 15), (321, 6), (150, 9), (253, 7), (257, 1), (95, 5), (217, 12), (215, 6), (312, 4), (313, 4), (18, 14), (141, 12), (149, 14), (227, 10), (231, 8), (232, 7), (48, 9), (136, 13), (233, 10), (315, 3), (114, 11), (115, 10), (49, 9), (246, 14), (327, 14), (96, 9), (98, 11), (329, 13), (137, 8), (247, 2), (100, 12), (304, 2), (101, 14), (290, 9), (102, 7), (103, 12), (291, 3), (104, 10), (218, 4), (292, 14), (305, 8), (306, 2), (241, 1), (248, 1), (322, 5), (138, 3), (139, 7), (76, 2), (242, 5), (243, 13), (323, 13), (244, 9), (245, 12), (307, 3), (324, 5), (250, 10), (251, 6), (325, 4), (252, 3), (151, 15), (152, 15), (153, 12), (154, 13), (155, 12), (268, 15), (269, 13), (156, 11), (157, 8), (317, 9), (318, 4), (110, 8), (283, 6), (265, 8), (266, 5), (267, 12), (270, 11), (210, 8), (211, 3), (200, 6), (94, 2), (207, 7), (208, 2), (120, 4), (121, 10), (188, 1), (189, 6), (190, 1), (179, 12), (180, 2), (181, 1), (182, 9), (187, 13), (15, 13), (16, 13), (17, 3), (18, 7), (223, 9), (224, 1), (238, 3), (239, 13), (272, 14), (273, 4), (274, 7), (275, 10), (163, 12), (164, 12), (201, 14), (202, 2), (209, 10), (235, 12), (236, 7), (237, 7), (159, 10), (160, 13), (161, 2), (162, 6), (281, 5), (213, 14), (319, 10), (320, 10), (221, 9), (222, 4), (225, 5)]"
5,"[(220, 5), (284, 1), (288, 12), (289, 12), (24, 12), (25, 13), (26, 5), (253, 4), (258, 7), (259, 9), (226, 6), (206, 3), (73, 11), (75, 14), (316, 15), (116, 13), (118, 2), (119, 1), (53, 3), (55, 15), (111, 13), (113, 15), (214, 4), (47, 11), (219, 7), (43, 8), (46, 5), (293, 7), (300, 11), (301, 3), (302, 10), (105, 8), (106, 6), (107, 2), (212, 3), (249, 10), (122, 4), (131, 4), (132, 14), (133, 6), (134, 14), (150, 14), (165, 15), (166, 5), (308, 9), (309, 1), (310, 4), (321, 1), (191, 8), (192, 1), (328, 2), (326, 2), (95, 5), (56, 2), (57, 7), (58, 3), (59, 4), (60, 1), (234, 7), (93, 9), (50, 6), (52, 12), (158, 10), (303, 11), (276, 3), (279, 7), (280, 12), (135, 2), (264, 11), (170, 8), (171, 8), (172, 15), (175, 4), (271, 12), (77, 4), (78, 7), (79, 7), (80, 3), (82, 9), (83, 2), (85, 9), (86, 1), (87, 10), (282, 1), (140, 5), (14, 8), (240, 6), (19, 14), (23, 5), (1, 3), (2, 3), (3, 15), (7, 4), (8, 13), (9, 4), (216, 9), (217, 12), (29, 6), (40, 1), (41, 2), (312, 4), (313, 4), (218, 4), (315, 3), (283, 15), (272, 6), (273, 4), (120, 15), (274, 7), (110, 8), (275, 10), (136, 5), (100, 12), (121, 10), (281, 13), (246, 14), (163, 3), (141, 12), (145, 1), (146, 6), (101, 14), (18, 7), (265, 15), (94, 2), (114, 11), (327, 15), (227, 10), (231, 4), (232, 7), (268, 15), (269, 2), (241, 1), (266, 5), (115, 10), (267, 12), (164, 12), (270, 11), (233, 10), (188, 1), (151, 11), (152, 15), (153, 12), (194, 13), (304, 6), (137, 13), (154, 13), (305, 8), (155, 4), (329, 13), (189, 6), (193, 6), (156, 11), (235, 11), (157, 8), (138, 2), (236, 7), (247, 2), (190, 10), (306, 14), (179, 12), (210, 8), (180, 2), (181, 1), (182, 9), (96, 9), (98, 11), (139, 7), (187, 13), (211, 3), (248, 1), (195, 10), (48, 7), (49, 9), (307, 3), (317, 9), (318, 4), (242, 5), (238, 2), (243, 3), (159, 9), (244, 2), (245, 12), (322, 8), (250, 10), (160, 13), (323, 13), (76, 14), (161, 2), (251, 7), (162, 6), (215, 8), (239, 13), (324, 5), (325, 4), (252, 3), (237, 7), (102, 7), (103, 12), (104, 10), (207, 7), (221, 15), (222, 4), (208, 4), (319, 10), (320, 10), (209, 12), (290, 9), (291, 3), (292, 14), (15, 5), (16, 13), (17, 3), (18, 7), (213, 12), (223, 7), (224, 1), (225, 5)]"
6,"[(43, 8), (46, 5), (24, 12), (27, 10), (28, 8), (293, 7), (294, 14), (295, 3), (296, 7), (297, 1), (53, 3), (54, 7), (47, 11), (158, 12), (1, 4), (2, 15), (3, 15), (4, 14), (5, 13), (6, 11), (9, 4), (316, 5), (276, 2), (279, 7), (280, 12), (93, 9), (253, 7), (263, 15), (50, 6), (52, 13), (150, 9), (122, 11), (131, 8), (132, 14), (133, 6), (134, 14), (308, 9), (309, 12), (310, 7), (111, 3), (112, 13), (271, 12), (56, 1), (57, 7), (58, 3), (59, 4), (60, 1), (19, 15), (20, 3), (264, 11), (77, 10), (78, 7), (79, 7), (80, 1), (82, 9), (83, 2), (84, 2), (87, 10), (116, 5), (117, 9), (234, 4), (105, 8), (108, 1), (109, 9), (220, 14), (219, 7), (206, 1), (321, 6), (165, 14), (167, 11), (168, 7), (214, 4), (29, 2), (34, 12), (35, 3), (326, 2), (216, 9), (140, 5), (95, 5), (170, 8), (171, 5), (172, 15), (175, 4), (73, 11), (75, 14), (191, 13), (199, 10), (14, 8), (212, 6), (282, 2), (249, 10), (217, 12), (328, 14), (135, 8), (226, 6), (284, 13), (285, 13), (286, 7), (287, 5), (240, 6), (303, 15), (283, 15), (110, 5), (213, 14), (200, 6), (188, 2), (218, 4), (120, 4), (304, 6), (227, 15), (231, 4), (232, 7), (246, 14), (207, 5), (208, 4), (268, 15), (179, 12), (305, 8), (241, 1), (269, 2), (233, 10), (201, 7), (327, 1), (221, 8), (222, 4), (76, 14), (121, 10), (189, 6), (238, 3), (329, 13), (235, 12), (209, 10), (18, 10), (322, 8), (180, 2), (183, 11), (185, 14), (186, 7), (190, 10), (187, 13), (210, 6), (250, 12), (236, 14), (202, 2), (94, 2), (96, 9), (99, 8), (306, 14), (265, 8), (312, 4), (314, 9), (315, 3), (211, 3), (102, 1), (103, 13), (114, 11), (307, 3), (115, 10), (266, 5), (104, 10), (267, 12), (136, 5), (247, 4), (137, 13), (138, 3), (223, 6), (242, 5), (270, 8), (251, 6), (100, 12), (290, 9), (101, 14), (243, 4), (139, 7), (215, 6), (291, 12), (292, 14), (248, 1), (224, 1), (239, 13), (244, 2), (245, 12), (237, 7), (151, 15), (152, 15), (153, 12), (154, 13), (225, 5), (155, 4), (156, 11), (157, 8), (252, 3), (15, 13), (317, 9), (318, 4), (16, 13), (17, 3), (323, 13), (18, 7), (324, 5), (281, 13), (325, 6), (272, 6), (273, 4), (274, 7), (275, 10), (319, 14), (320, 10), (159, 8), (160, 13), (161, 2), (162, 6), (163, 3), (164, 12), (48, 7), (49, 9), (141, 12), (149, 14)]"
7,"[(170, 7), (171, 5), (172, 15), (175, 4), (111, 3), (113, 15), (321, 6), (93, 8), (276, 2), (279, 7), (280, 12), (206, 1), (140, 5), (216, 9), (240, 13), (253, 4), (260, 13), (308, 9), (309, 1), (310, 7), (191, 8), (204, 1), (205, 8), (122, 11), (123, 10), (124, 15), (125, 14), (126, 12), (127, 11), (130, 4), (29, 2), (36, 5), (37, 4), (38, 9), (271, 12), (24, 12), (27, 10), (28, 8), (43, 8), (46, 5), (282, 3), (150, 14), (165, 14), (166, 5), (95, 13), (220, 5), (158, 12), (284, 1), (285, 10), (286, 7), (287, 5), (14, 10), (116, 5), (118, 2), (119, 1), (105, 8), (106, 6), (107, 2), (234, 4), (219, 7), (293, 7), (298, 8), (299, 6), (1, 11), (10, 9), (11, 14), (12, 6), (13, 14), (226, 6), (303, 11), (326, 2), (264, 11), (53, 14), (54, 7), (135, 8), (328, 7), (217, 12), (47, 15), (214, 7), (56, 2), (61, 6), (62, 5), (63, 5), (64, 10), (65, 11), (66, 8), (70, 4), (71, 9), (72, 13), (77, 3), (78, 7), (79, 7), (80, 3), (82, 9), (83, 2), (84, 2), (87, 10), (316, 15), (19, 15), (20, 3), (212, 6), (249, 15), (50, 9), (52, 12), (73, 10), (74, 3), (227, 10), (228, 2), (229, 14), (230, 6), (96, 6), (99, 8), (233, 10), (110, 5), (265, 15), (266, 5), (283, 6), (329, 13), (267, 12), (141, 12), (142, 1), (268, 15), (218, 4), (290, 9), (304, 2), (291, 3), (292, 14), (188, 1), (305, 8), (269, 13), (213, 14), (270, 11), (94, 2), (189, 6), (327, 1), (120, 4), (246, 9), (306, 14), (121, 14), (190, 10), (307, 3), (272, 6), (139, 14), (273, 4), (274, 7), (241, 1), (159, 10), (215, 2), (317, 9), (275, 10), (15, 13), (262, 8), (100, 12), (16, 13), (247, 2), (242, 5), (160, 13), (136, 3), (161, 2), (101, 14), (248, 1), (151, 11), (154, 13), (152, 15), (318, 4), (76, 14), (162, 6), (153, 12), (137, 8), (155, 12), (156, 11), (157, 8), (17, 2), (223, 9), (224, 1), (18, 7), (221, 8), (222, 4), (225, 5), (250, 10), (102, 1), (312, 4), (313, 4), (243, 3), (138, 3), (103, 12), (104, 10), (251, 13), (315, 3), (235, 11), (244, 2), (245, 12), (319, 14), (139, 14), (320, 6), (179, 12), (236, 7), (252, 3), (180, 2), (183, 11), (184, 8), (186, 7), (48, 7), (238, 4), (49, 9), (239, 13), (237, 7), (210, 13), (281, 5), (211, 3), (187, 13), (114, 3), (163, 3), (207, 7), (115, 10), (208, 4), (164, 12), (209, 10), (322, 5), (323, 13), (324, 5), (325, 6), (261, 6)]"
8,"[(240, 5), (122, 4), (131, 4), (132, 14), (133, 6), (134, 14), (253, 7), (257, 1), (93, 8), (1, 11), (2, 3), (3, 15), (4, 10), (5, 13), (6, 11), (9, 4), (43, 6), (44, 1), (214, 7), (111, 13), (113, 15), (19, 15), (23, 5), (56, 2), (57, 7), (58, 3), (59, 7), (60, 2), (206, 1), (105, 3), (106, 8), (107, 2), (29, 6), (36, 1), (37, 4), (38, 9), (226, 15), (50, 9), (52, 12), (276, 3), (277, 1), (278, 9), (217, 12), (316, 12), (135, 10), (53, 14), (54, 7), (220, 8), (303, 11), (326, 10), (47, 11), (328, 14), (271, 12), (264, 1), (219, 5), (165, 14), (167, 11), (168, 2), (73, 10), (75, 14), (77, 13), (78, 7), (79, 7), (80, 3), (82, 1), (83, 2), (85, 3), (86, 1), (87, 10), (150, 9), (191, 8), (203, 6), (212, 6), (24, 12), (25, 13), (26, 5), (140, 5), (321, 1), (14, 2), (293, 7), (298, 8), (299, 6), (170, 8), (171, 5), (172, 15), (175, 4), (116, 5), (117, 9), (95, 5), (234, 4), (282, 2), (249, 15), (284, 1), (285, 10), (286, 7), (287, 5), (216, 9), (308, 9), (311, 3), (158, 12), (312, 4), (313, 4), (110, 5), (315, 3), (283, 15), (100, 12), (268, 15), (96, 9), (97, 8), (141, 12), (143, 8), (144, 1), (218, 4), (101, 14), (272, 6), (188, 2), (207, 7), (273, 4), (274, 7), (120, 15), (151, 11), (208, 2), (227, 10), (231, 4), (232, 7), (154, 13), (275, 10), (233, 10), (265, 8), (189, 6), (163, 3), (322, 14), (250, 10), (152, 15), (266, 5), (267, 12), (153, 12), (76, 14), (290, 6), (213, 12), (155, 12), (121, 10), (164, 5), (156, 11), (329, 13), (157, 8), (15, 5), (319, 9), (179, 13), (291, 12), (304, 6), (292, 14), (281, 13), (235, 11), (269, 2), (159, 9), (317, 15), (180, 9), (181, 1), (182, 9), (318, 4), (320, 10), (305, 7), (187, 13), (270, 11), (306, 14), (246, 9), (102, 7), (327, 15), (18, 3), (94, 2), (223, 9), (215, 6), (103, 12), (114, 11), (160, 13), (115, 10), (161, 2), (236, 7), (247, 4), (104, 10), (48, 9), (248, 1), (323, 13), (209, 10), (251, 7), (324, 5), (210, 8), (211, 3), (16, 8), (252, 8), (238, 4), (190, 1), (224, 1), (49, 9), (325, 6), (239, 13), (221, 8), (222, 4), (307, 3), (17, 3), (162, 15), (18, 7), (225, 5), (237, 7), (136, 13), (137, 13), (138, 3), (139, 14), (241, 12), (242, 5), (243, 3), (244, 2), (245, 12)]"
9,"[(271, 3), (73, 11), (74, 3), (226, 6), (217, 12), (284, 1), (285, 13), (286, 7), (287, 5), (111, 3), (112, 13), (219, 5), (234, 4), (249, 15), (214, 7), (240, 5), (105, 8), (108, 10), (109, 9), (1, 11), (10, 4), (11, 14), (12, 6), (13, 14), (316, 12), (308, 9), (311, 3), (24, 9), (27, 10), (28, 8), (77, 10), (78, 7), (79, 7), (80, 3), (82, 9), (83, 2), (85, 9), (86, 1), (87, 10), (191, 13), (199, 4), (264, 1), (216, 9), (326, 2), (321, 6), (56, 2), (57, 7), (58, 3), (59, 4), (60, 1), (293, 7), (298, 2), (299, 6), (206, 1), (303, 13), (43, 8), (45, 10), (276, 2), (277, 1), (278, 9), (95, 5), (328, 14), (50, 8), (51, 11), (253, 4), (260, 13), (220, 14), (116, 15), (118, 2), (119, 14), (29, 6), (40, 1), (41, 2), (14, 12), (53, 14), (54, 7), (212, 6), (93, 11), (122, 11), (123, 3), (124, 15), (128, 4), (129, 13), (130, 4), (140, 5), (158, 12), (47, 13), (19, 14), (20, 3), (282, 1), (150, 9), (170, 7), (176, 3), (177, 5), (178, 6), (135, 8), (165, 4), (169, 12), (268, 15), (94, 2), (312, 4), (314, 9), (120, 15), (110, 8), (215, 6), (262, 8), (227, 15), (228, 2), (229, 14), (230, 6), (272, 6), (315, 3), (121, 10), (273, 4), (238, 7), (274, 7), (200, 6), (283, 15), (102, 9), (281, 13), (207, 5), (100, 12), (101, 14), (213, 14), (275, 10), (103, 12), (304, 2), (265, 8), (266, 5), (210, 6), (267, 12), (241, 1), (136, 5), (211, 3), (218, 4), (188, 1), (141, 12), (149, 14), (233, 10), (269, 2), (208, 4), (114, 11), (319, 10), (115, 13), (270, 11), (179, 6), (261, 4), (246, 15), (317, 9), (180, 2), (183, 11), (184, 8), (186, 7), (318, 4), (96, 6), (98, 14), (187, 13), (322, 14), (327, 14), (151, 11), (152, 15), (320, 10), (154, 13), (305, 8), (155, 12), (290, 3), (291, 12), (153, 12), (306, 14), (189, 6), (209, 11), (292, 14), (76, 12), (239, 7), (223, 9), (139, 7), (247, 2), (104, 13), (190, 10), (329, 13), (201, 7), (307, 3), (248, 1), (224, 1), (48, 9), (15, 5), (202, 2), (137, 13), (49, 9), (156, 11), (242, 5), (157, 8), (250, 12), (16, 13), (243, 3), (138, 3), (163, 13), (221, 8), (222, 4), (244, 2), (245, 12), (139, 7), (225, 5), (164, 12), (17, 2), (18, 14), (235, 11), (236, 7), (159, 10), (323, 11), (160, 14), (237, 7), (324, 5), (161, 2), (325, 6), (162, 6), (251, 13), (252, 3)]"
10,"[(158, 12), (264, 11), (234, 4), (77, 10), (88, 6), (89, 10), (90, 6), (91, 4), (92, 14), (206, 1), (122, 3), (123, 3), (124, 15), (125, 14), (126, 13), (127, 11), (130, 4), (14, 8), (282, 2), (219, 5), (308, 9), (309, 1), (310, 4), (249, 15), (29, 6), (40, 1), (41, 2), (293, 7), (294, 14), (295, 3), (296, 7), (297, 1), (24, 12), (25, 13), (26, 5), (316, 5), (271, 12), (53, 14), (55, 15), (328, 14), (216, 9), (214, 7), (321, 1), (95, 5), (150, 9), (47, 13), (165, 4), (169, 12), (240, 5), (191, 8), (196, 3), (197, 15), (198, 1), (93, 8), (116, 13), (118, 2), (119, 14), (135, 2), (226, 6), (253, 7), (260, 13), (326, 10), (50, 8), (52, 12), (105, 8), (106, 6), (107, 2), (276, 2), (279, 7), (280, 12), (140, 5), (170, 7), (171, 5), (173, 7), (174, 2), (175, 4), (217, 12), (220, 14), (284, 1), (285, 13), (286, 4), (287, 5), (1, 11), (2, 3), (3, 15), (7, 4), (8, 13), (9, 4), (303, 13), (212, 8), (19, 15), (20, 3), (43, 7), (44, 1), (73, 11), (74, 11), (111, 7), (112, 13), (56, 11), (57, 7), (58, 3), (59, 7), (60, 1), (241, 1), (312, 4), (313, 4), (120, 4), (218, 6), (246, 14), (100, 6), (136, 5), (317, 9), (304, 6), (101, 14), (141, 15), (143, 8), (144, 1), (114, 11), (110, 8), (221, 9), (222, 4), (223, 12), (188, 2), (315, 3), (262, 8), (137, 8), (318, 14), (261, 7), (215, 6), (115, 10), (139, 7), (18, 7), (121, 14), (96, 9), (97, 3), (319, 10), (320, 10), (305, 8), (306, 14), (224, 11), (213, 12), (209, 10), (210, 8), (227, 10), (231, 4), (232, 7), (247, 6), (189, 5), (179, 12), (190, 10), (225, 5), (233, 10), (180, 2), (183, 11), (184, 8), (186, 7), (211, 5), (290, 9), (48, 8), (281, 13), (49, 9), (291, 12), (292, 14), (329, 5), (268, 15), (269, 2), (307, 3), (138, 3), (102, 3), (327, 14), (103, 12), (139, 14), (187, 13), (283, 15), (151, 11), (152, 15), (242, 13), (154, 13), (155, 12), (76, 2), (153, 12), (104, 4), (156, 11), (157, 8), (322, 5), (265, 15), (94, 2), (266, 5), (267, 12), (270, 11), (15, 13), (323, 13), (207, 5), (16, 13), (324, 5), (325, 6), (208, 4), (163, 3), (243, 3), (244, 2), (17, 3), (18, 7), (164, 5), (248, 1), (245, 12), (250, 10), (251, 7), (252, 3), (272, 14), (273, 4), (274, 7), (275, 10), (159, 9), (160, 13), (161, 2), (162, 6), (238, 4), (239, 13), (235, 12), (236, 7), (237, 7)]"
