Iteration,schedules
1,"[(112, 2), (175, 11), (23, 11), (86, 5), (46, 1), (164, 8), (35, 11), (7, 3), (8, 7), (151, 5), (169, 5), (115, 4), (99, 3), (120, 7), (116, 15), (172, 7), (40, 4), (152, 3), (119, 8), (75, 3), (100, 5), (173, 7), (69, 3), (138, 1), (176, 15), (72, 1), (52, 14), (183, 4), (170, 9), (207, 12), (146, 15), (177, 2), (53, 6), (208, 13), (165, 5), (47, 1), (1, 5), (48, 14), (49, 7), (166, 13), (5, 8), (194, 4), (149, 13), (76, 5), (106, 11), (55, 15), (150, 6), (107, 8), (78, 11), (54, 12), (188, 3), (59, 13), (153, 11), (41, 15), (24, 15), (50, 9), (157, 10), (126, 3), (158, 13), (36, 2), (73, 9), (209, 8), (37, 7), (44, 2), (113, 5), (45, 7), (80, 15), (114, 2), (139, 11), (81, 3), (42, 10), (101, 7), (6, 5), (2, 7), (43, 2), (60, 7), (64, 9), (79, 13), (38, 15), (178, 11), (189, 9), (171, 4), (127, 5), (128, 2), (108, 4), (56, 10), (57, 7), (65, 12), (58, 8), (179, 6), (4, 10), (66, 7), (61, 8), (182, 12), (203, 8), (159, 13), (204, 10), (129, 13), (74, 8), (174, 1), (141, 15), (140, 7), (103, 3), (11, 8), (110, 10), (143, 8), (205, 7), (130, 2), (104, 3), (105, 6), (12, 1), (111, 6), (51, 9), (206, 15), (133, 7), (67, 12), (135, 6), (68, 10), (210, 2), (13, 12), (136, 5), (3, 4), (15, 6), (137, 13), (16, 10), (144, 4), (17, 10), (84, 4), (85, 14), (25, 7), (26, 12), (27, 8), (28, 9), (29, 1), (39, 5)]"
2,"[(86, 5), (151, 3), (194, 5), (46, 6), (75, 13), (175, 11), (146, 9), (7, 4), (141, 14), (164, 10), (59, 5), (55, 10), (64, 12), (160, 4), (56, 13), (161, 10), (40, 4), (169, 5), (100, 13), (57, 6), (76, 6), (23, 11), (96, 11), (66, 3), (44, 2), (176, 10), (149, 15), (177, 13), (150, 4), (45, 10), (1, 3), (52, 15), (4, 10), (24, 15), (69, 8), (172, 6), (78, 3), (2, 5), (183, 7), (80, 13), (115, 13), (41, 12), (116, 15), (143, 2), (65, 14), (106, 15), (207, 12), (70, 8), (58, 3), (184, 15), (178, 11), (5, 8), (165, 3), (119, 12), (162, 13), (81, 3), (208, 13), (79, 13), (101, 7), (53, 7), (185, 6), (203, 8), (186, 14), (204, 15), (47, 12), (35, 11), (42, 14), (48, 14), (107, 12), (166, 4), (84, 15), (25, 7), (205, 6), (206, 15), (71, 2), (32, 15), (170, 9), (6, 5), (163, 6), (43, 6), (33, 2), (120, 7), (60, 9), (74, 8), (126, 3), (102, 9), (108, 7), (34, 5), (49, 13), (105, 6), (50, 4), (144, 4), (61, 3), (209, 13), (167, 4), (85, 14), (210, 3), (54, 1), (138, 2), (171, 4), (3, 2), (173, 11), (67, 12), (139, 11), (68, 4), (36, 6), (127, 10), (18, 6), (51, 9), (179, 6), (37, 8), (174, 5), (110, 9), (112, 2), (140, 10), (111, 6), (38, 2), (39, 9), (113, 5), (128, 2), (114, 14), (182, 10), (129, 12), (19, 9), (20, 13), (21, 13), (130, 2), (133, 11), (22, 14), (134, 13), (136, 7), (137, 13)]"
3,"[(40, 11), (55, 10), (1, 5), (207, 8), (141, 15), (151, 3), (46, 6), (23, 11), (80, 5), (183, 4), (169, 14), (86, 6), (100, 13), (5, 6), (194, 3), (35, 15), (81, 3), (152, 3), (69, 3), (47, 12), (195, 15), (41, 15), (44, 3), (208, 5), (196, 11), (45, 1), (7, 10), (52, 14), (53, 4), (106, 15), (107, 4), (2, 5), (184, 14), (200, 4), (120, 7), (142, 3), (25, 7), (153, 15), (201, 11), (209, 4), (170, 15), (32, 11), (186, 12), (157, 4), (87, 7), (164, 8), (172, 9), (121, 5), (122, 15), (59, 5), (56, 10), (36, 6), (54, 1), (171, 4), (84, 15), (101, 7), (37, 7), (108, 4), (66, 6), (6, 3), (202, 3), (38, 15), (48, 3), (158, 6), (49, 12), (173, 1), (3, 4), (42, 10), (175, 11), (85, 10), (185, 7), (43, 3), (165, 5), (50, 9), (146, 15), (115, 13), (102, 13), (51, 1), (112, 2), (18, 6), (60, 9), (117, 9), (64, 12), (75, 13), (33, 2), (176, 15), (105, 6), (118, 2), (166, 13), (57, 6), (58, 3), (65, 12), (180, 8), (34, 14), (4, 12), (147, 6), (125, 4), (110, 10), (76, 13), (19, 1), (174, 5), (113, 14), (159, 13), (67, 12), (39, 10), (20, 13), (114, 9), (21, 6), (119, 12), (129, 6), (63, 2), (78, 11), (22, 5), (72, 10), (130, 2), (68, 10), (148, 12), (24, 2), (133, 7), (181, 7), (79, 10), (138, 2), (139, 11), (182, 10), (140, 1), (73, 9), (74, 8), (111, 4), (134, 8), (136, 4), (137, 5)]"
4,"[(46, 5), (151, 11), (59, 13), (75, 3), (35, 15), (52, 9), (146, 15), (66, 1), (120, 8), (55, 15), (152, 10), (47, 1), (56, 10), (115, 2), (175, 6), (100, 12), (77, 15), (40, 11), (41, 2), (194, 3), (78, 11), (106, 13), (138, 1), (207, 10), (1, 3), (64, 9), (149, 10), (208, 3), (44, 4), (169, 5), (60, 9), (4, 12), (141, 15), (42, 7), (170, 8), (48, 3), (49, 3), (176, 10), (195, 3), (183, 7), (80, 15), (23, 8), (61, 8), (139, 11), (150, 8), (171, 4), (172, 6), (153, 15), (7, 10), (196, 15), (117, 10), (164, 2), (53, 2), (109, 7), (57, 7), (67, 13), (2, 7), (8, 12), (79, 10), (157, 12), (68, 4), (25, 7), (65, 12), (184, 15), (32, 14), (209, 13), (86, 6), (165, 3), (93, 9), (197, 2), (173, 11), (110, 15), (24, 15), (140, 1), (158, 10), (33, 4), (186, 14), (174, 5), (45, 1), (101, 7), (9, 2), (50, 2), (5, 8), (34, 14), (198, 13), (185, 8), (58, 3), (118, 13), (43, 2), (142, 3), (159, 4), (54, 14), (103, 3), (51, 14), (6, 5), (177, 13), (81, 6), (178, 14), (166, 13), (10, 15), (12, 15), (36, 2), (119, 4), (13, 10), (37, 10), (126, 3), (94, 6), (104, 6), (38, 2), (95, 9), (39, 10), (105, 10), (3, 2), (179, 11), (111, 6), (112, 2), (127, 5), (113, 14), (182, 10), (114, 14), (84, 4), (69, 3), (128, 6), (72, 5), (85, 14), (129, 13), (14, 2), (17, 12), (130, 9), (133, 11), (135, 6), (73, 9), (199, 11), (136, 7), (74, 8), (202, 4), (137, 5)]"
5,"[(146, 12), (75, 7), (151, 5), (100, 5), (86, 6), (80, 13), (175, 11), (1, 1), (5, 8), (106, 13), (141, 12), (194, 4), (145, 1), (97, 6), (112, 2), (203, 9), (7, 3), (6, 3), (23, 9), (59, 13), (4, 12), (152, 15), (35, 11), (69, 3), (66, 9), (40, 4), (207, 12), (44, 3), (60, 6), (109, 14), (67, 12), (204, 14), (183, 4), (115, 13), (169, 8), (188, 3), (36, 2), (189, 11), (24, 15), (41, 12), (205, 12), (98, 3), (116, 1), (72, 1), (46, 5), (45, 12), (61, 3), (25, 7), (55, 15), (2, 7), (206, 13), (172, 6), (147, 13), (47, 12), (119, 12), (164, 8), (48, 3), (68, 13), (173, 11), (170, 9), (8, 10), (64, 6), (110, 15), (148, 5), (82, 2), (49, 7), (56, 13), (3, 4), (208, 13), (57, 13), (58, 15), (11, 6), (83, 1), (113, 14), (114, 5), (176, 15), (153, 15), (154, 2), (165, 3), (155, 6), (42, 7), (77, 8), (78, 15), (43, 7), (52, 9), (53, 7), (54, 1), (73, 9), (12, 1), (166, 13), (13, 12), (50, 2), (74, 8), (51, 9), (156, 12), (84, 4), (159, 13), (32, 13), (33, 2), (209, 8), (210, 3), (120, 8), (138, 1), (101, 7), (37, 7), (34, 5), (180, 4), (102, 13), (14, 2), (79, 13), (85, 10), (38, 14), (65, 12), (139, 5), (121, 2), (39, 5), (105, 2), (111, 4), (17, 10), (140, 7), (181, 7), (171, 4), (123, 7), (174, 1), (182, 10), (124, 2), (125, 11), (129, 6), (130, 2), (133, 11), (134, 13), (136, 7), (137, 5)]"
6,"[(169, 5), (40, 11), (80, 15), (44, 5), (100, 14), (120, 7), (41, 2), (170, 9), (35, 15), (194, 5), (25, 7), (46, 1), (121, 12), (146, 15), (86, 5), (96, 13), (36, 2), (207, 8), (106, 13), (141, 12), (45, 10), (7, 13), (55, 10), (195, 1), (123, 7), (8, 15), (1, 1), (69, 3), (151, 4), (30, 10), (37, 8), (42, 6), (112, 2), (9, 2), (160, 1), (75, 7), (43, 6), (113, 5), (10, 6), (175, 15), (115, 2), (12, 9), (47, 1), (13, 10), (161, 14), (52, 9), (116, 3), (107, 12), (56, 13), (119, 12), (149, 13), (38, 14), (57, 7), (58, 14), (15, 9), (171, 4), (48, 4), (164, 12), (4, 12), (165, 5), (31, 4), (53, 6), (76, 13), (183, 7), (184, 14), (49, 13), (172, 12), (173, 11), (166, 13), (78, 11), (23, 9), (185, 7), (59, 5), (150, 8), (101, 7), (66, 1), (70, 8), (71, 2), (124, 3), (174, 1), (138, 1), (139, 6), (114, 6), (67, 12), (208, 13), (108, 4), (162, 13), (142, 13), (125, 4), (176, 15), (50, 4), (24, 2), (64, 9), (79, 13), (5, 13), (209, 8), (186, 14), (110, 3), (2, 7), (102, 9), (180, 8), (74, 5), (39, 5), (105, 5), (3, 2), (60, 6), (54, 14), (181, 7), (82, 2), (196, 11), (163, 6), (197, 7), (167, 7), (65, 12), (16, 5), (6, 5), (62, 14), (51, 14), (111, 4), (83, 1), (17, 12), (198, 12), (129, 6), (68, 13), (130, 2), (140, 10), (84, 4), (131, 8), (199, 11), (202, 3), (132, 13), (85, 14), (182, 10), (137, 5)]"
7,"[(207, 2), (141, 15), (115, 13), (117, 7), (175, 6), (1, 3), (151, 3), (208, 5), (100, 5), (112, 2), (75, 13), (142, 13), (7, 11), (113, 4), (164, 2), (120, 7), (86, 6), (106, 15), (2, 5), (101, 7), (146, 15), (4, 12), (5, 8), (165, 13), (80, 5), (209, 4), (166, 8), (76, 6), (35, 15), (194, 11), (121, 12), (59, 13), (40, 11), (107, 12), (169, 8), (46, 6), (102, 9), (8, 5), (44, 5), (91, 9), (122, 15), (105, 2), (92, 4), (160, 8), (45, 7), (47, 1), (108, 7), (118, 2), (183, 7), (170, 8), (119, 4), (60, 6), (203, 9), (69, 8), (149, 10), (61, 1), (55, 15), (41, 12), (9, 2), (114, 2), (161, 15), (82, 2), (42, 1), (64, 6), (66, 7), (176, 10), (48, 13), (78, 11), (79, 13), (150, 2), (10, 1), (36, 6), (125, 11), (190, 11), (110, 3), (43, 2), (111, 6), (56, 13), (12, 15), (138, 1), (57, 10), (192, 8), (83, 14), (58, 14), (172, 9), (52, 15), (171, 4), (53, 7), (204, 6), (67, 13), (49, 7), (37, 8), (38, 14), (72, 10), (162, 13), (205, 12), (54, 1), (206, 13), (163, 6), (167, 3), (84, 4), (50, 9), (13, 2), (85, 10), (210, 14), (51, 12), (173, 1), (65, 14), (6, 5), (177, 13), (191, 6), (68, 10), (25, 7), (26, 14), (27, 12), (23, 9), (73, 9), (139, 11), (24, 2), (28, 5), (178, 14), (74, 5), (140, 7), (129, 12), (179, 6), (3, 2), (130, 9), (29, 6), (39, 5), (174, 5), (182, 12), (14, 2), (17, 12), (133, 7), (134, 8), (136, 7), (137, 13)]"
8,"[(194, 5), (35, 13), (164, 10), (120, 8), (86, 6), (151, 3), (207, 2), (100, 14), (175, 15), (115, 13), (1, 1), (88, 11), (36, 2), (117, 10), (106, 4), (203, 5), (7, 3), (204, 14), (46, 13), (5, 13), (205, 13), (206, 6), (47, 1), (80, 5), (107, 12), (112, 2), (183, 7), (4, 12), (40, 7), (176, 10), (138, 1), (48, 5), (113, 15), (55, 15), (56, 10), (141, 15), (23, 9), (6, 3), (49, 4), (37, 10), (57, 9), (59, 5), (2, 7), (139, 6), (114, 14), (8, 7), (50, 4), (140, 10), (190, 11), (146, 15), (118, 13), (3, 2), (152, 5), (44, 4), (169, 14), (24, 15), (11, 6), (192, 2), (75, 7), (170, 9), (119, 12), (77, 15), (78, 3), (89, 14), (64, 12), (172, 7), (58, 14), (177, 2), (60, 6), (45, 10), (52, 14), (38, 15), (65, 14), (41, 11), (69, 3), (61, 3), (165, 5), (79, 13), (90, 6), (191, 7), (108, 4), (171, 4), (110, 10), (173, 11), (42, 6), (70, 6), (12, 1), (208, 3), (43, 6), (209, 13), (101, 7), (13, 2), (210, 14), (53, 6), (54, 14), (14, 2), (126, 3), (178, 14), (71, 2), (17, 12), (179, 6), (166, 8), (127, 10), (102, 9), (66, 1), (182, 10), (174, 1), (105, 10), (111, 4), (25, 7), (153, 11), (128, 6), (74, 8), (67, 12), (51, 4), (129, 12), (147, 6), (130, 9), (148, 8), (157, 4), (32, 15), (158, 10), (33, 3), (34, 10), (39, 10), (131, 1), (159, 4), (68, 4), (142, 13), (132, 14), (137, 4), (82, 2), (83, 1), (84, 4), (85, 10)]"
9,"[(7, 11), (23, 8), (25, 7), (86, 6), (146, 15), (164, 10), (175, 6), (40, 11), (120, 8), (8, 15), (46, 1), (11, 8), (41, 12), (151, 5), (160, 1), (26, 14), (55, 15), (69, 3), (141, 14), (44, 4), (149, 13), (100, 5), (1, 1), (42, 14), (24, 2), (150, 8), (194, 4), (207, 8), (106, 15), (161, 14), (56, 13), (75, 7), (80, 15), (5, 6), (162, 13), (76, 5), (169, 14), (195, 3), (88, 14), (47, 1), (172, 7), (52, 9), (78, 15), (70, 8), (176, 15), (115, 13), (121, 2), (89, 15), (57, 9), (117, 9), (4, 12), (208, 3), (163, 15), (45, 1), (209, 8), (58, 10), (35, 11), (101, 7), (123, 7), (53, 6), (82, 2), (183, 4), (170, 15), (12, 12), (165, 3), (27, 8), (6, 3), (107, 4), (59, 5), (193, 12), (83, 1), (90, 6), (66, 6), (108, 7), (103, 15), (110, 15), (43, 7), (60, 7), (166, 4), (118, 2), (2, 5), (119, 12), (64, 12), (145, 9), (36, 6), (48, 3), (28, 9), (167, 2), (84, 15), (171, 4), (104, 13), (71, 2), (105, 6), (65, 14), (3, 2), (111, 6), (61, 3), (54, 1), (177, 2), (138, 1), (13, 10), (85, 10), (124, 9), (37, 8), (49, 3), (74, 8), (29, 15), (139, 11), (14, 2), (125, 4), (38, 2), (50, 4), (17, 10), (129, 12), (39, 9), (140, 7), (178, 14), (79, 13), (179, 11), (173, 1), (67, 12), (130, 2), (51, 12), (68, 13), (133, 7), (182, 12), (134, 8), (136, 4), (137, 5), (196, 11), (197, 14), (198, 14), (199, 12), (174, 1), (202, 4), (112, 2), (113, 4), (114, 9)]"
10,"[(25, 7), (164, 2), (146, 9), (32, 14), (100, 14), (151, 11), (80, 15), (169, 8), (170, 9), (112, 2), (113, 14), (194, 11), (114, 9), (59, 13), (115, 4), (46, 13), (207, 2), (33, 2), (208, 5), (66, 3), (175, 6), (106, 13), (172, 6), (7, 11), (86, 2), (171, 4), (116, 6), (81, 9), (64, 6), (101, 7), (165, 3), (195, 10), (209, 13), (23, 8), (18, 13), (60, 7), (19, 10), (55, 10), (56, 10), (40, 11), (119, 6), (1, 5), (147, 13), (20, 6), (75, 3), (4, 11), (44, 3), (34, 14), (107, 1), (62, 14), (52, 14), (76, 5), (35, 13), (102, 10), (96, 11), (183, 4), (21, 13), (152, 1), (153, 11), (157, 2), (105, 2), (65, 12), (45, 13), (141, 14), (47, 1), (69, 3), (108, 14), (184, 14), (22, 5), (196, 11), (48, 3), (57, 13), (186, 2), (49, 3), (185, 8), (78, 11), (197, 2), (198, 12), (148, 12), (2, 5), (110, 10), (41, 12), (3, 2), (166, 8), (158, 11), (53, 4), (159, 4), (54, 8), (42, 1), (70, 8), (120, 8), (121, 2), (43, 2), (58, 10), (50, 9), (79, 10), (51, 9), (67, 12), (24, 2), (68, 13), (173, 7), (174, 5), (123, 7), (138, 1), (139, 5), (124, 3), (36, 2), (37, 10), (140, 7), (5, 8), (38, 2), (125, 4), (145, 1), (129, 6), (130, 2), (39, 9), (6, 3), (199, 11), (202, 13), (111, 6), (131, 1), (132, 14), (137, 4), (71, 2), (74, 8), (176, 10), (177, 2), (178, 11), (84, 15), (85, 14), (179, 6), (182, 12)]"
