Iteration,Makespan
1,1993.7999999999997
2,2190.6000000000004
3,2218.5999999999995
4,2271.6
5,1822.7999999999997
6,1996.1000000000001
7,1787.4999999999998
8,1828.1999999999998
9,2190.5999999999995
10,1724.6000000000001
11,1962.3
12,1791.0000000000002
13,2354.7
14,2533.0
15,1692.6
16,2190.3999999999996
17,2156.6000000000004
18,1880.0
19,1559.5
20,1859.8
21,1799.8
22,1620.9999999999998
23,2489.3
24,1809.3000000000002
25,1925.3000000000002
26,1981.8
27,1704.5000000000002
28,2243.2
29,1964.4
30,1965.3
31,2236.2999999999997
32,2081.9
33,1601.2999999999995
34,1674.0000000000002
35,2004.5
36,1810.3
37,2449.5000000000005
38,1526.4999999999998
39,1914.8999999999996
40,1943.3999999999999
41,1432.3
42,2353.7000000000003
43,1791.9999999999998
44,1703.9
45,2241.0
46,2241.0
47,1792.9999999999998
48,2306.7
49,2058.5
50,2165.8999999999996
