Iteration,schedules
1,"[(293, 7), (298, 2), (299, 6), (191, 8), (204, 13), (205, 8), (77, 11), (88, 6), (89, 10), (90, 6), (91, 4), (92, 14), (19, 15), (20, 3), (206, 1), (276, 3), (277, 1), (278, 9), (105, 3), (106, 5), (107, 2), (93, 9), (284, 1), (285, 13), (286, 7), (287, 5), (135, 12), (264, 11), (226, 15), (271, 12), (111, 7), (113, 15), (217, 12), (249, 10), (316, 5), (253, 4), (263, 15), (50, 9), (51, 11), (326, 2), (14, 8), (165, 14), (169, 12), (212, 6), (219, 5), (214, 4), (73, 4), (75, 14), (308, 3), (309, 1), (310, 8), (95, 5), (122, 4), (123, 3), (124, 15), (125, 14), (126, 13), (127, 11), (130, 4), (29, 2), (39, 13), (43, 8), (46, 5), (321, 1), (56, 11), (57, 7), (58, 3), (59, 4), (60, 1), (53, 14), (54, 7), (1, 3), (2, 3), (3, 15), (7, 4), (8, 13), (9, 4), (220, 5), (216, 9), (150, 14), (234, 4), (303, 13), (47, 13), (24, 12), (27, 10), (28, 8), (240, 6), (116, 15), (118, 2), (119, 1), (170, 7), (171, 5), (173, 7), (174, 2), (175, 13), (140, 5), (328, 2), (158, 12), (282, 1), (120, 15), (179, 12), (283, 15), (180, 2), (183, 11), (185, 14), (186, 7), (187, 13), (304, 6), (121, 10), (18, 7), (139, 14), (329, 9), (235, 11), (48, 6), (236, 6), (305, 8), (306, 14), (307, 3), (49, 9), (188, 2), (189, 5), (190, 10), (238, 2), (239, 7), (237, 7), (141, 12), (143, 8), (144, 1), (151, 15), (152, 15), (153, 12), (154, 13), (155, 12), (156, 11), (157, 8), (218, 4), (110, 8), (265, 15), (266, 11), (267, 12), (227, 10), (231, 4), (232, 7), (233, 10), (163, 12), (164, 12), (100, 6), (101, 14), (223, 9), (224, 1), (76, 14), (312, 4), (314, 9), (315, 3), (96, 7), (97, 8), (268, 15), (269, 2), (270, 11), (94, 2), (317, 9), (318, 4), (114, 11), (115, 10), (322, 14), (323, 13), (324, 5), (325, 6), (215, 6), (327, 1), (319, 9), (320, 10), (210, 8), (211, 3), (246, 14), (247, 2), (248, 1), (102, 1), (103, 13), (104, 4), (213, 12), (241, 1), (242, 5), (243, 3), (244, 2), (245, 12), (159, 10), (160, 13), (161, 13), (162, 6), (250, 10), (251, 7), (252, 3), (221, 8), (222, 4), (225, 5), (290, 3), (291, 12), (292, 14), (15, 13), (16, 13), (17, 3), (18, 7), (281, 5), (136, 13), (137, 13), (138, 3), (139, 3), (209, 10), (207, 5), (208, 4), (272, 14), (273, 4), (274, 7), (275, 10)]"
2,"[(249, 15), (105, 3), (106, 6), (107, 2), (214, 7), (217, 12), (77, 11), (88, 6), (89, 10), (90, 6), (91, 4), (92, 14), (95, 5), (308, 9), (311, 3), (170, 8), (171, 8), (172, 11), (175, 13), (165, 14), (169, 12), (220, 14), (219, 7), (264, 1), (321, 1), (93, 8), (326, 10), (293, 7), (298, 2), (299, 4), (53, 3), (54, 7), (158, 12), (303, 13), (150, 14), (212, 6), (191, 13), (199, 10), (271, 12), (234, 4), (1, 5), (10, 8), (11, 11), (12, 6), (13, 14), (116, 13), (117, 9), (29, 2), (39, 15), (316, 15), (73, 10), (75, 14), (140, 5), (122, 3), (131, 4), (132, 11), (133, 6), (134, 14), (216, 9), (276, 2), (277, 1), (278, 9), (24, 12), (25, 13), (26, 5), (240, 5), (14, 2), (50, 8), (51, 15), (19, 14), (23, 5), (43, 7), (46, 13), (47, 11), (206, 1), (226, 6), (56, 2), (61, 12), (62, 5), (63, 5), (64, 10), (65, 11), (66, 8), (70, 4), (71, 9), (72, 13), (284, 1), (288, 8), (289, 12), (253, 4), (263, 15), (328, 2), (135, 10), (282, 3), (111, 7), (112, 13), (290, 9), (114, 11), (291, 12), (292, 14), (115, 10), (136, 5), (137, 8), (138, 3), (139, 7), (76, 14), (246, 14), (247, 2), (248, 1), (218, 4), (241, 1), (242, 5), (243, 3), (244, 2), (245, 12), (281, 13), (272, 6), (273, 4), (274, 7), (275, 10), (159, 10), (160, 13), (161, 13), (162, 6), (227, 10), (231, 4), (232, 7), (233, 10), (102, 9), (103, 13), (104, 10), (250, 12), (251, 7), (252, 3), (48, 9), (49, 9), (329, 5), (200, 6), (304, 2), (305, 8), (306, 14), (307, 5), (283, 15), (110, 8), (238, 2), (239, 13), (96, 9), (97, 8), (201, 7), (202, 2), (265, 15), (266, 5), (267, 12), (317, 9), (318, 14), (100, 12), (101, 14), (94, 2), (210, 8), (211, 3), (235, 11), (236, 6), (237, 2), (188, 1), (189, 6), (190, 1), (322, 14), (323, 13), (324, 5), (325, 6), (221, 15), (222, 4), (151, 15), (152, 15), (154, 13), (153, 12), (155, 12), (156, 11), (157, 8), (209, 10), (215, 6), (120, 4), (121, 14), (327, 14), (319, 10), (320, 10), (223, 7), (224, 1), (225, 5), (213, 12), (207, 5), (208, 4), (15, 3), (16, 13), (17, 3), (18, 7), (141, 15), (143, 6), (144, 1), (268, 15), (269, 2), (270, 11), (163, 3), (164, 12), (179, 6), (180, 2), (183, 11), (184, 8), (186, 7), (187, 13), (312, 4), (313, 4), (315, 3)]"
3,"[(77, 11), (78, 7), (79, 7), (80, 3), (82, 9), (83, 2), (85, 9), (86, 1), (87, 10), (43, 8), (45, 2), (217, 12), (264, 1), (47, 13), (19, 15), (20, 3), (284, 13), (285, 13), (286, 7), (287, 5), (220, 5), (253, 4), (263, 12), (276, 3), (279, 10), (280, 12), (212, 6), (206, 5), (122, 4), (131, 4), (132, 14), (133, 6), (134, 14), (214, 7), (150, 14), (24, 9), (25, 13), (26, 5), (50, 6), (52, 13), (140, 5), (293, 7), (300, 11), (301, 3), (302, 10), (93, 9), (29, 2), (31, 14), (32, 15), (33, 6), (219, 7), (191, 8), (196, 6), (197, 12), (198, 1), (73, 10), (74, 3), (105, 3), (106, 6), (107, 2), (326, 10), (170, 8), (171, 2), (172, 15), (175, 4), (249, 15), (226, 11), (240, 1), (111, 3), (112, 13), (56, 11), (61, 6), (62, 5), (63, 5), (64, 10), (65, 11), (66, 8), (70, 2), (71, 9), (72, 13), (1, 4), (2, 3), (3, 15), (7, 4), (8, 13), (9, 4), (316, 12), (321, 1), (158, 12), (14, 10), (328, 14), (308, 3), (311, 3), (95, 13), (216, 9), (271, 12), (53, 14), (54, 7), (282, 1), (234, 4), (135, 8), (116, 15), (118, 2), (119, 1), (303, 15), (165, 14), (167, 11), (168, 7), (235, 11), (312, 4), (314, 9), (120, 15), (96, 6), (98, 14), (121, 10), (18, 7), (315, 3), (100, 12), (101, 12), (236, 7), (283, 15), (304, 6), (305, 8), (102, 1), (103, 13), (104, 10), (306, 14), (238, 2), (322, 14), (136, 5), (239, 7), (237, 7), (323, 13), (307, 3), (324, 5), (325, 6), (114, 3), (115, 10), (317, 9), (318, 4), (110, 5), (241, 1), (242, 5), (243, 3), (244, 2), (327, 14), (15, 13), (16, 13), (17, 3), (18, 7), (137, 13), (138, 2), (139, 7), (179, 12), (180, 2), (181, 1), (182, 9), (187, 13), (250, 10), (251, 7), (252, 3), (246, 14), (247, 4), (248, 1), (245, 12), (163, 12), (164, 12), (159, 9), (160, 14), (161, 2), (162, 6), (76, 2), (319, 14), (320, 10), (272, 6), (273, 4), (274, 7), (275, 10), (227, 10), (228, 2), (229, 14), (230, 6), (233, 10), (268, 15), (269, 13), (281, 13), (94, 2), (265, 8), (266, 5), (267, 12), (270, 11), (141, 15), (149, 11), (210, 6), (211, 3), (188, 2), (189, 6), (190, 10), (329, 9), (218, 4), (207, 5), (208, 4), (48, 9), (49, 9), (290, 9), (291, 12), (292, 14), (209, 12), (215, 2), (151, 11), (154, 13), (152, 15), (153, 12), (155, 4), (156, 11), (157, 8), (223, 12), (224, 1), (213, 14), (221, 8), (222, 4), (225, 5)]"
4,"[(303, 15), (73, 11), (74, 3), (56, 1), (61, 6), (67, 14), (68, 4), (69, 1), (70, 4), (71, 9), (72, 13), (77, 10), (78, 7), (79, 7), (80, 3), (82, 9), (83, 2), (85, 9), (86, 1), (87, 10), (271, 3), (158, 12), (316, 5), (24, 9), (27, 13), (28, 8), (293, 7), (298, 2), (299, 6), (220, 14), (219, 7), (217, 12), (284, 13), (288, 12), (289, 12), (14, 8), (249, 15), (234, 4), (111, 13), (113, 15), (165, 14), (166, 5), (116, 5), (117, 3), (122, 11), (131, 8), (132, 14), (133, 6), (134, 14), (53, 6), (54, 7), (1, 4), (10, 4), (11, 14), (12, 6), (13, 14), (140, 5), (19, 12), (20, 3), (308, 9), (309, 1), (310, 4), (226, 6), (326, 2), (170, 8), (176, 3), (177, 5), (178, 1), (321, 1), (191, 8), (199, 10), (328, 7), (95, 13), (264, 11), (253, 4), (257, 1), (50, 7), (52, 12), (43, 8), (44, 1), (240, 6), (135, 2), (216, 9), (214, 7), (29, 2), (40, 6), (41, 2), (93, 11), (206, 3), (276, 3), (277, 1), (278, 9), (105, 3), (108, 1), (109, 9), (282, 1), (150, 14), (47, 15), (212, 6), (209, 10), (110, 5), (213, 14), (283, 15), (207, 5), (281, 13), (208, 4), (246, 9), (227, 10), (231, 4), (232, 7), (233, 10), (210, 8), (151, 15), (154, 13), (152, 15), (153, 12), (155, 4), (156, 11), (157, 8), (241, 1), (211, 3), (247, 2), (322, 14), (242, 4), (243, 3), (244, 2), (323, 11), (324, 5), (325, 6), (248, 1), (245, 12), (215, 6), (329, 13), (102, 9), (103, 13), (96, 6), (97, 8), (104, 10), (100, 12), (101, 14), (200, 8), (17, 3), (18, 7), (290, 9), (291, 3), (292, 14), (179, 6), (180, 2), (183, 11), (185, 14), (186, 7), (187, 13), (188, 2), (189, 6), (190, 10), (48, 7), (49, 9), (114, 11), (115, 10), (201, 7), (202, 2), (120, 15), (121, 14), (15, 5), (16, 13), (17, 3), (327, 1), (312, 4), (314, 9), (315, 2), (138, 3), (139, 7), (141, 12), (149, 9), (235, 11), (236, 7), (136, 5), (137, 13), (138, 3), (307, 3), (238, 4), (239, 13), (237, 7), (218, 6), (223, 9), (224, 1), (272, 14), (273, 4), (274, 7), (275, 10), (304, 2), (305, 8), (306, 14), (307, 3), (159, 10), (160, 13), (161, 2), (162, 6), (94, 2), (163, 12), (164, 12), (76, 14), (250, 10), (251, 7), (252, 3), (317, 15), (318, 15), (268, 15), (269, 2), (265, 8), (266, 5), (267, 12), (270, 11), (319, 10), (320, 10), (221, 9), (222, 4), (225, 5)]"
5,"[(170, 7), (176, 3), (177, 5), (178, 6), (206, 1), (111, 13), (113, 15), (73, 11), (74, 11), (158, 12), (264, 1), (253, 4), (258, 7), (259, 9), (284, 1), (285, 13), (286, 7), (287, 5), (95, 5), (303, 15), (165, 14), (166, 5), (77, 10), (88, 4), (89, 10), (90, 6), (91, 4), (92, 14), (326, 2), (53, 6), (55, 15), (220, 8), (50, 9), (52, 12), (276, 2), (277, 8), (278, 9), (56, 11), (57, 7), (58, 3), (59, 4), (60, 1), (328, 14), (271, 12), (234, 4), (308, 3), (309, 7), (310, 4), (321, 6), (122, 11), (131, 8), (132, 14), (133, 6), (134, 14), (140, 5), (316, 15), (282, 2), (212, 8), (29, 2), (36, 1), (37, 4), (38, 9), (116, 15), (117, 9), (216, 9), (249, 15), (293, 7), (294, 14), (295, 3), (296, 7), (297, 1), (217, 12), (105, 3), (108, 5), (109, 9), (1, 3), (10, 4), (11, 14), (12, 6), (13, 14), (219, 7), (47, 13), (19, 14), (23, 5), (214, 7), (135, 8), (150, 14), (226, 6), (191, 8), (203, 1), (240, 13), (43, 8), (46, 5), (93, 9), (24, 12), (25, 13), (26, 5), (14, 10), (151, 15), (152, 15), (153, 12), (227, 10), (228, 2), (229, 14), (230, 6), (154, 13), (155, 4), (156, 11), (157, 8), (94, 2), (233, 10), (312, 4), (314, 9), (315, 3), (17, 3), (18, 7), (110, 5), (307, 3), (246, 9), (247, 2), (248, 1), (215, 6), (120, 15), (121, 14), (319, 10), (329, 5), (281, 9), (250, 10), (251, 6), (252, 3), (322, 8), (323, 13), (324, 5), (325, 6), (136, 13), (137, 13), (138, 3), (139, 7), (102, 7), (103, 12), (104, 10), (268, 15), (269, 2), (100, 12), (101, 14), (218, 4), (238, 2), (239, 7), (48, 6), (49, 9), (96, 7), (97, 8), (283, 15), (223, 6), (224, 1), (207, 5), (208, 4), (114, 11), (115, 10), (317, 9), (318, 4), (320, 6), (265, 15), (266, 5), (267, 12), (270, 11), (15, 3), (16, 13), (17, 3), (163, 12), (164, 12), (290, 2), (291, 3), (292, 14), (159, 10), (160, 13), (161, 2), (162, 6), (235, 11), (236, 7), (237, 7), (141, 12), (143, 8), (144, 1), (327, 14), (272, 6), (273, 4), (274, 7), (275, 10), (213, 14), (210, 8), (211, 3), (188, 1), (189, 6), (190, 10), (76, 14), (179, 12), (180, 2), (183, 11), (184, 8), (186, 7), (187, 13), (304, 2), (305, 8), (306, 14), (307, 3), (209, 10), (221, 15), (222, 4), (225, 5), (241, 1), (242, 4), (243, 7), (244, 2), (245, 12)]"
6,"[(53, 3), (55, 15), (29, 6), (42, 6), (135, 8), (95, 5), (206, 1), (56, 11), (61, 6), (62, 5), (63, 5), (64, 10), (65, 11), (66, 8), (70, 4), (71, 9), (72, 13), (50, 7), (51, 14), (214, 4), (116, 13), (117, 9), (271, 12), (240, 1), (216, 9), (282, 2), (284, 13), (285, 13), (286, 7), (287, 5), (253, 4), (254, 14), (93, 8), (47, 15), (308, 9), (311, 3), (276, 3), (279, 7), (280, 12), (316, 12), (264, 11), (219, 5), (1, 4), (10, 4), (11, 14), (12, 6), (13, 14), (165, 14), (166, 5), (140, 5), (158, 10), (212, 8), (43, 7), (44, 1), (19, 12), (23, 5), (170, 7), (176, 3), (177, 5), (178, 6), (249, 15), (226, 6), (77, 3), (88, 13), (89, 10), (90, 6), (91, 4), (92, 14), (303, 13), (24, 12), (25, 13), (26, 5), (326, 10), (122, 4), (131, 4), (132, 14), (133, 6), (134, 14), (73, 10), (74, 3), (220, 14), (293, 7), (300, 11), (301, 3), (302, 10), (14, 2), (321, 6), (150, 14), (191, 8), (204, 13), (205, 8), (217, 12), (105, 8), (106, 6), (107, 2), (234, 7), (328, 2), (111, 13), (113, 15), (151, 15), (110, 5), (154, 13), (152, 15), (153, 12), (218, 4), (155, 4), (156, 11), (157, 8), (329, 9), (322, 14), (138, 3), (221, 8), (222, 4), (304, 2), (223, 9), (139, 7), (224, 1), (225, 5), (305, 8), (306, 14), (307, 3), (323, 11), (324, 5), (325, 6), (227, 15), (231, 4), (232, 7), (233, 10), (76, 2), (114, 11), (115, 10), (179, 12), (180, 2), (181, 1), (182, 9), (187, 13), (327, 1), (281, 13), (141, 12), (145, 1), (146, 6), (188, 2), (189, 6), (190, 10), (250, 10), (251, 7), (252, 3), (238, 2), (239, 7), (317, 15), (318, 4), (235, 8), (236, 7), (237, 7), (312, 4), (314, 9), (315, 3), (319, 14), (320, 6), (17, 3), (18, 7), (290, 9), (291, 12), (292, 14), (213, 12), (120, 15), (121, 14), (210, 6), (211, 3), (163, 3), (164, 12), (256, 2), (94, 2), (265, 15), (266, 5), (267, 12), (268, 15), (269, 2), (270, 11), (255, 6), (246, 14), (247, 2), (248, 1), (15, 5), (16, 13), (17, 2), (215, 6), (100, 9), (101, 12), (283, 15), (96, 7), (99, 8), (48, 9), (49, 9), (207, 5), (208, 4), (159, 8), (160, 13), (161, 2), (162, 6), (102, 1), (103, 13), (104, 10), (272, 14), (273, 4), (274, 7), (275, 10), (136, 3), (137, 13), (138, 3), (209, 12), (241, 1), (242, 5), (243, 3), (244, 2), (245, 12)]"
7,"[(77, 11), (88, 6), (89, 10), (90, 6), (91, 4), (92, 14), (284, 1), (285, 13), (286, 7), (287, 5), (321, 6), (216, 9), (303, 15), (150, 14), (220, 5), (214, 7), (326, 10), (1, 4), (10, 4), (11, 14), (12, 6), (13, 14), (116, 5), (117, 9), (43, 8), (46, 14), (234, 4), (316, 12), (50, 9), (52, 12), (217, 12), (219, 7), (212, 3), (14, 2), (170, 8), (171, 5), (172, 15), (175, 13), (47, 13), (264, 1), (308, 3), (311, 3), (135, 2), (282, 2), (158, 12), (271, 12), (56, 11), (57, 7), (58, 3), (59, 4), (60, 1), (253, 4), (260, 13), (73, 10), (75, 14), (24, 15), (25, 13), (26, 5), (206, 1), (105, 8), (108, 5), (109, 9), (29, 2), (39, 15), (328, 14), (165, 15), (166, 5), (95, 13), (111, 3), (112, 6), (191, 8), (199, 4), (19, 14), (20, 3), (93, 9), (140, 5), (53, 14), (55, 15), (249, 10), (122, 11), (123, 1), (124, 15), (128, 4), (129, 13), (130, 4), (226, 6), (276, 2), (279, 7), (280, 12), (293, 7), (298, 2), (299, 6), (240, 13), (100, 12), (141, 12), (142, 1), (101, 14), (241, 1), (139, 7), (246, 14), (242, 5), (243, 3), (244, 2), (94, 2), (247, 2), (248, 1), (245, 12), (218, 4), (207, 5), (208, 4), (110, 5), (329, 13), (227, 10), (228, 2), (229, 14), (230, 6), (233, 10), (96, 9), (97, 8), (201, 7), (102, 7), (103, 12), (104, 10), (319, 9), (281, 9), (261, 6), (250, 10), (251, 7), (252, 3), (262, 8), (210, 6), (211, 3), (272, 14), (273, 4), (274, 7), (275, 10), (76, 14), (17, 3), (18, 7), (48, 9), (49, 9), (136, 5), (137, 13), (138, 3), (139, 14), (307, 3), (114, 11), (115, 10), (209, 11), (238, 2), (239, 13), (200, 8), (202, 2), (327, 1), (322, 8), (323, 13), (324, 5), (325, 4), (159, 9), (160, 13), (161, 2), (162, 6), (120, 15), (121, 10), (15, 5), (16, 13), (17, 2), (235, 11), (163, 12), (164, 12), (236, 7), (237, 7), (179, 6), (180, 2), (183, 11), (184, 8), (186, 4), (187, 13), (265, 8), (266, 5), (267, 12), (290, 9), (291, 3), (292, 14), (215, 2), (188, 1), (189, 5), (190, 10), (317, 15), (318, 14), (320, 10), (151, 11), (154, 13), (152, 15), (153, 12), (155, 4), (156, 11), (157, 8), (213, 12), (268, 15), (269, 2), (270, 8), (221, 9), (222, 4), (283, 6), (223, 12), (224, 1), (225, 5), (304, 6), (305, 8), (306, 14), (307, 3), (312, 4), (314, 9), (315, 3)]"
8,"[(105, 3), (106, 6), (107, 2), (14, 8), (73, 11), (74, 3), (77, 10), (78, 7), (81, 8), (82, 9), (83, 2), (85, 9), (86, 1), (87, 10), (1, 4), (2, 15), (3, 15), (4, 14), (5, 13), (6, 11), (9, 4), (249, 10), (264, 1), (308, 9), (309, 1), (310, 4), (234, 7), (170, 8), (171, 5), (173, 7), (174, 2), (175, 13), (253, 4), (258, 7), (259, 9), (276, 3), (279, 7), (280, 12), (191, 13), (196, 6), (197, 15), (198, 1), (50, 6), (51, 11), (240, 5), (95, 5), (219, 5), (24, 12), (27, 10), (28, 8), (282, 1), (326, 2), (111, 13), (112, 13), (140, 5), (206, 3), (116, 13), (118, 2), (119, 1), (293, 7), (298, 2), (299, 6), (216, 9), (328, 2), (53, 14), (55, 15), (321, 6), (165, 15), (169, 12), (43, 8), (44, 1), (284, 1), (285, 13), (286, 7), (287, 5), (220, 14), (316, 12), (271, 12), (150, 14), (158, 12), (214, 4), (56, 11), (61, 6), (67, 14), (68, 4), (69, 1), (70, 4), (71, 9), (72, 13), (29, 6), (34, 12), (35, 3), (303, 11), (212, 3), (19, 14), (20, 3), (47, 11), (122, 4), (131, 4), (132, 14), (133, 6), (134, 14), (217, 12), (93, 8), (135, 2), (226, 15), (218, 6), (138, 3), (290, 9), (139, 7), (163, 3), (94, 2), (164, 12), (304, 6), (213, 14), (291, 12), (292, 14), (305, 8), (306, 14), (307, 3), (227, 10), (231, 8), (232, 7), (233, 10), (329, 13), (283, 15), (272, 14), (273, 4), (274, 7), (275, 10), (317, 9), (318, 15), (136, 5), (120, 4), (121, 14), (137, 8), (138, 3), (48, 9), (49, 9), (322, 5), (323, 13), (159, 10), (160, 13), (161, 2), (162, 6), (324, 5), (325, 4), (319, 9), (320, 10), (96, 9), (98, 11), (100, 12), (101, 14), (215, 6), (312, 4), (313, 4), (315, 3), (268, 15), (269, 2), (141, 12), (142, 1), (246, 14), (247, 4), (248, 1), (114, 3), (115, 10), (250, 10), (251, 7), (252, 3), (102, 7), (103, 12), (104, 10), (18, 14), (265, 8), (266, 5), (267, 12), (270, 11), (281, 13), (188, 1), (189, 6), (190, 10), (151, 11), (152, 15), (153, 12), (154, 13), (155, 4), (156, 11), (157, 8), (327, 1), (179, 6), (180, 2), (181, 1), (182, 9), (187, 13), (223, 9), (224, 1), (15, 3), (16, 8), (17, 3), (18, 7), (221, 8), (222, 4), (225, 5), (235, 12), (236, 7), (207, 7), (208, 4), (210, 6), (211, 5), (241, 1), (242, 5), (243, 3), (244, 2), (245, 12), (76, 14), (110, 8), (209, 10), (238, 2), (239, 13), (237, 7)]"
9,"[(264, 11), (303, 15), (170, 7), (176, 3), (177, 5), (178, 6), (19, 14), (21, 12), (22, 7), (284, 1), (285, 13), (286, 4), (287, 5), (206, 5), (165, 4), (169, 12), (212, 6), (220, 8), (93, 9), (53, 6), (54, 7), (271, 12), (316, 15), (77, 10), (88, 13), (89, 10), (90, 6), (91, 4), (92, 14), (135, 2), (1, 11), (2, 3), (3, 15), (4, 10), (5, 13), (6, 11), (9, 4), (24, 9), (27, 10), (28, 8), (240, 1), (56, 2), (61, 12), (67, 14), (68, 7), (69, 1), (70, 4), (71, 9), (72, 13), (73, 5), (74, 3), (111, 7), (113, 15), (29, 2), (42, 6), (43, 8), (45, 2), (276, 3), (277, 1), (278, 9), (116, 15), (118, 2), (119, 1), (216, 9), (217, 12), (293, 7), (300, 11), (301, 3), (302, 10), (219, 7), (253, 4), (263, 12), (282, 1), (122, 11), (131, 4), (132, 14), (133, 6), (134, 14), (249, 15), (321, 1), (50, 8), (52, 12), (158, 8), (226, 11), (14, 12), (234, 4), (214, 5), (95, 5), (140, 5), (150, 14), (47, 13), (328, 14), (191, 13), (203, 1), (308, 9), (311, 3), (105, 3), (108, 1), (109, 9), (326, 2), (138, 3), (110, 5), (329, 13), (151, 15), (154, 13), (155, 12), (283, 15), (152, 15), (153, 12), (156, 11), (157, 8), (139, 7), (312, 4), (314, 9), (315, 3), (327, 1), (120, 15), (121, 10), (307, 3), (15, 5), (322, 5), (323, 13), (16, 8), (17, 3), (18, 7), (238, 2), (324, 5), (325, 6), (227, 10), (228, 2), (229, 14), (230, 6), (233, 10), (235, 11), (236, 7), (239, 13), (237, 7), (163, 3), (164, 12), (250, 12), (251, 7), (252, 3), (159, 10), (160, 13), (161, 2), (162, 6), (100, 6), (101, 14), (141, 15), (142, 1), (281, 13), (114, 3), (115, 10), (102, 7), (103, 12), (104, 4), (218, 6), (96, 7), (97, 8), (215, 8), (48, 9), (49, 9), (207, 7), (208, 4), (268, 15), (269, 13), (136, 3), (137, 13), (138, 3), (265, 8), (266, 5), (267, 12), (270, 11), (94, 2), (290, 9), (291, 3), (292, 14), (76, 14), (317, 9), (318, 4), (210, 6), (211, 3), (223, 12), (224, 1), (319, 14), (320, 10), (188, 1), (189, 6), (190, 10), (304, 6), (305, 8), (306, 14), (307, 3), (241, 12), (242, 5), (243, 3), (244, 2), (246, 14), (247, 2), (248, 1), (245, 12), (272, 6), (273, 4), (274, 7), (275, 10), (179, 12), (180, 2), (181, 1), (182, 9), (187, 13), (213, 14), (221, 15), (222, 4), (225, 5), (209, 12)]"
10,"[(170, 7), (171, 5), (173, 7), (174, 2), (175, 4), (116, 13), (118, 2), (119, 1), (234, 4), (284, 1), (285, 13), (286, 7), (287, 5), (282, 3), (321, 6), (50, 8), (51, 11), (24, 12), (27, 10), (28, 8), (216, 9), (140, 5), (214, 7), (95, 5), (47, 11), (43, 6), (46, 13), (165, 14), (169, 12), (77, 10), (88, 6), (89, 10), (90, 6), (91, 4), (92, 14), (316, 15), (105, 3), (108, 1), (109, 9), (158, 12), (19, 15), (20, 13), (122, 11), (131, 8), (132, 11), (133, 6), (134, 14), (150, 14), (293, 7), (300, 11), (301, 3), (302, 10), (249, 15), (53, 14), (54, 7), (240, 5), (217, 12), (135, 2), (264, 11), (206, 1), (276, 3), (277, 1), (278, 9), (303, 15), (212, 8), (14, 2), (73, 4), (75, 14), (111, 3), (112, 13), (271, 12), (253, 7), (254, 14), (326, 2), (226, 15), (308, 9), (311, 3), (328, 11), (191, 8), (192, 1), (56, 1), (61, 6), (62, 5), (63, 5), (64, 10), (65, 11), (66, 8), (70, 4), (71, 9), (72, 13), (1, 4), (10, 4), (11, 14), (12, 6), (13, 14), (93, 9), (220, 5), (29, 2), (40, 1), (41, 2), (219, 7), (312, 4), (313, 4), (94, 2), (315, 3), (17, 3), (18, 7), (281, 9), (329, 13), (268, 15), (96, 9), (98, 11), (100, 12), (265, 8), (114, 11), (266, 5), (267, 12), (115, 10), (194, 15), (241, 12), (242, 5), (243, 13), (244, 2), (246, 14), (247, 4), (248, 1), (245, 12), (223, 9), (101, 12), (224, 1), (269, 2), (270, 11), (76, 12), (256, 2), (102, 1), (103, 12), (104, 10), (307, 3), (218, 4), (221, 8), (222, 4), (225, 5), (255, 6), (235, 8), (236, 7), (193, 4), (195, 7), (213, 12), (151, 15), (154, 13), (155, 4), (152, 15), (153, 12), (156, 11), (157, 8), (138, 2), (139, 14), (141, 12), (143, 8), (144, 1), (110, 8), (215, 2), (283, 15), (120, 15), (121, 10), (238, 2), (239, 13), (237, 7), (188, 1), (189, 6), (190, 10), (227, 10), (231, 4), (232, 7), (233, 10), (327, 15), (317, 9), (318, 15), (322, 14), (323, 13), (324, 5), (325, 6), (210, 13), (211, 3), (48, 9), (49, 9), (319, 10), (320, 10), (250, 12), (251, 7), (252, 3), (136, 3), (137, 13), (138, 3), (290, 9), (291, 3), (292, 14), (209, 10), (159, 2), (160, 14), (161, 2), (162, 6), (207, 5), (208, 4), (15, 3), (16, 13), (17, 3), (163, 3), (164, 12), (179, 6), (180, 2), (181, 1), (182, 9), (187, 13), (272, 14), (273, 4), (274, 7), (275, 10), (304, 2), (305, 8), (306, 14), (307, 3)]"
