Iteration,schedules
1,"[(197, 10), (44, 15), (114, 1), (106, 9), (22, 10), (198, 9), (9, 5), (79, 4), (249, 13), (127, 3), (107, 13), (199, 14), (175, 10), (243, 8), (47, 8), (244, 6), (120, 15), (204, 15), (121, 2), (192, 10), (99, 1), (83, 11), (23, 3), (135, 1), (93, 14), (95, 12), (161, 14), (123, 15), (122, 1), (45, 6), (40, 7), (94, 4), (209, 6), (128, 12), (208, 12), (164, 9), (80, 6), (134, 5), (18, 5), (131, 9), (108, 4), (167, 11), (35, 5), (150, 7), (254, 5), (165, 11), (46, 9), (48, 15), (84, 2), (200, 2), (100, 8), (235, 2), (43, 14), (201, 6), (36, 9), (162, 8), (24, 13), (124, 13), (75, 2), (238, 2), (146, 5), (50, 3), (96, 9), (157, 11), (97, 5), (223, 9), (98, 9), (229, 15), (125, 9), (19, 6), (115, 12), (137, 6), (37, 15), (147, 6), (232, 14), (101, 13), (102, 13), (129, 5), (103, 3), (38, 10), (39, 6), (239, 15), (53, 1), (59, 4), (158, 6), (27, 3), (20, 7), (163, 4), (233, 11), (202, 3), (104, 2), (141, 9), (51, 9), (126, 3), (57, 8), (21, 15), (166, 5), (195, 3), (214, 9), (196, 6), (109, 2), (168, 10), (60, 8), (159, 8), (81, 5), (251, 8), (242, 4), (85, 3), (203, 10), (132, 12), (61, 12), (148, 3), (116, 5), (130, 8), (56, 11), (1, 14), (252, 3), (112, 4), (149, 12), (82, 5), (54, 5), (113, 10), (133, 6), (236, 5), (77, 11), (78, 3), (237, 2), (86, 8), (25, 2), (105, 14), (224, 7), (256, 2), (30, 3), (58, 3), (64, 4), (257, 14), (258, 4), (225, 9), (138, 7), (110, 14), (111, 6), (215, 4), (245, 2), (253, 10), (55, 4), (117, 4), (142, 8), (118, 9), (259, 3), (2, 15), (228, 1), (119, 9), (248, 8), (143, 2), (65, 3), (172, 4), (66, 6), (234, 6), (67, 9), (69, 5), (139, 15), (140, 4), (87, 4), (92, 7), (3, 15), (4, 12), (187, 6), (145, 8), (189, 5), (190, 1), (191, 2), (5, 13), (31, 4), (33, 5), (176, 5), (34, 2), (6, 12), (7, 1), (173, 7), (174, 10), (8, 8), (177, 4), (178, 12), (179, 12), (181, 11), (186, 4)]"
2,"[(99, 6), (1, 9), (100, 15), (9, 5), (243, 3), (135, 1), (50, 6), (141, 9), (131, 9), (161, 5), (223, 9), (150, 4), (106, 9), (18, 9), (235, 2), (254, 5), (53, 5), (59, 4), (154, 1), (249, 7), (57, 8), (224, 7), (44, 15), (137, 6), (129, 5), (162, 9), (246, 10), (75, 2), (247, 9), (83, 3), (27, 3), (134, 5), (79, 4), (146, 5), (236, 4), (197, 12), (130, 8), (40, 6), (144, 14), (226, 3), (89, 1), (204, 15), (229, 15), (227, 12), (22, 8), (42, 2), (145, 8), (47, 8), (108, 11), (175, 11), (237, 14), (114, 13), (147, 6), (80, 6), (90, 12), (35, 12), (101, 11), (19, 10), (187, 6), (198, 2), (123, 15), (23, 3), (107, 13), (109, 2), (58, 3), (110, 1), (163, 4), (102, 6), (138, 7), (208, 12), (248, 5), (139, 15), (238, 4), (52, 15), (93, 2), (60, 15), (228, 5), (232, 7), (2, 15), (209, 5), (127, 6), (124, 10), (95, 1), (128, 14), (239, 15), (112, 4), (113, 7), (255, 6), (91, 2), (258, 15), (164, 12), (45, 7), (96, 13), (20, 9), (103, 6), (24, 8), (202, 13), (192, 2), (140, 5), (193, 6), (199, 13), (94, 8), (92, 10), (21, 14), (25, 7), (167, 11), (194, 9), (49, 13), (132, 12), (259, 10), (38, 9), (176, 10), (165, 7), (120, 15), (196, 11), (203, 10), (177, 4), (121, 6), (189, 8), (125, 13), (190, 8), (126, 15), (242, 4), (115, 12), (219, 11), (5, 13), (3, 15), (250, 5), (30, 3), (252, 11), (116, 13), (168, 15), (97, 12), (46, 11), (104, 10), (56, 11), (105, 14), (233, 3), (133, 6), (6, 12), (148, 3), (234, 6), (122, 8), (117, 4), (166, 5), (253, 10), (98, 11), (111, 6), (77, 11), (78, 3), (149, 1), (178, 12), (54, 7), (31, 4), (118, 2), (55, 2), (172, 8), (33, 5), (179, 12), (36, 15), (181, 2), (191, 2), (119, 1), (186, 8), (173, 7), (4, 12), (34, 2), (200, 2), (37, 4), (174, 12), (7, 11), (8, 8), (201, 6), (39, 6), (61, 12), (81, 5), (64, 13), (65, 3), (82, 8), (66, 15), (68, 5), (69, 5)]"
3,"[(129, 4), (106, 9), (127, 3), (44, 11), (83, 3), (47, 6), (254, 5), (223, 14), (27, 9), (75, 2), (150, 7), (197, 10), (93, 13), (1, 14), (243, 3), (192, 2), (22, 12), (151, 15), (132, 12), (229, 15), (114, 13), (209, 2), (23, 13), (235, 2), (9, 11), (40, 8), (153, 14), (94, 4), (202, 12), (115, 1), (50, 14), (79, 11), (43, 13), (104, 2), (10, 3), (123, 15), (52, 15), (141, 9), (99, 6), (48, 15), (11, 11), (105, 1), (238, 2), (116, 14), (80, 3), (89, 13), (45, 8), (198, 8), (161, 14), (2, 11), (77, 11), (146, 7), (35, 5), (120, 14), (239, 6), (148, 6), (134, 5), (152, 6), (100, 5), (36, 15), (15, 14), (46, 8), (81, 5), (124, 10), (167, 6), (125, 10), (147, 6), (101, 3), (107, 9), (203, 12), (117, 12), (28, 1), (149, 12), (59, 4), (142, 8), (187, 6), (95, 1), (210, 7), (29, 7), (168, 15), (121, 2), (70, 3), (133, 4), (199, 15), (16, 6), (224, 7), (38, 14), (143, 8), (236, 4), (232, 5), (242, 8), (237, 2), (126, 15), (164, 6), (82, 8), (102, 14), (73, 13), (74, 14), (244, 8), (165, 7), (122, 13), (172, 4), (233, 3), (90, 12), (245, 2), (31, 4), (24, 13), (108, 4), (78, 3), (118, 2), (109, 2), (249, 7), (248, 5), (135, 11), (256, 2), (195, 3), (17, 4), (103, 3), (130, 8), (250, 5), (119, 12), (3, 15), (53, 5), (112, 3), (189, 5), (37, 15), (113, 7), (32, 13), (162, 15), (200, 2), (196, 11), (163, 4), (190, 1), (57, 13), (58, 5), (226, 15), (96, 9), (173, 7), (204, 14), (227, 3), (110, 7), (34, 3), (56, 12), (257, 14), (166, 5), (131, 9), (91, 1), (201, 1), (258, 4), (97, 12), (111, 2), (39, 6), (175, 10), (252, 11), (145, 8), (259, 10), (253, 13), (228, 10), (136, 13), (71, 10), (191, 2), (54, 5), (92, 10), (128, 12), (174, 10), (55, 2), (206, 11), (234, 4), (140, 5), (98, 11), (5, 13), (6, 12), (207, 6), (72, 14), (74, 14), (4, 12), (7, 5), (8, 8), (176, 10), (180, 13), (181, 2), (186, 4)]"
4,"[(132, 12), (40, 7), (167, 15), (238, 4), (134, 5), (104, 10), (235, 2), (133, 4), (41, 4), (129, 5), (135, 11), (93, 13), (136, 12), (254, 5), (9, 4), (127, 3), (99, 1), (146, 5), (105, 1), (128, 14), (18, 5), (223, 9), (53, 3), (197, 12), (175, 10), (198, 2), (168, 15), (106, 11), (75, 2), (209, 6), (19, 6), (210, 7), (202, 3), (204, 14), (95, 1), (114, 6), (56, 10), (57, 6), (256, 2), (50, 6), (130, 2), (229, 15), (47, 8), (131, 9), (208, 9), (96, 13), (203, 5), (161, 14), (20, 13), (21, 6), (54, 5), (236, 4), (237, 5), (1, 14), (150, 4), (147, 6), (249, 13), (94, 5), (115, 1), (148, 6), (251, 15), (257, 14), (162, 9), (164, 9), (22, 10), (107, 13), (23, 13), (239, 5), (232, 5), (27, 3), (233, 3), (28, 2), (35, 5), (182, 5), (151, 14), (29, 4), (153, 2), (120, 14), (121, 4), (59, 4), (169, 2), (252, 3), (165, 1), (123, 10), (76, 7), (122, 13), (116, 5), (187, 6), (38, 14), (170, 14), (224, 7), (100, 14), (49, 12), (24, 13), (258, 15), (70, 3), (259, 3), (225, 13), (58, 3), (44, 11), (36, 15), (83, 3), (25, 3), (228, 2), (152, 8), (51, 7), (199, 14), (97, 1), (2, 15), (101, 12), (73, 10), (117, 7), (98, 11), (171, 6), (174, 12), (188, 6), (108, 4), (109, 12), (74, 14), (110, 7), (37, 15), (78, 12), (79, 3), (200, 13), (5, 13), (141, 9), (84, 3), (55, 4), (85, 3), (201, 1), (39, 6), (80, 6), (112, 4), (113, 12), (45, 6), (118, 4), (102, 8), (234, 4), (243, 3), (242, 8), (149, 1), (244, 5), (46, 11), (119, 12), (103, 3), (253, 10), (111, 7), (6, 12), (124, 13), (125, 7), (191, 2), (142, 8), (140, 4), (245, 2), (86, 8), (71, 10), (248, 8), (87, 4), (143, 8), (81, 5), (192, 2), (92, 10), (82, 8), (126, 14), (72, 14), (3, 15), (184, 15), (145, 13), (31, 4), (32, 3), (185, 1), (34, 2), (193, 1), (74, 14), (194, 9), (186, 8), (4, 12), (7, 1), (196, 11), (8, 8), (163, 4), (166, 1)]"
5,"[(75, 10), (22, 8), (44, 11), (106, 2), (93, 13), (45, 8), (47, 9), (76, 5), (9, 4), (107, 9), (46, 8), (99, 1), (114, 13), (123, 15), (197, 10), (146, 5), (124, 10), (94, 1), (49, 13), (209, 2), (53, 5), (132, 12), (204, 15), (129, 4), (1, 9), (148, 3), (125, 9), (57, 6), (147, 1), (56, 10), (167, 6), (198, 6), (83, 11), (235, 2), (243, 8), (223, 14), (100, 8), (78, 3), (175, 11), (220, 1), (89, 13), (135, 1), (23, 13), (202, 13), (130, 8), (161, 14), (108, 7), (120, 9), (164, 6), (236, 14), (203, 5), (109, 12), (121, 6), (122, 1), (127, 6), (246, 10), (101, 13), (110, 6), (2, 11), (35, 5), (238, 4), (40, 8), (134, 5), (43, 7), (112, 2), (10, 10), (38, 14), (141, 9), (229, 10), (206, 11), (237, 6), (230, 1), (126, 8), (27, 9), (128, 12), (54, 5), (5, 13), (102, 6), (28, 12), (103, 4), (11, 11), (165, 11), (249, 7), (182, 5), (168, 15), (55, 2), (172, 12), (162, 9), (207, 2), (79, 3), (231, 14), (183, 12), (250, 13), (80, 2), (252, 11), (233, 9), (253, 10), (192, 2), (221, 2), (136, 12), (240, 11), (131, 9), (36, 9), (115, 1), (81, 5), (15, 4), (16, 11), (199, 14), (37, 15), (140, 5), (95, 12), (116, 13), (133, 6), (113, 12), (241, 13), (24, 8), (200, 2), (242, 8), (117, 13), (39, 6), (104, 2), (29, 8), (201, 1), (142, 12), (3, 15), (105, 14), (31, 4), (58, 5), (187, 6), (111, 3), (96, 13), (50, 6), (97, 5), (90, 7), (82, 5), (143, 8), (254, 5), (59, 4), (255, 9), (258, 15), (224, 7), (17, 3), (33, 5), (118, 2), (145, 8), (119, 4), (225, 10), (150, 7), (98, 11), (6, 12), (34, 2), (228, 10), (195, 12), (173, 7), (234, 6), (188, 6), (191, 2), (154, 15), (196, 14), (259, 14), (52, 15), (149, 1), (70, 3), (163, 4), (91, 6), (166, 5), (73, 10), (74, 14), (174, 12), (92, 10), (185, 1), (186, 8), (71, 10), (72, 14), (4, 12), (247, 9), (7, 1), (74, 14), (248, 8), (8, 8)]"
6,"[(238, 4), (239, 3), (129, 5), (254, 15), (22, 12), (106, 11), (161, 14), (79, 4), (197, 8), (123, 10), (114, 1), (192, 2), (255, 3), (198, 8), (150, 4), (27, 3), (28, 7), (127, 8), (249, 3), (157, 10), (9, 3), (120, 15), (83, 3), (107, 13), (250, 5), (23, 5), (204, 15), (223, 13), (53, 1), (56, 11), (108, 11), (115, 1), (193, 1), (116, 3), (128, 12), (40, 8), (44, 15), (112, 4), (194, 11), (242, 4), (130, 2), (146, 5), (89, 4), (148, 9), (29, 8), (132, 12), (199, 14), (31, 4), (57, 8), (113, 10), (243, 3), (124, 12), (229, 4), (159, 8), (75, 2), (252, 11), (33, 5), (54, 5), (202, 12), (141, 9), (121, 2), (135, 1), (93, 2), (90, 7), (167, 15), (34, 3), (24, 13), (196, 6), (94, 8), (59, 4), (134, 5), (253, 10), (18, 5), (142, 12), (246, 10), (203, 9), (209, 6), (19, 10), (230, 1), (208, 9), (131, 9), (162, 15), (1, 9), (91, 6), (200, 2), (125, 10), (168, 10), (20, 9), (133, 6), (126, 10), (80, 6), (21, 14), (117, 12), (95, 12), (175, 11), (96, 13), (219, 11), (43, 13), (122, 14), (231, 14), (187, 6), (45, 7), (50, 6), (147, 5), (201, 1), (35, 15), (77, 11), (158, 4), (233, 10), (46, 11), (118, 9), (109, 8), (258, 4), (164, 9), (188, 3), (110, 14), (25, 3), (99, 1), (165, 7), (58, 3), (52, 5), (224, 7), (47, 8), (169, 2), (170, 15), (119, 4), (100, 5), (101, 5), (81, 5), (97, 1), (78, 3), (259, 3), (102, 8), (149, 12), (48, 14), (182, 1), (225, 9), (111, 3), (247, 9), (70, 10), (73, 10), (55, 4), (92, 10), (183, 12), (104, 10), (103, 3), (38, 14), (2, 11), (248, 5), (191, 2), (105, 1), (36, 9), (228, 2), (3, 15), (143, 8), (137, 6), (98, 11), (163, 4), (37, 14), (39, 10), (145, 13), (4, 12), (166, 5), (171, 11), (235, 2), (236, 5), (138, 7), (234, 6), (237, 6), (139, 2), (71, 10), (82, 8), (174, 10), (72, 13), (140, 5), (185, 1), (186, 4), (5, 13), (74, 14), (6, 4), (7, 11), (8, 8)]"
7,"[(108, 11), (197, 10), (127, 3), (202, 3), (1, 14), (83, 6), (243, 3), (128, 14), (135, 11), (238, 2), (203, 10), (167, 11), (93, 2), (198, 6), (175, 11), (112, 3), (9, 11), (239, 15), (84, 2), (2, 11), (146, 7), (223, 14), (136, 13), (104, 2), (53, 3), (47, 8), (106, 11), (199, 14), (192, 10), (35, 12), (109, 15), (113, 1), (3, 15), (44, 13), (54, 5), (105, 14), (161, 14), (141, 9), (129, 5), (131, 9), (95, 12), (50, 6), (99, 6), (96, 9), (242, 8), (4, 12), (162, 15), (48, 15), (148, 3), (110, 6), (182, 1), (193, 6), (123, 10), (45, 9), (229, 4), (209, 5), (27, 3), (57, 8), (46, 8), (232, 4), (194, 10), (140, 5), (132, 12), (59, 4), (10, 10), (58, 5), (246, 10), (94, 5), (164, 12), (85, 3), (38, 14), (100, 14), (184, 15), (107, 13), (200, 13), (101, 3), (254, 5), (55, 2), (22, 2), (5, 13), (204, 14), (208, 15), (142, 8), (124, 13), (201, 6), (111, 3), (28, 1), (75, 2), (102, 5), (114, 5), (79, 11), (133, 6), (130, 6), (165, 11), (60, 15), (80, 3), (233, 9), (103, 4), (187, 6), (51, 7), (6, 4), (147, 6), (211, 14), (36, 15), (97, 5), (29, 8), (143, 2), (149, 12), (188, 3), (23, 5), (145, 8), (196, 6), (56, 11), (150, 4), (7, 11), (212, 13), (11, 11), (37, 15), (115, 1), (76, 5), (24, 8), (235, 2), (213, 6), (125, 13), (86, 8), (155, 3), (116, 14), (126, 8), (78, 3), (117, 3), (31, 4), (39, 6), (224, 7), (81, 5), (32, 4), (225, 13), (168, 10), (12, 14), (98, 11), (169, 13), (191, 2), (156, 9), (228, 2), (13, 12), (234, 6), (120, 14), (8, 8), (170, 11), (134, 7), (171, 6), (34, 2), (40, 7), (14, 11), (17, 4), (42, 11), (87, 11), (118, 9), (121, 2), (163, 4), (166, 1), (82, 5), (122, 1), (236, 4), (119, 1), (237, 5), (247, 9), (174, 10), (92, 10), (61, 12), (185, 1), (248, 8), (186, 8), (64, 13), (256, 2), (65, 3), (249, 3), (250, 13), (252, 15), (66, 15), (257, 14), (258, 4), (253, 13), (67, 9), (69, 1), (259, 14)]"
8,"[(249, 3), (47, 9), (22, 12), (48, 11), (161, 5), (127, 6), (129, 7), (192, 10), (238, 4), (35, 15), (44, 13), (99, 1), (254, 5), (146, 5), (164, 9), (141, 9), (167, 6), (53, 3), (75, 10), (223, 13), (45, 7), (1, 9), (79, 4), (123, 10), (148, 3), (40, 6), (229, 13), (42, 10), (50, 6), (76, 5), (23, 5), (106, 7), (197, 10), (100, 5), (114, 13), (135, 1), (132, 12), (168, 15), (230, 12), (198, 2), (134, 5), (128, 12), (204, 15), (150, 4), (27, 3), (38, 10), (133, 6), (155, 3), (199, 15), (131, 9), (101, 3), (9, 5), (36, 15), (193, 1), (2, 11), (28, 12), (147, 5), (80, 3), (240, 7), (209, 6), (241, 13), (81, 5), (175, 11), (242, 4), (107, 5), (46, 9), (83, 6), (162, 8), (59, 4), (54, 5), (24, 13), (124, 13), (231, 7), (89, 13), (102, 13), (29, 7), (172, 8), (165, 1), (18, 4), (78, 12), (120, 9), (173, 7), (163, 4), (149, 12), (121, 6), (115, 1), (56, 12), (57, 8), (122, 13), (116, 5), (93, 14), (125, 7), (104, 10), (187, 6), (166, 5), (94, 8), (224, 7), (58, 5), (194, 10), (251, 15), (235, 2), (236, 4), (222, 9), (174, 10), (126, 15), (156, 11), (5, 13), (130, 2), (19, 14), (142, 12), (3, 15), (237, 14), (233, 11), (20, 6), (182, 9), (196, 14), (252, 11), (255, 9), (188, 1), (31, 4), (117, 3), (32, 4), (108, 11), (37, 14), (82, 8), (191, 2), (243, 8), (205, 5), (105, 15), (200, 2), (118, 4), (6, 12), (95, 12), (109, 8), (137, 6), (103, 6), (119, 9), (184, 13), (143, 2), (253, 13), (110, 7), (202, 3), (51, 2), (112, 2), (113, 12), (55, 4), (226, 3), (21, 6), (203, 5), (70, 3), (227, 13), (201, 6), (228, 1), (246, 10), (138, 7), (96, 9), (34, 2), (90, 7), (258, 4), (25, 3), (111, 2), (259, 10), (73, 10), (91, 1), (234, 4), (145, 8), (139, 15), (39, 10), (140, 4), (4, 12), (74, 14), (71, 10), (7, 5), (92, 7), (97, 1), (98, 9), (247, 9), (248, 5), (72, 14), (74, 14), (8, 8), (185, 1), (186, 8)]"
9,"[(53, 5), (47, 7), (123, 15), (9, 11), (131, 9), (35, 15), (18, 5), (106, 14), (187, 6), (40, 7), (44, 15), (45, 8), (175, 10), (19, 6), (43, 13), (107, 5), (36, 15), (161, 14), (20, 12), (59, 4), (48, 11), (83, 11), (108, 4), (162, 8), (114, 1), (109, 11), (112, 3), (182, 9), (27, 3), (1, 14), (135, 11), (30, 3), (188, 1), (22, 12), (54, 5), (120, 15), (57, 6), (110, 10), (254, 13), (89, 9), (121, 7), (38, 14), (255, 6), (197, 12), (141, 9), (21, 13), (223, 5), (129, 7), (122, 12), (56, 12), (50, 14), (229, 15), (204, 14), (205, 9), (136, 13), (230, 8), (258, 15), (79, 4), (99, 1), (192, 10), (37, 14), (39, 6), (93, 14), (94, 5), (198, 9), (163, 4), (195, 3), (243, 8), (100, 15), (164, 7), (104, 2), (231, 7), (101, 13), (132, 12), (196, 6), (23, 13), (127, 8), (128, 14), (259, 3), (146, 7), (167, 15), (2, 11), (46, 9), (105, 14), (233, 15), (124, 10), (202, 12), (24, 8), (209, 2), (130, 8), (249, 3), (142, 8), (140, 5), (133, 6), (203, 9), (147, 1), (113, 10), (246, 1), (60, 15), (31, 4), (199, 14), (165, 7), (25, 3), (5, 13), (219, 11), (168, 15), (102, 6), (150, 7), (103, 4), (251, 15), (58, 3), (111, 7), (55, 4), (252, 11), (143, 2), (32, 13), (148, 6), (34, 2), (80, 3), (134, 7), (61, 12), (154, 11), (115, 12), (184, 13), (6, 4), (166, 1), (149, 1), (64, 4), (116, 14), (125, 9), (52, 15), (95, 1), (96, 10), (117, 7), (81, 5), (169, 13), (200, 2), (126, 8), (201, 15), (253, 13), (97, 12), (3, 15), (185, 1), (238, 2), (75, 10), (145, 13), (240, 7), (241, 13), (98, 9), (118, 2), (186, 8), (191, 2), (170, 11), (242, 12), (119, 12), (171, 11), (235, 2), (236, 14), (82, 8), (237, 9), (174, 12), (90, 7), (77, 11), (224, 7), (65, 3), (78, 12), (225, 7), (228, 2), (66, 6), (247, 9), (91, 2), (92, 7), (67, 9), (4, 12), (69, 8), (248, 8), (7, 1), (234, 6), (8, 8)]"
10,"[(238, 4), (108, 4), (239, 1), (112, 7), (35, 15), (9, 4), (38, 9), (50, 14), (114, 6), (134, 7), (22, 10), (79, 3), (150, 4), (131, 9), (154, 1), (243, 8), (93, 13), (113, 10), (120, 9), (197, 8), (44, 13), (18, 1), (40, 6), (204, 14), (175, 11), (51, 2), (27, 3), (223, 13), (47, 7), (254, 13), (187, 6), (53, 3), (242, 4), (42, 10), (229, 11), (141, 9), (209, 6), (167, 15), (83, 11), (75, 2), (45, 9), (106, 9), (246, 1), (192, 2), (80, 6), (76, 5), (19, 6), (182, 5), (123, 10), (23, 3), (109, 8), (20, 13), (57, 6), (21, 14), (124, 13), (161, 8), (232, 4), (107, 13), (247, 9), (249, 3), (162, 9), (121, 4), (59, 4), (193, 6), (48, 11), (255, 3), (36, 15), (54, 5), (233, 15), (55, 4), (95, 12), (30, 3), (70, 10), (94, 1), (73, 13), (46, 11), (110, 10), (96, 13), (168, 10), (194, 9), (111, 6), (56, 12), (122, 12), (104, 10), (81, 5), (24, 13), (202, 3), (129, 7), (196, 14), (1, 14), (25, 14), (203, 5), (130, 2), (164, 7), (188, 3), (105, 14), (258, 4), (248, 5), (198, 8), (2, 15), (210, 9), (125, 13), (126, 8), (132, 12), (97, 12), (135, 11), (169, 2), (98, 9), (89, 1), (127, 8), (99, 6), (90, 12), (100, 5), (91, 2), (74, 14), (165, 7), (101, 11), (102, 14), (37, 15), (133, 4), (103, 4), (82, 5), (250, 5), (199, 13), (128, 14), (200, 13), (170, 11), (136, 13), (58, 5), (140, 4), (115, 1), (5, 13), (78, 12), (191, 2), (259, 14), (116, 5), (201, 6), (235, 2), (117, 4), (39, 10), (252, 15), (236, 4), (237, 5), (6, 4), (171, 6), (118, 9), (205, 9), (119, 12), (253, 10), (146, 5), (92, 10), (148, 9), (31, 4), (32, 13), (147, 1), (163, 4), (71, 10), (72, 13), (183, 12), (166, 1), (144, 14), (34, 2), (145, 8), (149, 1), (3, 15), (174, 10), (224, 7), (74, 14), (4, 12), (226, 3), (227, 12), (228, 5), (7, 5), (185, 1), (234, 6), (186, 4), (8, 8)]"
