Iteration,schedules
1,"[(159, 5), (1, 6), (14, 6), (27, 2), (66, 12), (69, 10), (70, 8), (174, 12), (61, 15), (62, 3), (189, 6), (190, 3), (30, 4), (32, 11), (33, 2), (169, 8), (210, 13), (211, 9), (79, 11), (144, 1), (146, 6), (147, 7), (148, 2), (118, 14), (173, 9), (108, 3), (114, 9), (115, 7), (116, 2), (85, 1), (50, 7), (51, 14), (150, 9), (151, 8), (152, 8), (205, 7), (206, 13), (94, 15), (155, 5), (35, 7), (42, 11), (43, 3), (44, 10), (199, 3), (200, 6), (201, 2), (194, 10), (195, 1), (196, 9), (124, 4), (135, 3), (45, 13), (104, 11), (140, 10), (141, 7), (177, 10), (184, 9), (186, 15), (187, 1), (171, 7), (71, 14), (15, 12), (176, 5), (98, 1), (188, 8), (172, 6), (99, 5), (100, 4), (49, 3), (138, 10), (139, 14), (204, 5), (198, 11), (143, 3), (72, 15), (53, 14), (101, 10), (73, 15), (75, 13), (76, 12), (74, 12), (136, 10), (77, 11), (137, 14), (139, 14), (78, 8), (102, 8), (46, 6), (154, 8), (103, 3), (105, 6), (47, 8), (48, 14), (106, 5), (208, 3), (107, 5), (209, 10), (49, 3), (83, 4), (84, 13), (117, 7), (214, 15), (215, 10), (91, 14), (92, 2), (93, 1), (157, 6), (193, 2), (52, 6), (16, 7), (18, 3), (19, 6), (20, 6), (175, 4), (149, 5), (160, 6), (162, 11), (164, 12), (165, 12), (95, 13), (96, 7), (97, 3), (80, 8), (81, 7), (82, 7), (34, 8), (156, 1), (158, 1), (28, 15), (29, 2), (166, 1), (167, 12), (168, 10), (120, 12), (121, 10), (119, 8), (122, 12), (123, 9), (170, 14), (86, 12), (87, 5), (88, 3), (89, 2), (90, 12), (21, 13), (24, 14), (25, 15), (26, 6)]"
2,"[(176, 5), (98, 1), (15, 12), (210, 13), (212, 2), (213, 1), (71, 14), (124, 4), (135, 3), (30, 13), (31, 15), (173, 9), (155, 7), (108, 6), (114, 9), (115, 7), (116, 2), (1, 2), (12, 1), (13, 2), (50, 4), (60, 12), (177, 11), (184, 5), (186, 15), (187, 1), (94, 15), (174, 12), (205, 3), (206, 13), (61, 14), (65, 5), (171, 4), (27, 2), (140, 10), (142, 11), (150, 9), (153, 14), (169, 8), (199, 8), (200, 6), (201, 2), (66, 9), (67, 6), (68, 5), (194, 10), (195, 6), (196, 9), (118, 14), (104, 11), (85, 6), (189, 6), (191, 8), (192, 1), (159, 5), (45, 13), (144, 1), (145, 12), (35, 7), (40, 8), (41, 6), (79, 4), (149, 5), (49, 3), (193, 2), (204, 5), (28, 15), (29, 14), (91, 14), (92, 2), (93, 1), (175, 4), (164, 12), (165, 14), (86, 1), (87, 4), (88, 3), (89, 2), (90, 12), (120, 12), (121, 10), (95, 10), (96, 7), (97, 3), (166, 9), (160, 6), (161, 8), (102, 8), (103, 5), (34, 12), (143, 3), (157, 9), (198, 11), (167, 13), (168, 10), (105, 3), (106, 5), (107, 5), (80, 11), (81, 7), (208, 15), (209, 10), (188, 8), (119, 4), (122, 12), (123, 9), (83, 5), (84, 13), (82, 7), (214, 15), (215, 3), (46, 2), (47, 8), (48, 14), (49, 3), (172, 6), (156, 1), (158, 1), (21, 15), (24, 14), (25, 15), (154, 8), (117, 7), (138, 10), (139, 14), (136, 10), (137, 14), (139, 14), (72, 11), (73, 15), (74, 12), (75, 13), (76, 12), (77, 11), (78, 8), (101, 12), (170, 14), (16, 7), (18, 3), (19, 6), (20, 6), (26, 6), (99, 5), (100, 4)]"
3,"[(205, 3), (207, 15), (194, 2), (197, 12), (66, 12), (69, 10), (70, 8), (171, 7), (108, 6), (114, 9), (115, 7), (116, 2), (144, 11), (145, 13), (189, 6), (191, 5), (192, 1), (124, 4), (125, 15), (126, 12), (129, 13), (130, 3), (131, 6), (133, 5), (134, 1), (177, 11), (178, 10), (179, 4), (180, 13), (181, 7), (183, 11), (15, 14), (30, 2), (32, 2), (33, 2), (71, 9), (45, 15), (94, 15), (176, 5), (150, 9), (151, 8), (152, 2), (210, 5), (212, 2), (213, 1), (118, 13), (27, 2), (173, 9), (104, 3), (35, 7), (36, 14), (37, 3), (38, 7), (39, 6), (174, 12), (155, 5), (85, 1), (79, 11), (1, 2), (8, 1), (9, 4), (10, 9), (140, 10), (141, 7), (169, 8), (61, 15), (65, 5), (199, 8), (202, 1), (203, 9), (98, 1), (50, 7), (55, 7), (56, 9), (159, 5), (149, 4), (193, 2), (204, 5), (105, 6), (106, 5), (107, 5), (214, 4), (28, 15), (29, 5), (160, 6), (162, 11), (101, 10), (143, 3), (164, 12), (86, 12), (175, 4), (99, 5), (165, 14), (100, 4), (91, 14), (215, 10), (157, 6), (80, 11), (156, 1), (166, 7), (170, 12), (167, 13), (81, 7), (158, 1), (92, 2), (120, 12), (93, 14), (168, 10), (121, 13), (87, 4), (88, 3), (188, 8), (102, 8), (154, 8), (34, 4), (103, 3), (83, 4), (84, 13), (82, 7), (89, 2), (90, 12), (119, 5), (122, 12), (123, 9), (49, 5), (95, 10), (96, 7), (97, 3), (72, 11), (75, 13), (76, 4), (73, 15), (74, 12), (77, 11), (78, 8), (46, 6), (47, 8), (48, 14), (49, 3), (16, 7), (17, 13), (20, 6), (117, 7), (172, 6), (208, 3), (209, 10), (21, 15), (22, 8), (23, 7), (25, 15), (26, 6), (198, 14)]"
4,"[(171, 7), (1, 6), (8, 1), (9, 4), (10, 9), (45, 15), (118, 14), (27, 2), (176, 5), (104, 4), (140, 10), (141, 7), (150, 9), (151, 8), (152, 2), (66, 12), (69, 13), (70, 8), (205, 3), (207, 15), (210, 5), (212, 2), (213, 1), (98, 1), (189, 6), (190, 3), (199, 8), (200, 6), (201, 2), (124, 4), (125, 15), (126, 12), (129, 13), (130, 3), (131, 6), (132, 9), (134, 1), (174, 12), (108, 11), (114, 1), (115, 7), (116, 2), (94, 10), (50, 7), (54, 1), (159, 5), (194, 2), (197, 3), (30, 13), (31, 15), (144, 11), (146, 6), (147, 7), (148, 15), (177, 11), (184, 9), (185, 2), (187, 1), (173, 9), (15, 14), (71, 14), (85, 5), (35, 7), (36, 14), (37, 8), (38, 7), (39, 6), (169, 8), (61, 15), (63, 12), (64, 7), (79, 7), (155, 7), (175, 4), (86, 1), (193, 2), (120, 12), (72, 15), (121, 10), (73, 15), (188, 8), (74, 12), (149, 5), (75, 13), (105, 6), (106, 5), (91, 14), (204, 5), (16, 7), (18, 3), (19, 6), (46, 6), (214, 15), (102, 8), (117, 7), (92, 2), (172, 8), (215, 10), (93, 1), (76, 4), (49, 3), (198, 11), (170, 14), (99, 7), (208, 3), (103, 3), (143, 12), (119, 1), (160, 9), (161, 8), (34, 4), (100, 4), (47, 8), (154, 8), (107, 5), (87, 5), (209, 10), (164, 12), (165, 14), (95, 10), (157, 9), (122, 12), (123, 9), (80, 11), (101, 10), (48, 14), (83, 2), (156, 1), (77, 11), (158, 1), (78, 8), (21, 15), (24, 14), (28, 14), (29, 5), (25, 15), (49, 3), (20, 6), (84, 13), (96, 7), (26, 6), (81, 7), (97, 3), (88, 13), (82, 7), (89, 2), (90, 12), (166, 3), (167, 12), (168, 10)]"
5,"[(35, 7), (36, 14), (37, 3), (38, 7), (39, 1), (171, 7), (199, 3), (202, 5), (203, 9), (205, 13), (206, 13), (45, 15), (104, 4), (140, 10), (141, 7), (177, 11), (184, 9), (186, 15), (187, 1), (169, 6), (71, 9), (79, 4), (30, 2), (31, 15), (85, 5), (118, 14), (173, 9), (159, 5), (150, 9), (151, 8), (152, 2), (176, 5), (144, 1), (146, 6), (147, 7), (148, 2), (174, 12), (108, 6), (109, 10), (110, 9), (113, 8), (112, 11), (61, 15), (63, 12), (64, 7), (155, 7), (27, 2), (50, 4), (51, 14), (1, 6), (12, 1), (13, 2), (124, 4), (125, 15), (126, 12), (129, 13), (130, 3), (131, 6), (133, 5), (134, 1), (210, 13), (212, 2), (213, 14), (15, 12), (194, 10), (195, 1), (196, 9), (94, 10), (98, 3), (66, 12), (69, 10), (70, 8), (189, 6), (190, 3), (193, 2), (175, 4), (188, 8), (143, 3), (16, 7), (18, 15), (19, 3), (101, 10), (72, 11), (75, 13), (73, 15), (120, 12), (86, 1), (99, 7), (119, 8), (74, 12), (102, 6), (149, 5), (87, 5), (100, 4), (46, 2), (76, 4), (83, 3), (103, 3), (117, 7), (77, 11), (121, 9), (78, 8), (208, 11), (122, 1), (154, 8), (123, 9), (198, 11), (204, 8), (214, 15), (172, 6), (84, 13), (166, 9), (167, 12), (157, 9), (160, 9), (162, 11), (95, 10), (28, 14), (47, 8), (215, 10), (156, 6), (53, 14), (105, 2), (106, 5), (88, 3), (20, 6), (34, 6), (91, 14), (168, 10), (164, 6), (209, 13), (158, 1), (165, 14), (170, 14), (107, 5), (92, 2), (52, 6), (89, 2), (49, 10), (48, 14), (80, 15), (49, 3), (93, 1), (29, 5), (96, 7), (81, 7), (90, 12), (97, 15), (82, 7), (21, 15), (24, 14), (25, 15), (26, 6)]"
6,"[(104, 4), (50, 7), (55, 7), (56, 9), (173, 9), (205, 3), (206, 13), (189, 6), (190, 6), (144, 11), (145, 12), (94, 15), (210, 5), (212, 2), (213, 1), (15, 14), (118, 2), (124, 4), (125, 15), (126, 12), (127, 4), (128, 2), (130, 3), (131, 6), (132, 9), (134, 1), (45, 13), (140, 10), (141, 5), (159, 5), (176, 7), (71, 9), (1, 2), (11, 15), (27, 2), (35, 7), (40, 8), (41, 6), (85, 13), (30, 4), (32, 2), (33, 2), (79, 11), (66, 12), (69, 10), (70, 8), (177, 10), (178, 10), (182, 13), (183, 11), (108, 3), (109, 10), (110, 9), (113, 8), (112, 11), (150, 9), (153, 14), (174, 12), (171, 7), (169, 8), (194, 2), (195, 1), (196, 9), (155, 7), (61, 14), (63, 12), (64, 7), (199, 8), (202, 1), (203, 9), (98, 1), (170, 12), (117, 7), (204, 5), (99, 7), (154, 8), (175, 4), (72, 15), (188, 8), (73, 15), (100, 4), (102, 6), (103, 3), (74, 12), (214, 15), (75, 13), (49, 3), (76, 4), (101, 10), (198, 11), (28, 5), (77, 11), (29, 5), (78, 8), (215, 3), (149, 5), (193, 2), (164, 6), (120, 1), (121, 10), (143, 3), (165, 14), (172, 8), (46, 6), (47, 8), (48, 14), (16, 7), (17, 13), (34, 4), (20, 6), (49, 3), (91, 14), (92, 2), (93, 1), (119, 1), (122, 12), (123, 9), (160, 9), (162, 11), (83, 3), (156, 5), (84, 13), (105, 6), (106, 5), (107, 5), (157, 9), (158, 1), (166, 1), (167, 12), (168, 10), (208, 11), (209, 10), (80, 12), (81, 7), (82, 7), (86, 12), (87, 5), (88, 3), (89, 2), (90, 12), (95, 10), (96, 7), (97, 3), (21, 13), (22, 8), (23, 7), (25, 15), (26, 6)]"
7,"[(199, 3), (202, 1), (203, 9), (159, 5), (45, 15), (71, 14), (85, 6), (171, 7), (50, 4), (54, 1), (140, 10), (141, 7), (173, 9), (144, 11), (146, 6), (147, 7), (148, 2), (194, 2), (195, 1), (196, 9), (61, 12), (63, 12), (64, 4), (66, 15), (67, 13), (68, 5), (108, 3), (109, 10), (110, 9), (113, 8), (112, 11), (176, 7), (79, 11), (189, 6), (191, 8), (192, 1), (205, 3), (207, 15), (30, 2), (32, 2), (33, 2), (210, 13), (212, 2), (213, 1), (155, 7), (1, 5), (8, 9), (9, 4), (10, 9), (35, 7), (42, 12), (43, 3), (44, 10), (177, 11), (184, 9), (185, 2), (187, 1), (118, 14), (104, 4), (27, 2), (15, 14), (124, 4), (135, 3), (169, 8), (174, 12), (150, 9), (151, 8), (152, 2), (94, 15), (98, 1), (204, 8), (138, 10), (139, 14), (136, 10), (170, 14), (188, 4), (16, 7), (17, 13), (46, 2), (149, 5), (175, 4), (154, 8), (117, 7), (28, 15), (157, 3), (101, 11), (156, 1), (214, 15), (102, 6), (193, 2), (158, 1), (47, 8), (137, 14), (139, 14), (143, 12), (120, 1), (91, 14), (99, 5), (103, 3), (160, 6), (161, 8), (48, 2), (166, 3), (72, 15), (100, 4), (29, 5), (75, 13), (208, 11), (73, 15), (74, 12), (209, 10), (80, 11), (121, 9), (198, 14), (172, 2), (76, 4), (164, 12), (105, 6), (165, 14), (77, 11), (106, 5), (92, 2), (21, 10), (24, 8), (107, 5), (95, 10), (78, 8), (167, 12), (25, 15), (86, 1), (215, 3), (83, 5), (168, 10), (84, 13), (87, 5), (119, 5), (20, 6), (26, 6), (96, 7), (49, 3), (34, 8), (88, 3), (81, 7), (93, 1), (89, 2), (97, 8), (122, 12), (90, 12), (82, 7), (123, 9)]"
8,"[(50, 4), (51, 14), (173, 9), (118, 14), (194, 2), (195, 1), (196, 9), (199, 3), (200, 6), (201, 2), (45, 15), (169, 3), (94, 10), (189, 6), (191, 8), (192, 1), (79, 11), (71, 9), (174, 12), (27, 2), (144, 1), (145, 12), (124, 4), (125, 15), (126, 12), (129, 13), (130, 3), (131, 6), (132, 9), (134, 1), (108, 3), (114, 4), (115, 7), (116, 2), (61, 15), (65, 5), (177, 11), (178, 10), (182, 13), (183, 11), (30, 13), (31, 15), (155, 7), (98, 5), (159, 5), (210, 13), (212, 2), (213, 1), (1, 6), (8, 5), (9, 4), (10, 9), (205, 7), (206, 13), (66, 12), (69, 10), (70, 8), (15, 12), (140, 2), (141, 7), (150, 9), (153, 14), (104, 4), (85, 5), (171, 7), (176, 7), (35, 7), (40, 2), (41, 6), (117, 7), (188, 8), (214, 4), (16, 7), (18, 3), (19, 6), (102, 8), (208, 11), (215, 10), (101, 10), (103, 3), (209, 10), (143, 3), (157, 9), (149, 5), (154, 8), (120, 1), (193, 2), (156, 5), (49, 5), (204, 8), (172, 6), (105, 6), (21, 13), (22, 4), (23, 7), (106, 5), (46, 6), (107, 5), (158, 1), (86, 1), (121, 13), (166, 9), (91, 14), (87, 14), (167, 12), (99, 7), (175, 4), (47, 8), (160, 6), (162, 11), (100, 4), (34, 8), (92, 2), (93, 1), (164, 12), (48, 14), (28, 15), (165, 12), (49, 3), (25, 15), (168, 4), (95, 10), (20, 6), (96, 7), (26, 6), (80, 12), (97, 3), (170, 14), (29, 5), (83, 3), (53, 14), (88, 13), (81, 1), (89, 2), (90, 12), (84, 13), (82, 7), (52, 6), (119, 8), (122, 12), (123, 9), (72, 15), (75, 13), (73, 15), (76, 12), (74, 12), (77, 11), (78, 8), (198, 14)]"
9,"[(173, 9), (15, 12), (171, 7), (35, 7), (42, 11), (43, 3), (44, 10), (177, 10), (178, 10), (182, 13), (183, 11), (104, 4), (159, 5), (199, 3), (202, 1), (203, 9), (94, 15), (108, 6), (109, 3), (110, 3), (113, 8), (112, 11), (1, 2), (3, 14), (4, 15), (5, 6), (50, 7), (60, 12), (140, 2), (141, 7), (61, 15), (62, 3), (210, 13), (211, 9), (174, 12), (66, 9), (69, 10), (70, 8), (176, 5), (118, 14), (155, 5), (124, 4), (135, 3), (98, 1), (85, 1), (144, 11), (145, 12), (205, 13), (206, 13), (150, 9), (153, 14), (45, 11), (194, 10), (195, 1), (196, 9), (27, 2), (71, 14), (189, 6), (191, 8), (192, 1), (30, 4), (31, 15), (79, 7), (169, 3), (72, 15), (193, 2), (75, 13), (136, 10), (154, 8), (137, 13), (139, 14), (188, 8), (73, 15), (74, 12), (214, 4), (149, 5), (86, 1), (76, 4), (204, 5), (80, 11), (170, 14), (102, 6), (208, 11), (46, 6), (91, 15), (143, 12), (198, 11), (103, 5), (105, 6), (209, 10), (106, 5), (87, 4), (117, 7), (47, 7), (99, 7), (77, 11), (78, 8), (107, 5), (160, 9), (161, 1), (175, 4), (16, 7), (17, 7), (164, 12), (215, 14), (48, 15), (165, 14), (100, 4), (20, 6), (81, 6), (120, 1), (101, 10), (138, 13), (139, 14), (95, 10), (121, 10), (49, 3), (28, 14), (92, 2), (88, 13), (89, 2), (172, 8), (93, 1), (90, 12), (96, 7), (29, 5), (97, 3), (157, 9), (156, 5), (158, 1), (34, 8), (119, 8), (122, 12), (123, 9), (83, 2), (84, 13), (82, 7), (166, 9), (167, 12), (168, 10), (21, 15), (22, 4), (23, 7), (25, 15), (26, 6)]"
10,"[(15, 12), (35, 7), (36, 14), (37, 3), (38, 7), (39, 1), (189, 6), (190, 6), (108, 11), (114, 9), (115, 12), (116, 2), (124, 4), (125, 15), (126, 12), (127, 4), (128, 2), (130, 3), (131, 6), (132, 9), (134, 1), (155, 5), (169, 3), (118, 2), (50, 7), (57, 13), (27, 2), (194, 10), (195, 1), (196, 9), (1, 6), (8, 5), (9, 4), (10, 9), (210, 13), (212, 2), (213, 14), (150, 9), (151, 8), (152, 2), (176, 7), (98, 1), (171, 7), (177, 10), (178, 10), (179, 4), (180, 12), (181, 7), (183, 11), (30, 13), (31, 15), (159, 5), (205, 3), (207, 15), (85, 6), (71, 9), (140, 2), (142, 11), (45, 15), (66, 12), (69, 10), (70, 4), (104, 11), (174, 12), (61, 15), (65, 5), (94, 15), (173, 9), (79, 11), (199, 8), (200, 6), (201, 2), (144, 1), (145, 13), (149, 5), (204, 5), (105, 6), (80, 11), (106, 5), (107, 5), (83, 2), (84, 13), (81, 7), (82, 7), (188, 4), (143, 3), (72, 15), (73, 15), (74, 12), (75, 13), (76, 12), (77, 11), (78, 8), (95, 10), (154, 8), (96, 7), (97, 3), (175, 6), (166, 1), (167, 12), (168, 10), (160, 6), (161, 1), (102, 8), (103, 3), (164, 9), (165, 14), (46, 2), (47, 8), (48, 14), (49, 3), (91, 14), (92, 2), (93, 1), (28, 5), (29, 5), (101, 10), (99, 7), (100, 4), (198, 11), (208, 3), (209, 10), (214, 15), (215, 10), (86, 1), (87, 5), (88, 3), (89, 2), (90, 12), (170, 12), (120, 1), (121, 10), (119, 5), (122, 1), (123, 9), (34, 4), (193, 2), (59, 8), (172, 6), (117, 7), (157, 3), (156, 1), (158, 1), (58, 4), (21, 15), (24, 14), (25, 15), (16, 7), (18, 3), (19, 6), (20, 6), (26, 6)]"
