Iteration,Makespan
1,1115.6
2,880.2
3,964.6
4,850.8999999999999
5,647.9
6,1150.8999999999999
7,622
8,864.6999999999999
9,799.1999999999998
10,1007.4
11,832.9000000000001
12,632.8
13,692.8
14,1105.4
15,815.4
16,927.3000000000001
17,1036.6
18,811.3
19,566.5
20,819.6
21,699.6999999999999
22,696.2
23,862.3000000000001
24,567.2
25,822.3
26,725.4
27,618.4
28,625.0999999999999
29,721.8999999999999
30,781.4
31,642.7
32,620.1
33,875.5
34,603.2
35,730.9999999999999
36,808.5
37,775.6999999999999
38,764.4000000000001
39,916.9999999999999
40,741.6999999999999
41,849.8999999999999
42,626.1
43,730.4
44,823.8000000000001
45,659.9000000000001
46,681.4000000000001
47,641.0
48,594.9
49,823.0999999999999
50,1038.8000000000002
