Iteration,Makespan
1,2366.7999999999997
2,2591.6
3,2338.9
4,2598.9000000000005
5,2576.4
6,2097.4
7,2554.9
8,2302.7000000000003
9,2278.4
10,2676.9
11,2265.1000000000004
12,2133.2000000000003
13,2710.7000000000007
14,2313.6
15,2298.4000000000005
16,2004.6999999999998
17,2168.0
18,2014.3000000000002
19,2454.4000000000005
20,2881.9999999999995
21,2137.5
22,2234.3
23,2251.8999999999996
24,2313.2
25,2410.6
26,2572.6000000000004
27,2535.6999999999994
28,1940.2000000000003
29,2173.0999999999995
30,1934.8999999999999
31,1987.8999999999999
32,1946.8
33,2133.8999999999996
34,2588.3999999999996
35,2633.3
36,2335.2
37,2335.8999999999996
38,2412.7999999999997
39,2245.4
40,2377.2999999999997
41,1968.5000000000002
42,2009.8999999999999
43,2139.4
44,2289.0
45,2282.7000000000003
46,2243.3999999999996
47,2676.9
48,2265.0
49,2359.1
50,2553.2
